model,kimg,fid,precision,recall,tier,composite_score
glioma_ax,0,293.19,0.0,0.0,FAIR,0.0
glioma_ax,48,260.7091,0.0,0.0,FAIR,0.0
glioma_ax,96,113.6829,0.00792,0.0,FAIR,0.00396
glioma_ax,144,66.3698,0.07314,0.0,GOOD,0.03657
glioma_ax,192,47.6653,0.14052,0.015228,EXCELLENT,0.077874
glioma_ax,240,39.987,0.23268,0.035533,EXCELLENT,0.1341065
glioma_ax,288,32.6403,0.34328,0.043147,EXCELLENT,0.19321349999999998
glioma_ax,336,30.4444,0.4227,0.050761,EXCELLENT,0.2367305
glioma_ax,384,30.0033,0.37516,0.083756,EXCELLENT,0.229458
glioma_ax,432,28.664,0.40264,0.076142,EXTRAORDINARY,0.239391
glioma_ax,480,28.3857,0.4568,0.111675,EXTRAORDINARY,0.2842375
glioma_ax,528,27.2317,0.42444,0.096447,EXTRAORDINARY,0.2604435
glioma_ax,576,27.0108,0.44668,0.088832,EXTRAORDINARY,0.267756
glioma_ax,624,26.3066,0.45866,0.106599,EXTRAORDINARY,0.2826295
glioma_ax,672,25.6259,0.46672,0.076142,EXTRAORDINARY,0.27143100000000003
glioma_ax,720,26.4021,0.44746,0.091371,EXTRAORDINARY,0.26941550000000003
glioma_ax,768,27.213,0.46752,0.071066,EXTRAORDINARY,0.269293
glioma_ax,816,25.7123,0.46642,0.081218,EXTRAORDINARY,0.273819
glioma_ax,864,26.3282,0.50208,0.081218,EXTRAORDINARY,0.291649
glioma_ax,912,25.9397,0.51608,0.076142,EXTRAORDINARY,0.296111
glioma_ax,960,25.3603,0.5128,0.086294,EXTRAORDINARY,0.299547
glioma_ax,1000,25.1736,0.51894,0.083756,EXTRAORDINARY,0.30134799999999995
glioma_co,0,350.1856,0.0,0.0,FAIR,0.0
glioma_co,48,222.2925,0.0,0.0,FAIR,0.0
glioma_co,96,102.9935,0.16692,0.0,FAIR,0.08346
glioma_co,144,58.4886,0.28966,0.002326,GOOD,0.14599299999999998
glioma_co,192,44.0738,0.53028,0.013953,EXCELLENT,0.2721165
glioma_co,240,37.0923,0.58128,0.034884,EXCELLENT,0.308082
glioma_co,288,36.0726,0.60932,0.046512,EXCELLENT,0.327916
glioma_co,336,35.2673,0.61784,0.081395,EXCELLENT,0.34961749999999997
glioma_co,384,35.1282,0.58918,0.060465,EXCELLENT,0.3248225
glioma_co,432,34.9133,0.57566,0.051163,EXCELLENT,0.31341149999999995
glioma_co,480,35.9912,0.54712,0.044186,EXCELLENT,0.29565300000000005
glioma_co,528,37.0328,0.51428,0.046512,EXCELLENT,0.280396
glioma_co,576,38.3601,0.51614,0.048837,EXCELLENT,0.28248850000000003
glioma_co,624,38.4529,0.51678,0.062791,EXCELLENT,0.28978550000000003
glioma_co,672,41.5552,0.51038,0.04186,EXCELLENT,0.27612
glioma_co,720,38.7217,0.50874,0.04186,EXCELLENT,0.2753
glioma_co,768,42.8442,0.50214,0.044186,EXCELLENT,0.27316300000000004
glioma_co,816,40.2371,0.5034,0.044186,EXCELLENT,0.27379299999999995
glioma_co,864,41.5508,0.49768,0.030233,EXCELLENT,0.2639565
glioma_co,912,40.8524,0.49136,0.030233,EXCELLENT,0.2607965
glioma_co,960,42.2758,0.49668,0.027907,EXCELLENT,0.2622935
glioma_co,1000,42.7746,0.48574,0.032558,EXCELLENT,0.259149
glioma_sa,0,332.8345,0.0,0.0,FAIR,0.0
glioma_sa,48,240.8987,0.0,0.0,FAIR,0.0
glioma_sa,96,107.5516,0.17572,0.0,FAIR,0.08786
glioma_sa,144,69.0396,0.38922,0.006192,GOOD,0.197706
glioma_sa,192,53.3971,0.52596,0.01548,GOOD,0.27072
glioma_sa,240,53.0525,0.56932,0.027864,GOOD,0.298592
glioma_sa,288,54.352,0.48834,0.01548,GOOD,0.25191
glioma_sa,336,54.2763,0.48418,0.043344,GOOD,0.263762
glioma_sa,384,58.6492,0.39476,0.040248,GOOD,0.217504
glioma_sa,432,62.3199,0.3823,0.024768,GOOD,0.203534
glioma_sa,480,65.8375,0.31752,0.012384,GOOD,0.16495200000000002
glioma_sa,528,70.0201,0.25894,0.009288,GOOD,0.134114
glioma_sa,576,72.8118,0.25264,0.0,GOOD,0.12632
glioma_sa,624,74.3133,0.23218,0.006192,GOOD,0.119186
glioma_sa,672,75.6302,0.22938,0.0,FAIR,0.11469
glioma_sa,720,75.5371,0.21186,0.012384,FAIR,0.112122
glioma_sa,768,72.5348,0.23934,0.012384,GOOD,0.125862
glioma_sa,816,75.6569,0.22664,0.006192,FAIR,0.116416
glioma_sa,864,78.6869,0.18168,0.003096,FAIR,0.092388
glioma_sa,912,77.9361,0.21488,0.003096,FAIR,0.10898799999999999
glioma_sa,960,78.461,0.19538,0.003096,FAIR,0.09923799999999999
glioma_sa,1000,70.9891,0.2652,0.012384,GOOD,0.138792
meningioma_ax,0,306.4737,0.0,0.0,FAIR,0.0
meningioma_ax,48,215.2323,8e-05,0.0,FAIR,4e-05
meningioma_ax,96,103.3367,0.18864,0.0,FAIR,0.09432
meningioma_ax,144,74.5185,0.21448,0.0,GOOD,0.10724
meningioma_ax,192,52.9758,0.3195,0.0,GOOD,0.15975
meningioma_ax,240,46.8305,0.43722,0.004728,EXCELLENT,0.220974
meningioma_ax,288,45.068,0.47966,0.018913,EXCELLENT,0.2492865
meningioma_ax,336,39.8907,0.5136,0.026005,EXCELLENT,0.26980249999999995
meningioma_ax,384,39.1542,0.53028,0.026005,EXCELLENT,0.27814249999999996
meningioma_ax,432,38.3729,0.52346,0.044917,EXCELLENT,0.2841885
meningioma_ax,480,38.5997,0.5932,0.042553,EXCELLENT,0.31787649999999995
meningioma_ax,528,39.8215,0.55604,0.037825,EXCELLENT,0.2969325
meningioma_ax,576,39.1608,0.56402,0.044917,EXCELLENT,0.3044685
meningioma_ax,624,38.8824,0.57704,0.037825,EXCELLENT,0.3074325
meningioma_ax,672,37.2607,0.58924,0.049645,EXCELLENT,0.3194425
meningioma_ax,720,38.4222,0.5572,0.044917,EXCELLENT,0.3010585
meningioma_ax,768,36.5363,0.59224,0.049645,EXCELLENT,0.3209425
meningioma_ax,816,35.7542,0.59026,0.037825,EXCELLENT,0.3140425
meningioma_ax,864,37.227,0.60864,0.047281,EXCELLENT,0.3279605
meningioma_ax,912,35.6795,0.6207,0.040189,EXCELLENT,0.33044450000000003
meningioma_ax,960,36.0009,0.61874,0.047281,EXCELLENT,0.3330105
meningioma_ax,1000,36.1061,0.60656,0.056738,EXCELLENT,0.33164899999999997
meningioma_co,0,368.9525,0.0,0.0,FAIR,0.0
meningioma_co,48,320.5563,0.0,0.0,FAIR,0.0
meningioma_co,96,122.434,0.04014,0.0,FAIR,0.02007
meningioma_co,144,72.6318,0.2592,0.0,GOOD,0.1296
meningioma_co,192,53.4081,0.42132,0.021127,GOOD,0.2212235
meningioma_co,240,54.1796,0.42432,0.035211,GOOD,0.22976549999999998
meningioma_co,288,55.958,0.36476,0.028169,GOOD,0.1964645
meningioma_co,336,55.5922,0.31374,0.070423,GOOD,0.19208150000000002
meningioma_co,384,54.7875,0.3511,0.035211,GOOD,0.1931555
meningioma_co,432,55.4638,0.33878,0.042254,GOOD,0.19051700000000002
meningioma_co,480,54.1058,0.33202,0.044601,GOOD,0.1883105
meningioma_co,528,55.4752,0.31734,0.028169,GOOD,0.1727545
meningioma_co,576,58.2649,0.31686,0.028169,GOOD,0.1725145
meningioma_co,624,55.9364,0.3313,0.018779,GOOD,0.1750395
meningioma_co,672,57.6902,0.33336,0.011737,GOOD,0.1725485
meningioma_co,720,56.7626,0.34364,0.004695,GOOD,0.1741675
meningioma_co,768,58.6505,0.3007,0.016432,GOOD,0.158566
meningioma_co,816,58.6417,0.32584,0.021127,GOOD,0.1734835
meningioma_co,864,58.5008,0.33284,0.007042,GOOD,0.169941
meningioma_co,912,58.4075,0.30528,0.00939,GOOD,0.157335
meningioma_co,960,58.5591,0.31954,0.018779,GOOD,0.1691595
meningioma_co,1000,64.1289,0.31892,0.018779,GOOD,0.16884949999999999
meningioma_sa,0,348.2759,0.0,0.0,FAIR,0.0
meningioma_sa,48,266.8946,0.0,0.0,FAIR,0.0
meningioma_sa,96,100.9297,0.06488,0.0,FAIR,0.03244
meningioma_sa,144,57.4453,0.25996,0.0,GOOD,0.12998
meningioma_sa,192,47.7098,0.3951,0.010417,EXCELLENT,0.2027585
meningioma_sa,240,43.9283,0.49306,0.022917,EXCELLENT,0.2579885
meningioma_sa,288,45.002,0.395,0.0375,EXCELLENT,0.21625
meningioma_sa,336,44.9922,0.41204,0.0375,EXCELLENT,0.22477
meningioma_sa,384,46.5982,0.39702,0.03125,EXCELLENT,0.214135
meningioma_sa,432,48.6502,0.4182,0.04375,EXCELLENT,0.230975
meningioma_sa,480,51.2047,0.33212,0.020833,GOOD,0.1764765
meningioma_sa,528,54.1456,0.32556,0.025,GOOD,0.17528000000000002
meningioma_sa,576,55.6031,0.34066,0.025,GOOD,0.18283000000000002
meningioma_sa,624,57.3313,0.3154,0.01875,GOOD,0.167075
meningioma_sa,672,54.3565,0.33824,0.03125,GOOD,0.184745
meningioma_sa,720,57.099,0.32762,0.03125,GOOD,0.179435
meningioma_sa,768,58.0607,0.28766,0.022917,GOOD,0.15528850000000002
meningioma_sa,816,61.1217,0.26868,0.029167,GOOD,0.1489235
meningioma_sa,864,59.3735,0.26796,0.025,GOOD,0.14648
meningioma_sa,912,61.4008,0.26636,0.020833,GOOD,0.1435965
meningioma_sa,960,61.9029,0.25782,0.016667,GOOD,0.1372435
