kimg	g_loss	d_loss	real_sign_proxy	fake_sign_proxy	ada_p
0	0.66189605	2.17266697	0.5	0.21875	0
1	3.45090265	1.52594991	0.65157359	0.486894212	0.00130701968
2	5.84201069	0.95691182	0.786273398	0.725257935	0.0026673997
3	7.49780392	0.555421066	0.884990259	0.895055502	0.00405908567
4	8.12824349	0.400540695	0.931147168	0.961953529	0.00548101093
5	8.00075896	0.413474064	0.942524442	0.963308344	0.00693805449
6	7.67719803	0.442730937	0.950528915	0.964018061	0.00843118174
7	7.2609395	0.472244276	0.955942673	0.964612278	0.00995277051
8	6.85523159	0.485984723	0.95953946	0.965603126	0.0114951967
9	6.38888933	0.459782862	0.962347676	0.967876092	0.0130554874
10	5.83011007	0.39844958	0.964715869	0.971273223	0.0146389399
11	5.35948622	0.330936135	0.966356262	0.974679141	0.0162500742
12	5.1576596	0.28619786	0.966980965	0.976978303	0.0178934099
13	5.23405407	0.264035628	0.966536376	0.978202152	0.0195891028
14	5.40644142	0.245016583	0.965533524	0.979192306	0.0213309951
15	5.58033996	0.231673784	0.964521881	0.979954237	0.0230819451
16	5.66130155	0.226546872	0.964050892	0.980493161	0.0248048055
17	5.6580708	0.255590239	0.964621331	0.980908877	0.0264958873
18	5.64832178	0.321081501	0.965907894	0.981270277	0.028173624
19	5.63242548	0.387146895	0.967205737	0.981526079	0.0298312666
20	5.61072967	0.417904829	0.96780997	0.981624973	0.0314620583
21	5.45855343	0.412903508	0.963622762	0.980964938	0.0331446322
22	5.11266377	0.401605669	0.95295857	0.979066631	0.0348607877
23	4.67948186	0.390208788	0.939126237	0.97612041	0.036447694
24	4.26546646	0.384902764	0.925435676	0.972316789	0.037742491
25	3.85132684	0.416432392	0.911444806	0.961625793	0.0388017671
26	3.39199564	0.494557557	0.895519954	0.941335885	0.0397576924
27	2.96712657	0.591044579	0.879527277	0.917313212	0.0405408241
28	2.65640546	0.67765182	0.865333861	0.895425806	0.0410816653
29	2.43323476	0.761312004	0.853398382	0.875447533	0.0414624188
30	2.23309776	0.853017309	0.842518945	0.854747506	0.0417911498
31	2.0884347	0.927221516	0.832171371	0.836133399	0.0420227205
32	2.03171193	0.958369218	0.821831752	0.822414362	0.0421119539
33	2.036981	0.956361159	0.809591785	0.812230884	0.0419371324
34	2.0523797	0.950638946	0.79622343	0.803086471	0.041542885
35	2.07667466	0.941912179	0.785425539	0.796471079	0.0411451817
36	2.10864652	0.930882208	0.780897507	0.793875707	0.0409600243
37	2.25754941	0.897090404	0.79171963	0.805808266	0.0412902329
38	2.54526412	0.837094082	0.816124602	0.832715794	0.0420349226
39	2.82642826	0.77963121	0.840743496	0.85985918	0.0427861398
40	2.95564412	0.753446544	0.852205233	0.872496237	0.0431358816
41	2.83910064	0.798208992	0.842132307	0.860964739	0.0430961013
42	2.55790392	0.903017285	0.818567852	0.833527381	0.0429858399
43	2.22814824	1.01845147	0.792673829	0.802259292	0.042823476
44	1.96592544	1.09508537	0.775611926	0.779235403	0.0426272955
45	1.78232324	1.13324016	0.768858229	0.764447866	0.0423191458
46	1.61314636	1.1660224	0.764434228	0.750795657	0.0418287211
47	1.47016197	1.18903997	0.760052148	0.740741548	0.0411958403
48	1.36516052	1.19788948	0.753426202	0.736751095	0.0404603486
49	1.28452089	1.19674812	0.736969616	0.736939378	0.0394070812
