kimg	g_loss	d_loss	real_sign_proxy	fake_sign_proxy	ada_p
0	0.661877975	2.1900667	0.5	0.21875	0
1	4.506071	1.52014322	0.655045676	0.492164625	0.00140145127
2	7.69477188	0.929587176	0.792820977	0.734087316	0.00285777561
3	9.84825016	0.512367772	0.893047561	0.905448998	0.00434544927
4	10.653403	0.351274784	0.938033407	0.971732085	0.00586347226
5	10.2180062	0.362258262	0.946270165	0.969226754	0.00740099594
6	9.19971509	0.387122283	0.951414135	0.963537247	0.00896328395
7	8.08178566	0.412204262	0.955295546	0.957797865	0.0105748728
8	7.34739651	0.423881612	0.959735892	0.955125796	0.0122603025
9	7.03281431	0.383351372	0.966057289	0.959659254	0.0140904904
10	6.79934317	0.291954452	0.97305283	0.969883256	0.0160419247
11	6.60300082	0.199756345	0.978738786	0.980196882	0.0179906102
12	6.39990065	0.156831917	0.981131397	0.98499857	0.0198125333
13	6.17109372	0.199212247	0.978645781	0.982970021	0.0214583736
14	5.94148051	0.294801812	0.972675856	0.97839275	0.0230084809
15	5.73153523	0.391229343	0.965738633	0.973775352	0.0245290727
16	5.56172824	0.43612291	0.96035121	0.97162564	0.0260863549
17	5.43955801	0.428448064	0.956914241	0.97175684	0.0277024993
18	5.34285484	0.40992969	0.953943427	0.972105617	0.0293413646
19	5.24815589	0.388274008	0.951292886	0.972586993	0.030984646
20	5.13199989	0.371176231	0.948817182	0.973116595	0.0326140469
21	4.98327621	0.358426904	0.946762612	0.973949904	0.0342520554
22	4.80940345	0.345994686	0.945087723	0.975118583	0.0359007912
23	4.61393684	0.336534141	0.943169595	0.976163362	0.0375068627
24	4.40042951	0.332701708	0.940385186	0.976624866	0.039016866
25	4.10282669	0.360843427	0.934450739	0.971769529	0.0404859992
26	3.73155136	0.427349946	0.924790992	0.95956638	0.0419323924
27	3.4136367	0.502109242	0.913551902	0.944099758	0.0432353585
28	3.27613956	0.555001627	0.902879987	0.929455322	0.0442741791
29	3.32140482	0.580957703	0.892581582	0.915380928	0.0450616295
30	3.42355986	0.600115494	0.881725562	0.900024501	0.0457248189
31	3.5266104	0.618290163	0.871566724	0.885463702	0.0463040461
32	3.57458731	0.641291786	0.863360445	0.873777255	0.0468395812
33	3.56113631	0.680231231	0.856349201	0.863959943	0.0473361058
34	3.52755866	0.730800084	0.849686799	0.854646458	0.0477849262
35	3.48559777	0.774779774	0.844693283	0.847672799	0.0482094587
36	3.44698682	0.793949302	0.842689233	0.844875772	0.0486331285
37	3.41421439	0.789639555	0.843170712	0.848517587	0.0490551824
38	3.38119694	0.77990932	0.844257616	0.856731014	0.0494655017
39	3.34751954	0.770093795	0.845354048	0.865016435	0.049875636
40	3.31276916	0.765524013	0.84586451	0.868873851	0.0502971412
41	3.28212711	0.768581743	0.845799221	0.867021072	0.050817362
42	3.25424497	0.777098847	0.845600912	0.862236337	0.051406713
43	3.21820164	0.789764052	0.845273204	0.85588923	0.0518909988
44	3.1630741	0.80526658	0.844819582	0.849348735	0.0520959957
45	2.87532765	0.843444054	0.835623793	0.840775394	0.0519593256
46	2.31956929	0.907193532	0.815588755	0.829780845	0.0516409811
47	1.77651676	0.967283657	0.795510296	0.820264367	0.051294579
48	1.52695377	0.994476289	0.786186984	0.816126193	0.0510737204
49	1.6692049	0.970128038	0.790285259	0.822765132	0.0509970439
50	1.99012409	0.915208763	0.79953244	0.837737525	0.0509514127
51	2.3138563	0.859808094	0.808860677	0.852841158	0.0509029704
52	2.46457523	0.834015388	0.813203594	0.859872906	0.050817888
53	2.41711503	0.853689835	0.806743024	0.855016316	0.0505245171
54	2.2990019	0.900481983	0.79077842	0.843521409	0.0499431569
55	2.15219077	0.95375214	0.77116688	0.830568952	0.0491938083
56	2.01860604	0.992862212	0.753766166	0.821339119	0.0483965155
57	1.88593357	1.01781709	0.737346993	0.815840386	0.0474245833
58	1.73847053	1.04080587	0.719555808	0.810883577	0.0462145648
59	1.61836028	1.05771274	0.705240257	0.807288309	0.0450074017
60	1.56776051	1.06441717	0.699249813	0.805875385	0.0440441058
61	1.66853489	1.05638205	0.70827065	0.808030343	0.0433360191
62	1.8957967	1.03654546	0.729055649	0.813444882	0.0427182571
63	2.12505057	1.012222	0.751131396	0.820301958	0.0421860222
64	2.23178353	0.990726882	0.764023337	0.826784262	0.0417345672
65	2.2312131	0.970607553	0.768194125	0.832783409	0.0413619449
66	2.22941274	0.948893004	0.771514604	0.839183513	0.0410470124
67	2.22648361	0.931454319	0.773716252	0.845510421	0.0407554858
68	2.22249525	0.924164841	0.774528089	0.851289584	0.0404530791
69	2.18522379	0.929379091	0.774336	0.85706619	0.0400746767
70	2.10728513	0.941140998	0.773902391	0.862962801	0.0396543689
71	2.02981582	0.953006005	0.773464982	0.867759457	0.0393121418
72	1.99396272	0.958529957	0.773261339	0.870235902	0.0391679964
73	2.02710487	0.950976693	0.777140554	0.871011643	0.0392068101
74	2.1018589	0.93394163	0.785887674	0.871606028	0.0392944206
75	2.17726819	0.916757248	0.794711467	0.871987724	0.0393827991
76	2.21237625	0.908756771	0.798819531	0.872124965	0.0394239452
77	2.19160887	0.914686863	0.792659157	0.871366128	0.039085104
78	2.1425268	0.928063606	0.778765779	0.869654997	0.0383047802
79	2.08740124	0.941557602	0.764750619	0.867928868	0.0374767008
80	2.04849935	0.947839957	0.758225627	0.867125239	0.0369946871
81	2.02585318	0.945092931	0.759281524	0.868575243	0.0368408944
82	2.00557874	0.938016506	0.762018214	0.872003932	0.0367186737
83	1.99093926	0.928669181	0.765662916	0.875861714	0.0366377507
84	1.98520305	0.919108397	0.769444478	0.878598783	0.0366079438
85	1.98794439	0.906805996	0.774070921	0.880212672	0.0366166556
86	1.99412918	0.891177974	0.779879808	0.881663012	0.0366420715
87	2.00036819	0.877700306	0.785388499	0.882712853	0.0366821863
88	2.00327287	0.871850321	0.789113934	0.883124888	0.0367349998
89	1.985551	0.87229948	0.791335195	0.882341457	0.0369481919
90	1.94558918	0.873454775	0.793248671	0.880547172	0.0373679509
91	1.90527708	0.874969133	0.79459456	0.878667918	0.0378227222
92	1.88650911	0.876497031	0.795112642	0.877629717	0.0381409045
93	1.90916557	0.87839888	0.794761711	0.877373161	0.0382955297
94	1.96026473	0.880773908	0.793947959	0.87717483	0.0384068442
95	2.0118118	0.882808424	0.793071372	0.877046461	0.0385132777
96	2.0358104	0.883688526	0.792531902	0.877000012	0.0386532304
97	2.02548021	0.880613736	0.792366864	0.878479801	0.0389068449
98	2.00217124	0.873432233	0.792274574	0.881816505	0.0392478231
99	1.97865795	0.865564464	0.792174284	0.885182458	0.0395481823
100	1.96771095	0.860431581	0.791985317	0.886749533	0.0396799213
101	1.96797739	0.85799808	0.789777404	0.88675	0.0396799594
102	1.96858553	0.855930392	0.785154586	0.88675	0.0396799594
103	1.969199	0.854490039	0.780558426	0.88675	0.0396799594
104	1.96948461	0.853939324	0.778431083	0.88675	0.0396799594
105	1.95598193	0.856515756	0.780240657	0.885004594	0.0397643074
106	1.92553544	0.862325517	0.784647202	0.881068994	0.0399822532
107	1.89482208	0.868186202	0.789909473	0.877098896	0.0402719267
108	1.88052296	0.870914742	0.794286304	0.87525055	0.0405714326
109	1.89539715	0.865302791	0.797268537	0.877239341	0.0408692595
110	1.93300811	0.850946023	0.799859053	0.882073099	0.0412107195
111	1.98116788	0.832184813	0.80249908	0.88782492	0.0416155279
112	2.02768833	0.813360395	0.80562961	0.892567843	0.0421033901
113	2.08011214	0.790234668	0.810518076	0.896431639	0.0429566882
114	2.14228323	0.761550917	0.816754721	0.900341555	0.0441534244
115	2.19441711	0.737046329	0.822142093	0.903378942	0.0452232855
116	2.21672376	0.726460588	0.824482408	0.904624652	0.0456958679
117	2.17074145	0.745111408	0.820050236	0.901730738	0.0456329389
118	2.06634473	0.787948065	0.809689928	0.894894242	0.045472424
119	1.95927242	0.833110455	0.798320719	0.887216981	0.0452644421
120	1.90527145	0.858735654	0.790862551	0.881801319	0.0450589936
121	1.89888219	0.866013432	0.787270693	0.878651675	0.0448155836
122	1.89415997	0.871718324	0.784208113	0.875832677	0.0445192978
123	1.89121942	0.875453691	0.782069389	0.873797549	0.0442681112
124	1.89018895	0.876817718	0.78125022	0.873000217	0.0441600245
125	1.89652116	0.873081247	0.784388183	0.874397512	0.0442662502
126	1.91079985	0.864655318	0.791464268	0.877603091	0.0445218218
127	1.92520372	0.856155515	0.798602393	0.880973663	0.0448198317
128	1.93190976	0.852198248	0.801925701	0.882865718	0.0450533706
129	1.9255964	0.853790975	0.800667799	0.883375067	0.0452092687
130	1.91135615	0.857385012	0.79782917	0.883772087	0.045348708
131	1.89699101	0.861010567	0.794965648	0.884030834	0.0454687999
132	1.89030301	0.862698524	0.793632473	0.884124976	0.0455666351
133	1.89289829	0.862436159	0.794853514	0.883783512	0.0456359061
134	1.89985989	0.861668149	0.797627816	0.883013505	0.045686687
135	1.90966241	0.860452491	0.800477085	0.882236745	0.045741376
136	1.9207817	0.858846754	0.801923036	0.881875108	0.0458223734
137	1.94016346	0.850962566	0.802107029	0.88229423	0.0460180175
138	1.96862407	0.835602322	0.802243422	0.883309911	0.0463306832
139	1.9944556	0.820563956	0.802328576	0.884511528	0.0466451928
140	2.00594744	0.813647305	0.802358483	0.885488434	0.0468463455
141	1.99089952	0.817965161	0.80157974	0.886182343	0.0469441529
142	1.95696098	0.827705943	0.799823765	0.886818864	0.0470260852
143	1.92272482	0.837532149	0.798052391	0.887385085	0.047082571
144	1.90678542	0.842106955	0.797227689	0.887868018	0.0471040102
145	1.9306827	0.837025254	0.797786981	0.888214569	0.0470845889
146	1.98466764	0.82505461	0.79928458	0.888467436	0.0470407838
147	2.03935036	0.811698505	0.801388762	0.888763624	0.0469965944
148	2.06533819	0.802460638	0.803767886	0.889240157	0.0469760211
