kimg	g_loss	d_loss	real_sign_proxy	fake_sign_proxy	ada_p
0	0.752086625	1.89484781	0.5	0.28125	0
1	3.97169966	1.38332109	0.659381955	0.533157075	0.00124722587
2	6.73654473	0.928237959	0.801011551	0.756891925	0.00261291224
3	8.65347219	0.586086603	0.904217478	0.91578714	0.00406897686
4	9.38396809	0.404770922	0.950988006	0.977358341	0.00560677974
5	9.24862317	0.329992239	0.961161362	0.976900706	0.00728098003
6	8.90079627	0.27181623	0.968715923	0.975831249	0.00909511894
7	8.44375526	0.233976076	0.973435228	0.974752418	0.0109563572
8	7.98061259	0.220230099	0.975093564	0.97425015	0.0127718353
9	7.43882278	0.22581741	0.974783492	0.97607129	0.0145332377
10	6.7774	0.239239227	0.973934776	0.980178002	0.0162857829
11	6.16499901	0.254829538	0.972704807	0.984320714	0.018009816
12	5.77032377	0.266924178	0.971250646	0.986249426	0.0196856628
13	5.55672765	0.275619159	0.968255662	0.984333852	0.0212889594
14	5.37742362	0.283977432	0.963552075	0.98001325	0.0228381278
15	5.25362275	0.29028528	0.959194348	0.975654772	0.0243791745
16	5.20658413	0.292827631	0.957237415	0.973625604	0.0259581099
17	5.26681834	0.288422237	0.958948578	0.975351428	0.0275851334
18	5.40266522	0.27848719	0.962808269	0.979244248	0.0292372405
19	5.53970301	0.268465047	0.966701796	0.983171195	0.0309133872
20	5.60350342	0.263799058	0.968514498	0.984999455	0.0326125368
21	5.60308813	0.271841755	0.967573203	0.983946908	0.0343659779
22	5.60176769	0.291453045	0.965061049	0.981210472	0.036166221
23	5.59957741	0.314941928	0.961549701	0.977539748	0.0379499139
24	5.59653374	0.334616341	0.957610555	0.973684103	0.0396536933
25	5.54573681	0.347267498	0.952621428	0.96965783	0.0413485047
26	5.41653184	0.357561869	0.945861108	0.964880599	0.043048258
27	5.23835435	0.369365962	0.937868548	0.959268411	0.0445893207
28	5.04065349	0.386545595	0.929183016	0.952737427	0.0458080204
29	4.7825402	0.426421628	0.91849502	0.944298249	0.0467173239
30	4.43556946	0.49187086	0.905566845	0.933669311	0.0474803673
31	4.05514113	0.563407255	0.892754926	0.921935569	0.0481448332
32	3.6966748	0.621540225	0.882416267	0.910182271	0.0487583665
33	3.31411823	0.668743736	0.875133317	0.897063081	0.0493793203
34	2.89498396	0.715092695	0.869149804	0.882427103	0.0499825214
35	2.55592468	0.750501687	0.863434154	0.869423081	0.050487239
36	2.41362249	0.76487989	0.856955116	0.86120049	0.0508127342
37	2.449041	0.760665827	0.848904775	0.857516627	0.0510083234
38	2.52899465	0.751154804	0.839892853	0.85511173	0.0511721877
39	2.60964913	0.741560413	0.831026735	0.852873334	0.0512851589
40	2.64719917	0.737093584	0.823413835	0.849689689	0.0513280367
41	2.62197962	0.753931618	0.817449603	0.843161039	0.0513094409
42	2.55567601	0.794197351	0.812307184	0.833932175	0.0512566029
43	2.46511442	0.840590952	0.807301601	0.825659775	0.0511759289
44	2.36711718	0.875808727	0.801747989	0.822001064	0.0510738191
45	2.22047081	0.899987196	0.794050219	0.825531893	0.0507776801
46	2.01963088	0.922833312	0.784912679	0.833636785	0.0502491356
47	1.84154837	0.939899618	0.777247474	0.842167557	0.0497169306
48	1.76319216	0.946734599	0.773967103	0.84697598	0.0494098667
49	1.82425157	0.944255966	0.775998859	0.848215357	0.0493275622
50	1.96872092	0.93866281	0.780582244	0.849106359	0.0492812101
51	2.13140907	0.933020628	0.785205805	0.849749109	0.0492351609
52	2.24712865	0.930393816	0.787358382	0.850242772	0.0491538143
53	2.31577365	0.932307407	0.784910505	0.850588923	0.0488928724
54	2.37757338	0.9367675	0.779389505	0.850814249	0.0484154346
55	2.42236015	0.941627652	0.773820112	0.851065883	0.0478603891
56	2.4399514	0.944741605	0.771227187	0.851490985	0.0473666599
57	2.38618829	0.946141437	0.771385848	0.853001928	0.0469684375
58	2.26495062	0.947317518	0.771844807	0.855984962	0.0465908872
59	2.14265024	0.948130121	0.772557987	0.85970936	0.046217151
60	2.08571126	0.948439027	0.773480039	0.863444155	0.0458303917
61	2.27659249	0.923454649	0.776952047	0.86797267	0.0454362138
62	2.70703613	0.867118851	0.783409051	0.873468943	0.0450403197
63	3.14125281	0.810289242	0.789663568	0.878123001	0.0446237939
64	3.34340963	0.783831269	0.792527349	0.880124426	0.0441677151
65	3.16489718	0.798721216	0.789013604	0.878307013	0.0436760976
66	2.74516084	0.836091847	0.779912646	0.873502434	0.0431480443
67	2.27876934	0.883294745	0.767773386	0.866881532	0.0425548707
68	1.96028671	0.927684892	0.755144925	0.859615106	0.0418678861
69	1.78940561	0.974901605	0.73818603	0.848268279	0.0409561958
70	1.63983503	1.02924843	0.716168842	0.832411262	0.0398238562
71	1.53345604	1.07422929	0.697022289	0.818252487	0.0386580174
72	1.49219385	1.09334312	0.68867722	0.812001815	0.0376458657
73	1.52205912	1.08966658	0.69522435	0.814273236	0.0367625447
74	1.58942553	1.08063212	0.710743717	0.819880048	0.035910786
75	1.65738243	1.06967662	0.728288855	0.82674605	0.0351884521
76	1.68902091	1.06023266	0.740913679	0.832796169	0.0346934583
77	1.67544851	1.05182325	0.748608044	0.838426205	0.0344211129
78	1.64482378	1.04296175	0.755592633	0.844485451	0.0342388428
79	1.61393061	1.03592986	0.760681577	0.849344779	0.0340598282
80	1.59954778	1.03301023	0.762687422	0.851374427	0.0337972683
81	1.60551799	1.03385458	0.759977712	0.849971086	0.0332695663
82	1.62081607	1.03576028	0.753866531	0.846805495	0.0324946724
83	1.64084291	1.03768269	0.747701783	0.843612155	0.0316993509
84	1.66100196	1.0385777	0.744831682	0.842125443	0.0311104043
85	1.68595647	1.03167186	0.747696564	0.843546641	0.0307226118
86	1.71703069	1.01598867	0.754655816	0.846834444	0.0303835551
87	1.74361939	0.999888645	0.762927495	0.850357935	0.0301187082
88	1.75511464	0.991734214	0.769729632	0.852486197	0.0299535974
89	1.75428304	0.990928623	0.775004027	0.853103687	0.029862253
90	1.75204732	0.990536254	0.780161163	0.853451633	0.029793825
91	1.74890368	0.990147039	0.784387295	0.853816709	0.0297410283
92	1.74534525	0.989352904	0.786868042	0.854485273	0.0296965903
93	1.7391891	0.980529138	0.787924966	0.858774012	0.0296526122
94	1.73017872	0.961515274	0.788636594	0.867192802	0.0296111735
95	1.72200924	0.940948352	0.789229571	0.875448977	0.0295802734
96	1.71837663	0.927467705	0.789930286	0.879248874	0.0295679119
97	1.72491853	0.920903024	0.790970776	0.878548043	0.0297816054
98	1.73967181	0.915312037	0.792186739	0.876965247	0.0302634565
99	1.75455441	0.91141082	0.793199899	0.875368578	0.0307495312
100	1.76148325	0.909917442	0.793631952	0.874625221	0.0309758313
101	1.76039522	0.913647661	0.791859712	0.874909577	0.0308580802
102	1.75749127	0.922837317	0.787556706	0.875551251	0.0305826534
103	1.75344	0.93406387	0.78244469	0.87619855	0.0302802474
104	1.74890828	0.943904047	0.778245838	0.87649991	0.0300815279
105	1.74138348	0.952963842	0.774852172	0.873673201	0.0300035284
106	1.73056754	0.962664079	0.771429802	0.86729924	0.0299526453
107	1.72081851	0.970423502	0.768776126	0.860869407	0.0299021889
108	1.71649542	0.973659824	0.767688983	0.857875891	0.0298254927
109	1.73202915	0.966679962	0.769238669	0.85902871	0.0296322248
110	1.7700414	0.949616055	0.773179301	0.861937941	0.0293311129
111	1.81589156	0.929073559	0.778275519	0.865646952	0.0290527992
112	1.85493555	0.911659146	0.783291804	0.869199653	0.0289279495
113	1.88886216	0.896663063	0.7891871	0.872719878	0.0289527497
