kimg	g_loss	d_loss	real_sign_proxy	fake_sign_proxy	ada_p
0	0.6618613	2.19071072	0.5	0.21875	0
1	4.17111525	1.51845878	0.655207279	0.492041357	0.0012810722
2	7.14589957	0.923638147	0.793135146	0.734735468	0.00265610862
3	9.1886198	0.502308029	0.894168975	0.907078943	0.00409988499
4	9.96171258	0.339336745	0.941286756	0.973856933	0.00560739103
5	9.71003984	0.343161654	0.953289614	0.973454697	0.0072157841
6	9.10627289	0.353141923	0.962273889	0.972416788	0.00892557449
7	8.40710679	0.366370112	0.967926174	0.971142898	0.0106717073
8	7.86910795	0.379981685	0.969924303	0.97001478	0.012389114
9	7.54296811	0.397759296	0.969433337	0.968954409	0.0140593495
10	7.27270249	0.420515385	0.968156783	0.967807605	0.0157174986
11	7.02029382	0.440198242	0.966445538	0.966885692	0.017375456
12	6.74776669	0.44875418	0.964650137	0.966500109	0.0190451073
13	6.38654407	0.420856435	0.962184909	0.967519819	0.0207126236
14	5.97273859	0.357946004	0.958948368	0.970015575	0.0223765741
15	5.63098348	0.294484083	0.956122001	0.973026824	0.0240702946
16	5.485927	0.264938246	0.954887575	0.97559281	0.0258271285
17	5.62058864	0.269737078	0.956135359	0.977825497	0.0277287287
18	5.92432224	0.282619989	0.958949717	0.980152927	0.0297412909
19	6.23071854	0.300753583	0.961788747	0.981989609	0.0317173792
20	6.37336685	0.321311877	0.963110509	0.982749786	0.0335095373
21	5.97348507	0.348597568	0.957516694	0.979881339	0.0351581832
22	5.05059156	0.386508994	0.943780889	0.97234447	0.0367417367
23	4.06646027	0.430896093	0.927102925	0.962053764	0.0381520119
24	3.48294811	0.477606861	0.912683943	0.950924433	0.0392807749
25	3.30500885	0.528330221	0.902476901	0.937631963	0.0402523864
26	3.18312161	0.585573766	0.893480374	0.920605135	0.0411636625
27	3.08420473	0.645853444	0.883666364	0.901704769	0.041841293
28	2.97527627	0.705683684	0.871007428	0.882792537	0.0421119034
29	2.85158994	0.774008997	0.846887503	0.86034742	0.0419172734
30	2.72957401	0.849916651	0.812570865	0.834452872	0.0414471548
31	2.60571818	0.913662335	0.781744067	0.812999003	0.0408947073
32	2.47650595	0.945497761	0.768096074	0.803877599	0.0404530753
33	2.31308987	0.953144009	0.771338647	0.804372754	0.0401152362
34	2.12482777	0.95891276	0.779189909	0.805747602	0.0397823699
35	1.96895114	0.962568254	0.788445327	0.807769645	0.0395275721
36	1.90270074	0.963868299	0.79590334	0.810208842	0.0394239863
37	2.05285761	0.950836796	0.801702017	0.815749945	0.0396376575
38	2.39147892	0.921452177	0.807453933	0.824761756	0.0401195156
39	2.73306841	0.891809987	0.811873496	0.833194853	0.0406055973
40	2.8921011	0.87800957	0.81367431	0.836998884	0.0408319008
41	2.740271	0.900237951	0.805084478	0.828443715	0.0406090471
42	2.39781264	0.950368515	0.785714706	0.809150718	0.0400800298
43	2.05235245	1.0009385	0.766175148	0.789688608	0.039480049
44	1.8915177	1.0244822	0.757078181	0.780627698	0.0390443065
45	1.95726704	1.00997121	0.760138306	0.787948117	0.0388307363
46	2.10562886	0.977235552	0.767044486	0.804460527	0.0386819357
47	2.25529114	0.944212945	0.774011202	0.821117677	0.0385224823
48	2.32496891	0.928838719	0.777254673	0.828872691	0.0382769874
49	2.23309734	0.944958089	0.771264542	0.824226907	0.0376164897
50	2.02589544	0.98131491	0.757755617	0.813746233	0.0365198202
51	1.81687731	1.01799042	0.744128279	0.80317369	0.0354059056
52	1.71956543	1.03506531	0.737783844	0.798251466	0.0346937611
53	1.86086651	1.02244766	0.744898334	0.805743864	0.0344083149
54	2.17954226	0.993985495	0.760944582	0.822641278	0.0342192411
55	2.50101137	0.965273846	0.777131485	0.839686806	0.0340431865
56	2.65067667	0.951906658	0.784667567	0.847622637	0.0337968809
57	2.53385521	0.965721165	0.780441997	0.845708848	0.0333512318
58	2.27034175	0.996879552	0.77090898	0.841388243	0.0327440522
59	2.00451847	1.02831106	0.761292402	0.837029766	0.0321510226
60	1.88076	1.04294452	0.756815243	0.835000604	0.0317478467
61	1.92133749	1.02866631	0.7604157	0.839116882	0.0315560793
62	2.01291607	0.9964615	0.768537137	0.848399765	0.0314290734
63	2.10529739	0.963974397	0.776729763	0.857764018	0.0313014567
64	2.14830705	0.948849484	0.780543977	0.862123702	0.0311078876
65	2.1326028	0.957018855	0.77612392	0.860531368	0.0306441505
66	2.09583776	0.975449582	0.766154867	0.856937994	0.0299211392
67	2.0554158	0.994041863	0.756098431	0.853313122	0.0292151723
68	2.02873285	1.00269781	0.751416489	0.851625503	0.0288026201
69	2.01565496	0.987598721	0.759759029	0.857183739	0.0286635861
70	2.00445959	0.953546978	0.778573212	0.869717771	0.028565371
71	1.99661922	0.919196754	0.79755231	0.882361669	0.0284893947
72	1.99361026	0.903204434	0.806388346	0.888248247	0.0284171433
73	1.99888962	0.904245851	0.804114155	0.885868731	0.028349674
74	2.01079551	0.906984871	0.798816928	0.880392469	0.0282930711
75	2.02280577	0.91070393	0.793062313	0.874599313	0.0282345398
76	2.02839734	0.914689916	0.789414039	0.871268109	0.0281612799
77	1.99989692	0.920491834	0.787826373	0.87026094	0.0280344734
78	1.93562944	0.928332125	0.78650108	0.869465803	0.0278639868
79	1.87079863	0.935251149	0.785589723	0.868942141	0.0277138094
80	1.84061557	0.93828857	0.785244453	0.86875005	0.0276479409
81	1.8577307	0.930527113	0.78609428	0.869149098	0.027665873
82	1.89851418	0.911676473	0.788320559	0.870211767	0.027717584
83	1.94511728	0.889270103	0.79134578	0.871693192	0.0277980073
84	1.97969501	0.87084295	0.794592274	0.873348443	0.0279020901
85	2.00228196	0.855911497	0.799334984	0.876086624	0.0282872148
86	2.02325401	0.840837078	0.805755284	0.880015766	0.0290065966
87	2.0387537	0.829141464	0.811424745	0.883555361	0.0297179358
88	2.04491946	0.824348372	0.813914373	0.885124543	0.0300788488
89	2.03818282	0.827608164	0.812309529	0.884404071	0.0301221135
90	2.0216997	0.834961472	0.808689246	0.882778497	0.0301436201
91	2.00182888	0.842379235	0.80503723	0.881138674	0.0301647853
92	1.98492954	0.845832699	0.803336973	0.880375227	0.0302069425
93	1.97028292	0.843213926	0.804581617	0.881580684	0.0305084335
94	1.95504254	0.836386482	0.807697489	0.884497606	0.0311406337
95	1.94302698	0.827184392	0.811616102	0.887938922	0.0318488394
96	1.93805661	0.817441427	0.815269099	0.890717418	0.0323782778
97	1.96760026	0.80504232	0.819027671	0.892886429	0.0326705453
98	2.03421941	0.789072886	0.823280688	0.895041574	0.0328925488
99	2.10142252	0.773589622	0.826843839	0.896699064	0.0331134467
100	2.13271004	0.762650161	0.828532426	0.897374812	0.0334023591
101	2.13070055	0.755566855	0.828764738	0.897273629	0.0338308179
102	2.12614848	0.749307463	0.82889488	0.896987375	0.0343808099
103	2.1215565	0.744826995	0.829005432	0.896553527	0.0349847298
104	2.11941863	0.74308158	0.829178602	0.896009398	0.0355749656
105	2.12191386	0.744149908	0.829474116	0.894437897	0.0361415107
106	2.12857259	0.746559878	0.829877023	0.891689916	0.0367184277
107	2.13788304	0.748990972	0.830357949	0.889068087	0.0372995577
108	2.14833334	0.750122809	0.830887519	0.887875351	0.0378787293
109	2.1605635	0.74647772	0.831521549	0.8892622	0.0384442217
110	2.17678276	0.737318534	0.832285767	0.892786546	0.0390021711
111	2.19765749	0.725716152	0.833096478	0.89733902	0.0395741751
112	2.22385361	0.71474223	0.833869964	0.901810187	0.0401818337
113	2.27907711	0.702926166	0.834715105	0.907038587	0.0408738759
114	2.36412749	0.689239897	0.835639825	0.91335955	0.0416308233
115	2.44246885	0.677880514	0.836387397	0.918703259	0.0423676204
116	2.47755764	0.673046354	0.836701039	0.920999342	0.0429992
117	2.43596058	0.682249842	0.833314382	0.917755821	0.0434900848
118	2.34214301	0.703073294	0.825677834	0.910440738	0.0439077862
119	2.24750307	0.724250351	0.817974347	0.903061534	0.0443192918
120	2.20344187	0.734513119	0.814387861	0.899626023	0.0447915825
121	2.20426161	0.735051032	0.815082929	0.900080323	0.0453584324
122	2.20613959	0.73536205	0.816699539	0.901107002	0.0459907043
123	2.20803402	0.735605725	0.81844839	0.902142679	0.0466627841
124	2.20891601	0.735938805	0.819541031	0.902624856	0.0473490627
125	2.19742891	0.73652788	0.819917137	0.90236507	0.0480526632
126	2.17152681	0.737269063	0.820159166	0.901714743	0.048786606
127	2.14539761	0.737905854	0.820386132	0.900897154	0.0495375151
128	2.1332326	0.738181733	0.820716896	0.900135516	0.0502920075
129	2.13785406	0.737605926	0.821431969	0.899488127	0.0510599563
130	2.14828297	0.736307384	0.822468252	0.898835406	0.0518449171
131	2.15880334	0.734997453	0.823404807	0.898145818	0.0526215686
132	2.16370133	0.734387586	0.823820634	0.89738786	0.0533645826
133	2.15003154	0.739080057	0.822138238	0.896483759	0.054065366
134	2.1192048	0.749661333	0.818344399	0.895454323	0.0547400246
