kimg	g_loss	d_loss	real_sign_proxy	fake_sign_proxy	ada_p
0	0.752113029	1.89363798	0.5	0.28125	0
1	4.48403116	1.33117097	0.659682689	0.532749927	0.00138984622
2	7.65057138	0.837539586	0.801591181	0.7555873	0.00284249927
3	9.82651673	0.489887382	0.903689359	0.913581164	0.00433414613
4	10.6504532	0.355944426	0.946598503	0.974733465	0.00586324041
5	10.4158125	0.36999625	0.951032803	0.973099456	0.00744393845
6	9.83395705	0.401762254	0.953727352	0.969377748	0.00907563809
7	9.11548402	0.43380672	0.955742717	0.965623415	0.0107327388
8	8.47084201	0.448725577	0.958129739	0.963875521	0.0123896348
9	7.88666259	0.429584942	0.961662184	0.96537377	0.0140443389
10	7.27020022	0.386011505	0.965641921	0.968753252	0.0157092301
11	6.73313403	0.341038827	0.968903794	0.972162359	0.0173782555
12	6.3871981	0.31770207	0.970282627	0.973749527	0.0190453568
13	6.20806179	0.314627687	0.96780369	0.973541311	0.0206927814
14	6.07535071	0.312942699	0.962213207	0.97307075	0.0223283185
15	5.96791426	0.311432332	0.956573717	0.972596064	0.0239860016
16	5.86463214	0.308887227	0.953948151	0.972375066	0.0256998694
17	5.77343879	0.301663918	0.955266832	0.973228728	0.0275517941
18	5.69973093	0.29011336	0.95824201	0.975153749	0.0295064809
19	5.6156356	0.279356266	0.96124327	0.977095646	0.0314146296
20	5.49327191	0.274514261	0.962640561	0.977999731	0.0331269194
21	5.1986794	0.294242851	0.95868367	0.976095534	0.0346664133
22	4.71635125	0.343435161	0.948605409	0.970969093	0.0361216437
23	4.20948832	0.404892176	0.935533021	0.963704405	0.0374259664
24	3.84132768	0.461410353	0.922594512	0.955385749	0.0385126951
25	3.60107096	0.510911433	0.909358605	0.942834269	0.0394199448
26	3.38350634	0.561869791	0.894285169	0.924687736	0.0402254448
27	3.22524157	0.611664853	0.879165435	0.905222628	0.040912486
28	3.16292501	0.657672668	0.865791517	0.888716688	0.0414643334
29	3.17206803	0.701954682	0.852804787	0.874088957	0.0419178253
30	3.19272245	0.745543567	0.839550737	0.859350943	0.0423144292
31	3.21355794	0.783782113	0.829207524	0.847929112	0.0426391471
32	3.22325825	0.812011789	0.824954198	0.843251306	0.0428769672
33	3.18524507	0.829379166	0.826105607	0.843515605	0.0430293408
34	3.08353679	0.841675831	0.828704528	0.844114501	0.0431368341
35	2.94071883	0.853994016	0.831326229	0.844718646	0.043242421
36	2.77938475	0.871425365	0.832546806	0.844999916	0.043389073
37	2.50227066	0.909066235	0.830645242	0.840153585	0.0436885552
38	2.09794302	0.964382923	0.825609476	0.829016228	0.044116468
39	1.73171812	1.01460176	0.818649926	0.817254263	0.0445014088
40	1.56895001	1.03694524	0.810977202	0.810535548	0.0446719478
41	1.59649831	1.03646552	0.800503373	0.808922149	0.0444713831
42	1.66730862	1.03508077	0.786290958	0.80798501	0.043959793
43	1.76033871	1.03295852	0.771631552	0.807102981	0.0432947069
44	1.85458557	1.03025992	0.759817709	0.805656124	0.0426336645
45	1.97305667	1.02157173	0.750169796	0.801533817	0.0419495417
46	2.12175511	1.00595838	0.740857183	0.794883258	0.0411648025
47	2.2493906	0.990959288	0.733812367	0.78867392	0.0403784782
48	2.3046599	0.984115701	0.730968833	0.785875821	0.0396896464
49	2.28534146	0.991618884	0.735461368	0.790948652	0.0391373656
50	2.23712292	1.00854187	0.745593062	0.802853526	0.0386521453
51	2.17685316	1.02561319	0.755813565	0.81603152	0.0381735686
52	2.12137097	1.03356102	0.760571891	0.824922951	0.0376412276
53	2.07558106	1.02847217	0.760103074	0.82907334	0.0370411161
54	2.03037461	1.0169923	0.758817797	0.832275088	0.0363977778
55	1.98241537	1.00541181	0.75695533	0.834934933	0.0357049567
56	1.92836939	1.00002032	0.754753662	0.837458518	0.0349563869
57	1.85938404	1.00698436	0.751344254	0.840298709	0.0341387341
58	1.77776031	1.02406155	0.746156257	0.843192065	0.0332452691
59	1.69771271	1.04473663	0.739991245	0.845447718	0.0322804956
60	1.63345794	1.06249385	0.73365111	0.846374741	0.0312489193
61	1.58025976	1.0757124	0.726552281	0.845399332	0.0300909352
62	1.52950071	1.08794025	0.718384078	0.842714297	0.0288059737
63	1.49136306	1.10005415	0.710501872	0.838785563	0.0274948882
64	1.47603391	1.11292984	0.704261423	0.834079075	0.026258553
65	1.47634428	1.1296673	0.699184669	0.823758788	0.0250893359
66	1.47729684	1.14904225	0.694394049	0.807178363	0.0239396624
67	1.47886948	1.16511848	0.69081844	0.791716112	0.022860297
68	1.48104422	1.17195892	0.689387187	0.784752042	0.0219020313
69	1.52215284	1.15938112	0.696704981	0.788496989	0.021046971
70	1.61149199	1.13098299	0.713623253	0.797532081	0.0202547692
71	1.70098079	1.10225318	0.731738707	0.808121075	0.0195488122
72	1.74252616	1.08868239	0.742646147	0.81652862	0.0189525035
73	1.72463455	1.08844412	0.745900034	0.821915819	0.0184049172
74	1.6842641	1.08833655	0.747873308	0.826488898	0.0178835606
75	1.64353979	1.08823088	0.749763531	0.830866427	0.017478789
76	1.6245799	1.08800223	0.752766568	0.835666397	0.0172809827
77	1.63082228	1.07308087	0.760840673	0.842187739	0.0172273214
78	1.64491054	1.03988989	0.773641954	0.849811485	0.0171868123
79	1.65912229	1.00649375	0.785534629	0.856164721	0.0171611327
80	1.66573881	0.990961556	0.790881892	0.858874227	0.017151997
81	1.65767342	0.99107823	0.790023434	0.858473762	0.0171714216
82	1.63948287	0.991436019	0.787779797	0.857376827	0.0172152263
83	1.62113287	0.992008956	0.784750731	0.855786785	0.0172594149
84	1.61258973	0.992775664	0.781534667	0.853906338	0.0172799876
85	1.61602849	0.997462122	0.7769748	0.850027927	0.0171634318
86	1.62406566	1.00686689	0.770891884	0.843933736	0.0169006039
87	1.63287158	1.01613455	0.765548615	0.838286794	0.0166354723
88	1.63861807	1.02040849	0.763208224	0.835750743	0.0165120358
89	1.64134459	1.01864085	0.766445189	0.836584759	0.0165119991
90	1.64366165	1.01463054	0.773745531	0.838467003	0.0165119991
91	1.64527592	1.01053045	0.781109864	0.840365746	0.0165119991
92	1.64589318	1.00849276	0.784538453	0.841249737	0.0165119991
93	1.64307664	1.00833682	0.782649425	0.839694312	0.0164537181
94	1.63672544	1.00826349	0.778387681	0.836186494	0.0163223042
95	1.63031857	1.00818959	0.77408858	0.832647929	0.0161897383
96	1.62733574	1.00803245	0.772087062	0.831000491	0.0161280201
97	1.67455829	0.991274051	0.77768327	0.835231826	0.0162212017
98	1.78103927	0.953796383	0.790303131	0.84480388	0.016443908
99	1.88845361	0.91604871	0.803033611	0.854535278	0.0167001499
100	1.93846215	0.898485516	0.808960499	0.859243795	0.0168939282
101	1.92289022	0.903743309	0.808506781	0.859464677	0.0170025207
102	1.88584089	0.91618212	0.807284808	0.859573656	0.0170867152
103	1.84367832	0.930167726	0.80556177	0.859674712	0.0171705257
104	1.81275659	0.940069504	0.803603227	0.859870536	0.017277952
105	1.79307414	0.945878758	0.800163666	0.860704581	0.0174243573
106	1.77495687	0.951091539	0.795096657	0.862292774	0.0176048593
107	1.76163938	0.954861175	0.790493005	0.864042414	0.0178134571
108	1.75636003	0.956339708	0.788443994	0.865360654	0.0180441508
109	1.77260938	0.947759442	0.791590516	0.866133544	0.0183128038
110	1.80925223	0.92836049	0.798861822	0.866747531	0.0186281192
111	1.84621627	0.908663275	0.806637254	0.867324947	0.0189710126
112	1.86342549	0.899190534	0.811295766	0.867988028	0.0193223931
113	1.85992422	0.898728191	0.81296553	0.868777983	0.0197213476
114	1.85133902	0.898394747	0.814313945	0.869637434	0.0201674631
115	1.84097091	0.898191157	0.815218145	0.870546384	0.0205756674
116	1.83211687	0.898121029	0.815554423	0.871484855	0.0208608704
117	1.82437963	0.900020289	0.814732956	0.872482892	0.0210179355
118	1.81629791	0.904302844	0.812880485	0.873545325	0.0211290118
119	1.80991368	0.908622937	0.811011777	0.874608772	0.0212341149
120	1.80726977	0.910634228	0.810141769	0.875609837	0.0213732444
121	1.84103148	0.899177264	0.811747613	0.876654915	0.0215909135
122	1.91716018	0.873342367	0.81536911	0.877747124	0.0218701614
