kimg	g_loss	d_loss	real_sign_proxy	fake_sign_proxy	ada_p
0	0.66190061	2.2035504	0.5	0.21875	0
1	4.25506148	1.5282894	0.660072116	0.493914598	0.00137829535
2	7.31067866	0.928152222	0.802318844	0.738075401	0.00282737014
3	9.41391412	0.497678839	0.90503126	0.911363443	0.00432301081
4	10.2112762	0.320179317	0.949166421	0.978481845	0.00586301328
5	10.0051367	0.304340634	0.95540262	0.977475524	0.00745713818
6	9.48692039	0.292876026	0.959747148	0.975165499	0.00910747105
7	8.83102954	0.285872208	0.962578625	0.972835223	0.0107989214
8	8.21171554	0.28345851	0.964266001	0.971750323	0.012516395
9	7.55105235	0.285501584	0.965217032	0.972553397	0.0142731455
10	6.789364	0.290824959	0.965809765	0.974402174	0.0160738805
11	6.15375385	0.297994088	0.966364015	0.976360851	0.0178876653
12	5.87139416	0.305574428	0.967199579	0.977493698	0.0196835574
13	5.85673291	0.31620167	0.969130646	0.977771583	0.0214586244
14	5.84984322	0.330299575	0.972007011	0.977923506	0.0232279471
15	5.84315611	0.342658062	0.974629447	0.978079293	0.0249852586
16	5.82917524	0.348065809	0.975798531	0.978368578	0.0267242852
17	5.63257891	0.333035862	0.975752806	0.980175365	0.0284413011
18	5.21683265	0.298723482	0.975616194	0.983703585	0.0301406162
19	4.80264506	0.263057008	0.975396029	0.987159644	0.031827953
20	4.61077885	0.243967956	0.975099317	0.988749529	0.0335090337
21	4.64267332	0.240095785	0.974003194	0.988113201	0.0352940536
22	4.71471882	0.237149944	0.971441749	0.986305826	0.037149352
23	4.78739591	0.235268992	0.967581256	0.983548127	0.0388510097
24	4.82123204	0.234595832	0.962588189	0.980060533	0.0401750699
25	4.61288078	0.276320598	0.948765866	0.97214722	0.0411580324
26	4.12071367	0.377436254	0.923496908	0.957910902	0.0419997633
27	3.56802242	0.49712855	0.895470453	0.940702197	0.0426994558
28	3.17815333	0.594570632	0.873378085	0.923872889	0.043256244
29	2.97818583	0.663093629	0.858905544	0.906520803	0.0437477441
30	2.82122113	0.725334095	0.846682033	0.887271227	0.0442028329
31	2.68490852	0.781742092	0.835338911	0.869178026	0.0445385626
32	2.5469387	0.832760415	0.82350896	0.855296181	0.0446719608
33	2.39932639	0.882663803	0.810359491	0.844486066	0.0444331494
34	2.25408013	0.931173688	0.796750819	0.834509916	0.0438245738
35	2.11794376	0.971412216	0.78384318	0.827165289	0.0430345486
36	1.99765858	0.996500205	0.772796776	0.8242508	0.0422514232
37	1.88274837	1.00868143	0.763578909	0.824800182	0.0414821548
38	1.77010766	1.0170465	0.755296215	0.826040752	0.0406240697
39	1.67942153	1.02424671	0.747915464	0.827292196	0.039716422
40	1.63038017	1.03293136	0.741403689	0.827874826	0.038798507
41	1.61469316	1.0442485	0.734896137	0.823207521	0.0377924768
42	1.60553844	1.05680013	0.728441827	0.812601784	0.0367007036
43	1.59713742	1.06950375	0.723483162	0.801698458	0.0356963851
44	1.58371786	1.08127712	0.721462827	0.796139681	0.0349527557
45	1.54918996	1.09359833	0.723045819	0.795395473	0.0344599814
46	1.49572046	1.10661263	0.727154099	0.794842563	0.0340610312
47	1.44638824	1.11695202	0.732650773	0.794496702	0.0337229508
48	1.42427615	1.12124778	0.73839904	0.794375031	0.0334128259
49	1.48590306	1.11139787	0.746224554	0.79710694	0.0331604948
50	1.62487606	1.08918523	0.756454374	0.80326701	0.0329642323
51	1.76506723	1.06677789	0.765373438	0.809481076	0.0327367842
52	1.83033557	1.05634577	0.769265793	0.812374138	0.0323908774
53	1.74562754	1.07344682	0.757107359	0.807005979	0.0314116496
54	1.55458121	1.11201384	0.729689581	0.79489973	0.0296958011
55	1.36186026	1.15091891	0.702031472	0.782687364	0.027825818
56	1.2721358	1.16903182	0.689154778	0.777001693	0.0263843282
57	1.30341681	1.16195402	0.694478642	0.781829954	0.0254263222
58	1.3789413	1.14402043	0.707346063	0.793591605	0.0245918803
59	1.467531	1.12099393	0.722475356	0.807647085	0.0238835917
60	1.53802472	1.09863411	0.734587031	0.819357055	0.0233041602
61	1.58547996	1.07705677	0.742508802	0.82782172	0.022776407
62	1.62766756	1.05336475	0.749321673	0.835579043	0.0222791429
63	1.66544392	1.02928546	0.755821417	0.84285838	0.0219083419
64	1.69965986	1.00654761	0.762802978	0.849888308	0.0217600036
65	1.73205393	0.982030873	0.771998685	0.857813565	0.0219542326
66	1.76254342	0.955759441	0.782576101	0.866238767	0.022392279
67	1.78911496	0.93473633	0.791327844	0.872954053	0.0228341651
68	1.80975485	0.92596607	0.795046111	0.875749212	0.0230398925
69	1.82284501	0.931163868	0.791277031	0.871803864	0.0227485489
70	1.83168594	0.942889616	0.782775997	0.862905985	0.0220914793
71	1.84172173	0.954718146	0.774200446	0.853930112	0.0214286502
72	1.85839669	0.960225115	0.770207956	0.849751244	0.021120059
73	1.94007809	0.933650465	0.778809347	0.85625733	0.021430799
74	2.09449069	0.873725355	0.798206731	0.870930274	0.0221316732
75	2.24463465	0.813274972	0.817774144	0.885731834	0.022838691
76	2.31349262	0.785131287	0.826884079	0.892622948	0.0231678549
77	2.27895813	0.806098346	0.817606648	0.89146772	0.0230513909
78	2.20104268	0.853394472	0.796681468	0.888858246	0.0227885631
79	2.12244427	0.901105171	0.775572869	0.886225898	0.0225234314
80	2.08585146	0.923317683	0.765745408	0.885000365	0.022399995
81	2.12870215	0.893812822	0.774797367	0.888604643	0.0227674327
82	2.22618189	0.827269356	0.795273781	0.896732513	0.0236595526
83	2.32661398	0.760142604	0.816078481	0.904931628	0.02471929
84	2.37831908	0.728890624	0.826115358	0.908748863	0.0255895045
85	2.38596433	0.730339492	0.82665196	0.908503323	0.0261962038
86	2.3916712	0.733931199	0.827039687	0.907885954	0.0267396213
87	2.39525568	0.738318494	0.827276727	0.907109341	0.0272524903
88	2.39652106	0.742162991	0.82735847	0.906385008	0.0277674859
89	2.38333768	0.74483519	0.826032158	0.905810216	0.0282946352
90	2.34984528	0.747135581	0.822887303	0.905259673	0.0288164702
91	2.30658772	0.749835035	0.819327012	0.904617028	0.029326005
92	2.26411248	0.753704322	0.81675478	0.903765946	0.0298162581
93	2.21446941	0.764428132	0.815172391	0.901919866	0.0302759931
94	2.15446877	0.782193151	0.813731763	0.899109136	0.0307129722
95	2.10375024	0.798902175	0.812680156	0.8965291	0.0311495937
96	2.08195877	0.806456319	0.812265151	0.895375337	0.0316082584
97	2.0826153	0.802604047	0.812730249	0.895830323	0.0321645526
98	2.08410975	0.793890731	0.813779224	0.896857002	0.0327882575
99	2.0856173	0.785045498	0.814837393	0.897892679	0.0333352235
100	2.08631916	0.780796478	0.815330042	0.898374856	0.0336612799
101	2.08322871	0.780636695	0.814044767	0.898261169	0.0337812272
102	2.07625978	0.780561888	0.811146356	0.8980045	0.0338497198
103	2.06922977	0.78048921	0.808222539	0.89774558	0.033919975
