kimg	g_loss	d_loss	real_sign_proxy	fake_sign_proxy	ada_p
0	0.66190888	2.17518926	0.5	0.21875	0
1	3.74866627	1.55743394	0.65071802	0.486175813	0.00107737209
2	6.48805856	1.00836137	0.784703429	0.723854491	0.00230469842
3	8.43249771	0.603249787	0.884062994	0.894213931	0.00364961412
4	9.18567932	0.407044108	0.933426911	0.964128711	0.00509611917
5	9.18149825	0.350332978	0.949933973	0.969902444	0.00672219734
6	9.16830012	0.310001586	0.962519208	0.974075984	0.00854097337
7	9.1466574	0.282476724	0.970565684	0.976622891	0.0104282573
8	9.11693995	0.264217785	0.973448506	0.977499781	0.0122598297
9	8.80598076	0.250114998	0.972897105	0.9775	0.0139974042
10	8.11321315	0.238225549	0.971652111	0.9775	0.0157090182
11	7.32924403	0.229991771	0.970396204	0.9775	0.017423983
12	6.74476499	0.226856622	0.969811495	0.9775	0.0191715937
13	6.35655887	0.231835797	0.971183672	0.978998769	0.0209701535
14	5.99541444	0.243064918	0.9742781	0.98237825	0.022801932
15	5.72818836	0.254392477	0.977399655	0.985787357	0.0246423922
16	5.62180547	0.259666225	0.978852951	0.987374527	0.0264669977
17	5.7671206	0.25686044	0.97834881	0.987182902	0.0283001854
18	6.09484895	0.250530301	0.976945612	0.986628675	0.0301463686
19	6.42545034	0.244144668	0.974862345	0.985765028	0.0319456279
20	6.57936777	0.241171721	0.972317708	0.984644724	0.0336380299
21	6.43775829	0.248436714	0.967651686	0.981497759	0.0352295855
22	6.08148586	0.267684689	0.95997244	0.975413464	0.0367562545
23	5.62936439	0.294307139	0.950856055	0.96793538	0.0381972046
24	5.2002045	0.323694326	0.941879174	0.960607594	0.0395315874
25	4.79432883	0.360775407	0.93313256	0.953273924	0.0407814273
26	4.35549309	0.410061636	0.923819982	0.945215718	0.0419656365
27	3.92805059	0.465359272	0.914313618	0.937288533	0.0430543671
28	3.55638276	0.520471986	0.904985987	0.93034835	0.0440177595
29	3.20277688	0.581637315	0.896140406	0.925175001	0.0449201554
30	2.84840216	0.650108825	0.887519683	0.921007907	0.0457829568
