kimg	g_loss	d_loss	real_sign_proxy	fake_sign_proxy	ada_p
0	0.66191873	2.19610476	0.5	0.21875	0
1	4.25708283	1.55065428	0.663869403	0.493835929	0.00133260168
2	7.24249806	0.977100848	0.809504697	0.73800453	0.00276823904
3	9.26041818	0.560366335	0.914071194	0.911336371	0.00428004895
4	10.0153678	0.374608549	0.957460036	0.978481836	0.00586214907
5	9.64744601	0.340378781	0.961715318	0.97764627	0.00756516237
6	8.76643308	0.317151463	0.964800923	0.975721249	0.00938771016
7	7.749513	0.301238599	0.966688664	0.973779353	0.0112390383
8	6.97378326	0.288989482	0.967340062	0.972875269	0.0130283741
9	6.47652756	0.27743451	0.967031193	0.973501069	0.01472496
10	6.03633073	0.267120451	0.966259549	0.974912751	0.0163805691
11	5.66970949	0.259688731	0.965292925	0.976336808	0.0180242662
12	5.39325498	0.256780817	0.964399041	0.976999803	0.0196851058
13	5.18980414	0.258878927	0.963746281	0.976960722	0.0213970635
14	5.02323962	0.264718613	0.963164016	0.976842286	0.023137343
15	4.8846129	0.273394126	0.962413092	0.97664767	0.024847976
16	4.76498331	0.283999911	0.961254365	0.976379864	0.0264709893
17	4.64636583	0.307318394	0.955596138	0.973896446	0.028015235
18	4.53172096	0.346032665	0.944404877	0.968001763	0.0295115561
19	4.44493176	0.385731559	0.932485249	0.960354885	0.0309288636
20	4.40988505	0.412000243	0.924643152	0.952615522	0.0322360519
21	4.52315204	0.423062384	0.921504031	0.944416421	0.0334723489
22	4.77857291	0.43013256	0.919500292	0.934890413	0.0346568919
23	5.03623294	0.437342287	0.917461735	0.92513646	0.0357209695
24	5.1561912	0.448820534	0.914219005	0.916254036	0.0365958506
25	5.01898149	0.476096849	0.906013347	0.908507249	0.0373039082
26	4.67740573	0.520965455	0.892515453	0.901248069	0.0379216703
27	4.25206602	0.571981742	0.878040302	0.894268591	0.0384539054
28	3.86357015	0.617698478	0.866903796	0.887361075	0.0389053606
29	3.47470326	0.662068851	0.858752033	0.879306007	0.0392487804
30	3.04078074	0.709372339	0.851068972	0.870536459	0.0395135603
31	2.68669349	0.747130099	0.845338531	0.863464065	0.0397939747
32	2.53737435	0.762859173	0.843045745	0.860500838	0.0401843101
33	2.67757627	0.738097304	0.847716069	0.867899004	0.0410114477
34	2.99380379	0.682253414	0.858248297	0.884582527	0.0422442765
35	3.3128032	0.625920024	0.868872846	0.90141229	0.0434083333
36	3.4613187	0.599693074	0.873819282	0.909247667	0.0440290691
37	3.29055816	0.625516281	0.865940282	0.902753775	0.0441609628
38	2.90542187	0.684822188	0.84817113	0.887559498	0.0442364048
39	2.51690966	0.747317507	0.830246222	0.870857658	0.0443043521
40	2.33603131	0.78270864	0.821900982	0.859840771	0.0444136442
41	2.35729289	0.792665407	0.823872651	0.854452295	0.0446928909
42	2.41020607	0.800462294	0.828324043	0.849841663	0.0451227537
43	2.47578405	0.805563124	0.832814453	0.846613817	0.0455186468
44	2.53508744	0.80742454	0.834905038	0.845375333	0.0456959534
45	2.59324838	0.796740776	0.834734493	0.848144884	0.0456960052
46	2.65748593	0.772649575	0.834222836	0.85439051	0.0456960052
47	2.70965215	0.748347202	0.833390492	0.860690883	0.0456960052
48	2.73159274	0.737032826	0.832257308	0.863624126	0.0456960052
