kimg	g_loss	d_loss	real_sign_proxy	fake_sign_proxy	ada_p
0	0.752099663	1.89158764	0.5	0.28125	0
1	3.21230436	1.29621909	0.650409973	0.532187131	0.00124722587
2	5.39936123	0.780316224	0.784127228	0.754455067	0.00261291224
3	6.95357738	0.420270785	0.883388433	0.912010244	0.00406897686
4	7.55608804	0.282428634	0.932948985	0.972983515	0.00560677974
5	7.55614785	0.311808161	0.949824819	0.971197682	0.00726650112
6	7.55583146	0.378137685	0.962710531	0.967133748	0.00905577405
7	7.55530216	0.445048654	0.970959803	0.963034189	0.0109115027
8	7.55456017	0.476200217	0.973918411	0.961125568	0.0127705761
9	7.19338665	0.44180094	0.973830532	0.964141512	0.0146486986
10	6.38015149	0.364215263	0.973574081	0.970943254	0.016571126
11	5.56000511	0.285949469	0.973173058	0.97780462	0.0184814813
12	5.17821215	0.249511471	0.972650726	0.980999049	0.0203233672
13	5.19371619	0.258541625	0.97125634	0.980456181	0.0221038969
14	5.22893168	0.280687749	0.968494529	0.978992025	0.0238502216
15	5.26445588	0.307455536	0.964854633	0.97691652	0.0255301808
16	5.28099481	0.330358783	0.96082622	0.974538813	0.0271115982
17	5.26792489	0.346403732	0.955956265	0.971161526	0.028606918
18	5.23016298	0.360477701	0.949738599	0.966332912	0.0300382214
19	5.17124145	0.375561748	0.942675358	0.960836442	0.0313835918
20	5.09469137	0.394635967	0.93526893	0.95545587	0.0326211012
21	4.85045262	0.420670458	0.927595966	0.950758811	0.0338294425
22	4.38187061	0.453882523	0.919282766	0.946216044	0.0350132534
23	3.85009616	0.493057355	0.910187543	0.940960955	0.0360277398
24	3.41632745	0.536979972	0.900168593	0.934126918	0.0367280757
25	3.06592787	0.602582246	0.886098492	0.920122749	0.0371169234
26	2.71813446	0.68834151	0.868639181	0.899302894	0.0373801179
27	2.45081076	0.763112252	0.853721238	0.880332275	0.0376373871
28	2.3418632	0.795742881	0.847276288	0.871877467	0.0380084311
29	2.41260828	0.781067558	0.852195681	0.872747701	0.0387920695
30	2.57219553	0.747955807	0.8632923	0.874715501	0.0399381081
31	2.73318174	0.714553797	0.874486192	0.876700551	0.0410164882
32	2.80813157	0.69900293	0.879697696	0.877624725	0.0415970802
33	2.80148056	0.717467805	0.870251832	0.872787189	0.0417307404
34	2.78286456	0.759113466	0.848949483	0.861878732	0.0418104114
35	2.75510832	0.801124173	0.827460407	0.850874657	0.0418796326
36	2.72101614	0.820682958	0.81745581	0.845751526	0.0419818365
37	2.63531104	0.818652692	0.821693698	0.852845456	0.0421420053
38	2.49128078	0.813208271	0.831256148	0.868844526	0.0423499114
39	2.355284	0.805569496	0.840902418	0.884983837	0.0425971523
40	2.29369473	0.796950934	0.845393399	0.892497762	0.0428753278
41	2.3721197	0.782210893	0.845077406	0.892215423	0.0432954427
42	2.54899575	0.760744662	0.844157786	0.891573749	0.0438487634
43	2.72742222	0.741313157	0.842716717	0.89092645	0.0443325281
44	2.81049164	0.732679295	0.840835128	0.89062509	0.0445439354
45	2.70974758	0.746189088	0.833233706	0.891080323	0.0444728182
46	2.48253071	0.777523248	0.818738625	0.892107002	0.044298372
47	2.25332218	0.811310845	0.804220597	0.893142679	0.0440873033
48	2.14661032	0.832179233	0.796552041	0.893624856	0.0439062795
49	2.15625169	0.838762533	0.79530086	0.890786728	0.0437840996
50	2.17806301	0.842597606	0.794656734	0.883556968	0.0436809606
51	2.20006553	0.846588058	0.794019571	0.874176177	0.0435627231
52	2.21030916	0.853634573	0.792790891	0.864885663	0.0433952536
53	2.1425265	0.887854922	0.7845102	0.853813143	0.0430234633
54	1.98968101	0.951979537	0.768196485	0.840293817	0.0424316244
55	1.83549575	1.01420382	0.752185144	0.828817806	0.0418100271
56	1.76371223	1.0427161	0.744813505	0.823876417	0.0413490034
57	1.79477516	1.0317209	0.752731088	0.827688333	0.0411007271
58	1.86486512	1.00690954	0.770588843	0.836286764	0.0409265948
59	1.93556944	0.981880699	0.788603131	0.844960565	0.0407398654
60	1.96848702	0.970228104	0.796989984	0.848998797	0.0404538224
61	1.92908719	0.981637499	0.788469433	0.845376385	0.0397552206
62	1.83955981	1.00737161	0.769251378	0.837205737	0.0386049393
63	1.74757435	1.03333129	0.749864868	0.828963468	0.0373565764
64	1.70080293	1.04541726	0.740839154	0.825126143	0.0363638082
65	1.69472043	1.04352766	0.743435107	0.825172681	0.035688737
66	1.69020726	1.03850082	0.749588133	0.825315746	0.0351110555
67	1.68738729	1.03152318	0.75653344	0.825549495	0.0345829293
68	1.68639619	1.02377817	0.761508121	0.825869212	0.0340565839
69	1.7236691	1.01201295	0.764051195	0.828917393	0.0334961056
70	1.80771388	0.995524874	0.765981037	0.835538025	0.0329322752
71	1.89249535	0.979824761	0.767780481	0.842722282	0.0324177984
72	1.93196678	0.970424785	0.769931889	0.847460511	0.0320053818
73	1.92876613	0.967118222	0.772559315	0.849478189	0.0316535341
74	1.91984083	0.965030781	0.775467516	0.850921735	0.0313220217
75	1.90660663	0.963127921	0.778687749	0.85220005	0.031074819
76	1.89046847	0.960376333	0.782251346	0.853721454	0.030975926
77	1.85849164	0.954647677	0.787315898	0.85602221	0.0309758987
78	1.80587071	0.946533704	0.793659927	0.85878912	0.0309758987
79	1.74782494	0.939255842	0.79910095	0.861123034	0.0309758987
80	1.69957794	0.936035989	0.80145609	0.862124713	0.0309758987
81	1.66436135	0.951386876	0.794094033	0.858319601	0.030681151
82	1.63318057	0.987328683	0.777290342	0.849459494	0.029934813
83	1.6038141	1.02692104	0.759831351	0.839818493	0.0289763422
84	1.57404284	1.05321973	0.750505041	0.833671597	0.0280452839
85	1.53802409	1.06633297	0.748638335	0.83094926	0.0270414045
