kimg	fid	precision	recall
0	306.473661	0	0
2.5	303.670099	2.17188363e-07	0
5	300.490408	8.68715104e-07	0
7.5	296.963719	1.9545227e-06	0
10	293.119601	3.47455364e-06	0
12.5	288.987798	5.42875039e-06	0
15	284.597985	7.81705544e-06	0
17.5	279.979539	1.06394113e-05	0
20	275.161341	1.38957603e-05	0
22.5	270.171591	1.75860451e-05	0
25	265.037651	2.17102082e-05	0
27.5	259.785907	2.62681919e-05	0
30	254.441655	3.12599388e-05	0
32.5	249.029007	3.66853913e-05	0
35	243.570819	4.2544492e-05	0
37.5	238.08863	4.88371833e-05	0
40	232.602634	5.55634076e-05	0
42.5	227.131655	6.27231076e-05	0
45	221.69314	7.03162256e-05	0
47.5	216.303172	7.83427041e-05	0
50	210.713667	0.000965302497	0
52.5	204.476501	0.00439134923	0
55	197.732516	0.0101322393	0
57.5	190.631585	0.0179069492	0
60	183.312381	0.0274344557	0
62.5	175.900473	0.0384337354	0
65	168.507243	0.0506237649	0
67.5	161.229532	0.0637235209	0
70	154.14987	0.0774519798	0
72.5	147.337187	0.0915281185	0
75	140.847882	0.105670913	0
77.5	134.727141	0.119599341	0
80	129.01042	0.133032379	0
82.5	123.725011	0.145689002	0
85	118.891642	0.157288189	0
87.5	114.526067	0.167548915	0
90	110.640638	0.176190156	0
92.5	107.245822	0.182930891	0
95	104.351712	0.187490095	0
97.5	101.91151	0.190007858	0
100	99.6846359	0.192067055	0
102.5	97.625342	0.193876434	0
105	95.7144547	0.195465875	0
107.5	93.9343378	0.196865257	0
110	92.2686959	0.198104458	0
112.5	90.7024065	0.199213358	0
115	89.2213785	0.200221834	0
117.5	87.8124324	0.201159767	0
120	86.4632016	0.202057034	0
122.5	85.1620512	0.202943515	0
125	83.8980133	0.203849088	0
127.5	82.6607367	0.204803633	0
130	81.44045	0.205837028	0
132.5	80.2279371	0.206979152	0
135	79.0145226	0.208259883	0
137.5	77.7920682	0.209709102	0
140	76.5529773	0.211356686	0
142.5	75.2902073	0.213232514	0
145	73.9963557	0.215396104	0
147.5	72.6631588	0.21812579	0
150	71.3005685	0.221444187	0
152.5	69.9210754	0.225302504	0
155	68.536387	0.229651949	0
157.5	67.1574078	0.23444373	0
160	65.7942386	0.239629056	0
162.5	64.4561917	0.245159135	0
165	63.1518191	0.250985176	0
167.5	61.8889544	0.257058386	0
170	60.6747641	0.263329974	0
172.5	59.5158072	0.269751149	0
175	58.4181035	0.276273119	0
177.5	57.3872063	0.282847093	0
180	56.4282822	0.289424278	0
182.5	55.5461937	0.295955883	0
185	54.7455872	0.302393116	0
187.5	54.0309849	0.308687187	0
190	53.4068806	0.314789302	0
192.5	52.876245	0.320663722	7.6688074e-07
195	52.3899393	0.326691427	2.71267361e-05
197.5	51.9228095	0.333029042	8.9559379e-05
200	51.4747242	0.339623973	0.000186060765
202.5	51.0455613	0.346423625	0.000314626852
205	50.6352088	0.353375402	0.000473253595
207.5	50.2435653	0.360426708	0.00065993695
210	49.87054	0.367524949	0.000872672873
212.5	49.5160537	0.374617528	0.00110945732
215	49.180039	0.381651851	0.00136828625
217.5	48.8624406	0.388575323	0.00164715562
220	48.5632163	0.395335348	0.00194406138
222.5	48.282337	0.40187933	0.00225699949
225	48.0197876	0.408154674	0.00258396591
227.5	47.7755673	0.414108785	0.00292295659
230	47.5496902	0.419689068	0.00327196749
232.5	47.342186	0.424842927	0.00362899456
235	47.1531007	0.429517767	0.00399203377
237.5	46.9824968	0.433660992	0.00435908106
240	46.8304545	0.437220007	0.00472813239
242.5	46.6953169	0.440376124	0.00514715122
245	46.574224	0.44335432	0.00565875687
247.5	46.4654861	0.446167502	0.00625292912
250	46.3674392	0.448828577	0.00691964776
252.5	46.2784409	0.451350452	0.00764889256
255	46.1968669	0.453746032	0.00843064331
257.5	46.1211078	0.456028224	0.00925487978
260	46.0495677	0.458209935	0.0101115818
