kimg	fid	precision	recall
0	298.405691	0	0
2.5	285.17824	5.46079007e-07	0
5	272.706389	2.18353706e-06	0
7.5	260.975898	4.91120571e-06	0
10	249.970157	8.72791651e-06	0
12.5	239.670795	1.3632501e-05	0
15	230.058232	1.96237907e-05	0
17.5	221.112177	2.67006173e-05	0
20	212.812083	3.48618122e-05	0
22.5	205.137547	4.4106207e-05	0
25	198.068678	5.44326332e-05	0
27.5	191.586425	6.58399224e-05	0
30	185.672877	7.83269062e-05	0
32.5	180.311537	9.18924161e-05	0
35	175.487585	0.000106535284	0
37.5	171.188122	0.00012225434	0
40	167.402417	0.000139048418	0
42.5	164.12215	0.000156916348	0
45	161.341678	0.000175856961	0
47.5	159.058306	0.00019586909	0
50	157.1908	0.000382410391	0
52.5	155.555076	0.00105855912	0
55	154.116795	0.00220121418	0
57.5	152.848157	0.00377670886	0
60	151.722728	0.00575137642	0
62.5	150.715189	0.00809155015	0
65	149.801128	0.0107635633	0
67.5	148.956881	0.0137337493	0
70	148.159405	0.0169684412	0
72.5	147.386188	0.0204339725	0
75	146.6152	0.0240966763	0
77.5	145.82487	0.027922886	0
80	144.994101	0.0318789349	0
82.5	144.10231	0.0359311562	0
85	143.129504	0.0400458832	0
87.5	142.056382	0.0441894491	0
90	140.86446	0.0483281874	0
92.5	139.536221	0.0524284312	0
95	138.055294	0.0564565139	0
97.5	136.325803	0.0604899767	3.84937645e-06
100	134.046647	0.0649453295	2.69623325e-05
102.5	131.272589	0.069822336	7.01120828e-05
105	128.097706	0.0750708955	0.00013233532
107.5	124.614012	0.0806409077	0.000212668737
110	120.909278	0.0864822721	0.000310149025
112.5	117.065417	0.0925448881	0.000423812879
115	113.157372	0.0987786553	0.000552696989
117.5	109.252489	0.105133473	0.00069583805
120	105.410311	0.111559241	0.000852272753
122.5	101.682712	0.118005859	0.00102103779
125	98.1143264	0.124423226	0.00120116986
127.5	94.7431947	0.130761242	0.00139170564
130	91.601571	0.136969807	0.00159168184
132.5	88.716853	0.142998819	0.00180013514
135	86.1125899	0.148798178	0.00201610224
137.5	83.8095484	0.154317785	0.00223861984
140	81.8268222	0.159507538	0.00246672461
142.5	80.182984	0.164317336	0.00269945326
145	78.8739538	0.168715142	0.0029380135
147.5	77.6955042	0.172842363	0.00320219827
150	76.5904347	0.176759851	0.00349786942
152.5	75.5527776	0.180492308	0.00382612789
155	74.5769267	0.184064437	0.0041880746
157.5	73.6575999	0.18750094	0.00458481047
160	72.7898072	0.190826518	0.00501743641
162.5	71.968821	0.194065873	0.00548705337
165	71.1901503	0.197243707	0.00599476225
167.5	70.4495175	0.200384723	0.00654166398
170	69.7428383	0.203513622	0.00712885948
172.5	69.0662034	0.206655107	0.00775744969
175	68.4158628	0.209833878	0.00842853551
177.5	67.7882126	0.213074639	0.00914321787
180	67.1797828	0.21640209	0.00990259769
182.5	66.5872279	0.219840935	0.0107077759
185	66.0073188	0.223415875	0.0115598534
187.5	65.4369359	0.227151611	0.0124599312
190	64.8730645	0.231072847	0.0134091101
192.5	64.3125306	0.235214686	0.0144253029
195	63.7456745	0.239914738	0.0160403566
197.5	63.172025	0.245251141	0.0184348637
200	62.5959212	0.251122108	0.021509741
202.5	62.0215526	0.257425851	0.0251659055
205	61.4529588	0.264060584	0.0293042742
207.5	60.8940318	0.27092452	0.0338257641
210	60.3485212	0.277915871	0.038631292
212.5	59.8200414	0.28493285	0.043621775
215	59.3120812	0.291873671	0.0486981299
217.5	58.8280153	0.298636546	0.0537612738
220	58.3711183	0.305119687	0.0587121235
222.5	57.9445797	0.311221309	0.0634515961
225	57.5515215	0.316839624	0.0678806085
227.5	57.1950171	0.321872845	0.0719000775
230	56.8781122	0.326219184	0.0754109203
232.5	56.6038474	0.329776855	0.0783140537
235	56.3752825	0.332444071	0.0805103946
237.5	56.1955226	0.334119045	0.0819008601
240	56.067747	0.334699988	0.082386367
242.5	55.9730315	0.334625739	0.0821855174
245	55.8894445	0.334411165	0.0816118678
247.5	55.8157375	0.334068528	0.0807087671
250	55.7506746	0.333610091	0.079519564
252.5	55.6930294	0.333048115	0.0780876075
255	55.641584	0.332394862	0.0764562463
257.5	55.5951273	0.331662594	0.0746688294
260	55.5524536	0.330863573	0.0727687054
262.5	55.512362	0.330010061	0.0707992233
265	55.4736555	0.32911432	0.0688037319
267.5	55.4351406	0.328188611	0.0668255801
270	55.3956271	0.327245198	0.0649081166
272.5	55.3539283	0.326296341	0.0630946903
275	55.3088612	0.325354302	0.0614286501
277.5	55.2592472	0.324431344	0.0599533447
280	55.2039131	0.323539728	0.058712123
282.5	55.1416916	0.322691716	0.0577483339
285	55.0714234	0.321899571	0.0571053262
287.5	54.9919583	0.321175554	0.0568264487
290	54.8945482	0.320486604	0.0568314853
292.5	54.7652341	0.319750114	0.0568845781
295	54.6076937	0.318972954	0.0569765535
297.5	54.4261174	0.318164809	0.05710566
300	54.224679	0.317335363	0.0572701462
302.5	54.0075185	0.316494302	0.0574682605
305	53.7787291	0.31565131	0.0576982515
307.5	53.5423475	0.314816072	0.0579583678
310	53.3023461	0.313998273	0.0582468578
312.5	53.0626293	0.313207599	0.0585619702
315	52.8270323	0.312453733	0.0589019533
317.5	52.5993225	0.311746362	0.0592650559
320	52.3832038	0.311095169	0.0596495264
322.5	52.1823238	0.31050984	0.0600536133
325	52.000283	0.31000006	0.0604755651
327.5	51.8406473	0.309575513	0.0609136305
