kimg	fid	precision	recall
0	341.487449	0	0
2.5	341.131999	0	0
5	340.091826	0	0
7.5	338.408958	0	0
10	336.128493	0	0
12.5	333.29786	0	0
15	329.966112	0	0
17.5	326.183261	0	0
20	321.999663	0	0
22.5	317.465458	0	0
25	312.630072	0	0
27.5	307.541789	0	0
30	302.24737	0	0
32.5	296.791757	0	0
35	291.21782	0	0
37.5	285.566175	0	0
40	279.875052	0	0
42.5	274.180215	0	0
45	268.514932	0	0
47.5	262.90998	0	0
50	256.892701	6.05246779e-05	0
52.5	249.584796	0.000302125233	0
55	241.218405	0.000720709626	0
57.5	232.053065	0.00130835018	0
60	222.334736	0.0020571192	0
62.5	212.289771	0.00295908901	0
65	202.120865	0.00400633192	0
67.5	192.00483	0.00519092026	0
70	182.09192	0.00650492635	0
72.5	172.506439	0.00794042249	0
75	163.348312	0.009489481	0
77.5	154.695361	0.0111441742	0
80	146.606027	0.0128965744	0
82.5	139.12233	0.014738754	0
85	132.27292	0.0166627852	0
87.5	126.076084	0.0186607403	0
90	120.542654	0.0207246917	0
92.5	115.678766	0.0228467117	0
95	111.488481	0.0250188727	0
97.5	107.88854	0.0273454114	0
100	104.516938	0.0302654868	0
102.5	101.324617	0.0337890069	0
105	98.3017241	0.0378751515	0
107.5	95.4390488	0.0424831005	0
110	92.7279827	0.0475720337	0
112.5	90.160477	0.0531011311	0
115	87.7290056	0.0590295725	0
117.5	85.4265301	0.0653165377	0
120	83.2464682	0.0719212067	0
122.5	81.1826636	0.0788027593	0
125	79.2293588	0.0859203753	0
127.5	77.3811694	0.0932332347	0
130	75.6330608	0.100700517	0
132.5	73.980326	0.108281403	0
135	72.4185659	0.115935072	0
137.5	70.94367	0.123620703	0
140	69.5517995	0.131297477	0
142.5	68.2393713	0.138924574	0
145	66.9980411	0.14658744	4.56418094e-06
147.5	65.7814763	0.155362721	5.50321093e-05
150	64.5839758	0.165348377	0.000159143516
152.5	63.4112242	0.176348994	0.000314207258
155	62.2684781	0.188169155	0.000517532189
157.5	61.1605903	0.200613445	0.000766427166
160	60.0920389	0.213486449	0.00105820104
162.5	59.0669596	0.226592751	0.00139016268
165	58.0891807	0.239736935	0.00175962092
167.5	57.1622604	0.252723587	0.00216388464
170	56.2895266	0.26535729	0.00260026267
172.5	55.4741184	0.277442629	0.00306606389
175	54.7190293	0.288784189	0.00355859714
177.5	54.0271518	0.299186553	0.00407517128
180	53.4013241	0.308454308	0.00461309516
182.5	52.8443785	0.316392036	0.00516967765
185	52.3591914	0.322804324	0.00574222759
187.5	51.948736	0.327495754	0.00632805385
190	51.6161383	0.330270912	0.00692446527
192.5	51.3631761	0.330979957	0.00753492646
195	51.1412377	0.330978335	0.00835184825
197.5	50.9262993	0.330974403	0.00944111385
200	50.7189501	0.330968165	0.0107665423
202.5	50.5197712	0.330959629	0.0122919527
205	50.329337	0.3309488	0.0139811641
207.5	50.1482163	0.330935685	0.0157979955
210	49.9769731	0.33092029	0.017706266
212.5	49.8161678	0.330902622	0.0196697947
215	49.6663587	0.330882686	0.0216524006
217.5	49.5281034	0.330860489	0.0236179028
220	49.4019596	0.330836037	0.0255301203
222.5	49.288487	0.330809337	0.0273528723
225	49.1882489	0.330780394	0.0290499776
227.5	49.1018135	0.330749215	0.0305852556
230	49.0297557	0.330715806	0.0319225251
232.5	48.9726589	0.330680174	0.0330256052
235	48.9311167	0.330642324	0.033858315
237.5	48.905735	0.330602264	0.0343844736
240	48.897134	0.330559999	0.0345679
242.5	48.9049863	0.330149313	0.0344127306
245	48.9276822	0.329057001	0.033969549
247.5	48.9639385	0.327362583	0.0332718449
250	49.0124804	0.325145583	0.0323531082
252.5	49.0720377	0.32248552	0.0312468286
255	49.1413419	0.319461917	0.0299864959
257.5	49.2191234	0.316154296	0.0286056
260	49.3041095	0.312642177	0.0271376306
262.5	49.3950216	0.309005082	0.0256160775
265	49.4905742	0.305322533	0.0240744306
267.5	49.5894731	0.301674051	0.0225461796
270	49.6904146	0.298139158	0.0210648142
272.5	49.7920845	0.294797375	0.0196638244
275	49.8931578	0.291728224	0.0183767
277.5	49.9922989	0.289011226	0.0172369306
280	50.0881618	0.286725903	0.0162780061
282.5	50.1793907	0.284951776	0.0155334163
285	50.2646213	0.283768367	0.015036651
287.5	50.3424819	0.283255198	0.0148211999
290	50.4129446	0.283390584	0.014864826
292.5	50.478569	0.283975141	0.0150589552
295	50.5401913	0.284952988	0.0153836946
297.5	50.5985825	0.286273704	0.0158222993
300	50.6545178	0.287886866	0.0163580245
302.5	50.7087766	0.289742054	0.0169741252
305	50.7621417	0.291788844	0.0176538565
307.5	50.8153994	0.293976815	0.0183804735
310	50.8693393	0.296255546	0.0191372313
312.5	50.9247544	0.298574614	0.019907385
315	50.9824411	0.300883597	0.0206741898
317.5	51.0431998	0.303132075	0.0214209007
320	51.107835	0.305269624	0.0221307728
322.5	51.1771562	0.307245824	0.0227870612
325	51.2519781	0.309010252	0.0233730211
327.5	51.3331219	0.310512486	0.0238719075
330	51.4214159	0.311702105	0.0242669755
332.5	51.5176965	0.312528687	0.0245414802
335	51.6228099	0.31294181	0.0246786767
337.5	51.7493142	0.312869827	0.0246598359
340	51.9424129	0.312219615	0.024474642
342.5	52.199666	0.311032957	0.024138744
345	52.5132838	0.309363855	0.0236695845
347.5	52.8754699	0.307266312	0.0230846061
350	53.2783394	0.30479433	0.0224012514
352.5	53.7138473	0.302001911	0.021636963
355	54.1737308	0.298943058	0.0208091836
357.5	54.649463	0.295671771	0.0199353557
360	55.1322206	0.292242055	0.0190329219
362.5	55.6128651	0.28870791	0.0181193248
365	56.0819384	0.285123339	0.0172120071
367.5	56.529675	0.281542345	0.0163284114
370	56.9460298	0.278018928	0.0154859802
372.5	57.3207242	0.274607093	0.0147021561
375	57.6433092	0.271360839	0.0139943818
377.5	57.9032479	0.268334171	0.0133800998
380	58.0900155	0.26558109	0.0128767528
382.5	58.1932177	0.263155598	0.0125017834
385	58.2103584	0.261076214	0.0122603099
387.5	58.2055941	0.259054405	0.0120503056
390	58.1960628	0.257023122	0.0118457435
392.5	58.182348	0.254992525	0.0116473211
395	58.1650338	0.252972773	0.0114557362
397.5	58.1447042	0.250974025	0.0112716865
400	58.121943	0.24900644	0.0110958698
402.5	58.0973335	0.247080176	0.0109289836
405	58.0714582	0.245205393	0.0107717258
407.5	58.0448985	0.243392249	0.010624794
410	58.0182351	0.241650904	0.0104888859
412.5	57.9920473	0.239991516	0.0103646992
415	57.9669137	0.238424245	0.0102529317
417.5	57.9434118	0.236959248	0.010154281
420	57.9221181	0.235606686	0.0100694449
422.5	57.9036088	0.234376717	0.00999912095
425	57.8884593	0.2332795	0.00994400698
427.5	57.8772454	0.232325194	0.00990480067
430	57.8705427	0.231523958	0.00988219971
432.5	57.8706784	0.230883955	0.00987698833
435	57.9335499	0.230345228	0.00989221688
437.5	58.0787732	0.229870092	0.00992809747
440	58.297127	0.22945089	0.00998323469
442.5	58.579545	0.229079959	0.0100562331
445	58.9170048	0.228749642	0.0101456974
447.5	59.3004309	0.228452278	0.0102502321
450	59.7206134	0.228180206	0.0103684417
452.5	60.1681409	0.227925768	0.010498931
455	60.6333475	0.227681302	0.0106403044
457.5	61.1062763	0.22743915	0.0107911666
460	61.5766578	0.227191652	0.0109501222
462.5	62.0339057	0.226931146	0.0111157758
465	62.4671304	0.226649975	0.0112867319
467.5	62.8651714	0.226340476	0.0114615951
470	63.2166488	0.225994992	0.0116389701
472.5	63.5100348	0.225605861	0.0118174613
475	63.7337464	0.225165425	0.0119956736
477.5	63.8762571	0.224666022	0.0121722113
480	63.926229	0.224099994	0.0123456791
482.5	63.9039705	0.223325191	0.0125385431
485	63.8404401	0.222228274	0.0127704785
487.5	63.7405518	0.220844798	0.0130359037
490	63.6092573	0.219210317	0.0133292371
492.5	63.4515202	0.217360386	0.013644897
495	63.2722944	0.215330559	0.0139773018
497.5	63.076505	0.21315639	0.0143208699
500	62.8690342	0.210873435	0.0146700196
502.5	62.6547106	0.208517248	0.0150191693
