kimg	fid	precision	recall
0	369.080848	0.00496000005	0
2.5	366.291218	0.00423652411	0
5	362.45215	0.00358833843	0
7.5	357.649674	0.00301130618	0
10	351.97496	0.00250129053	0
12.5	345.522462	0.00205415466	0
15	338.388183	0.00166576173	0
17.5	330.668083	0.00133197493	0
20	322.456664	0.00104865742	0
22.5	313.84573	0.000811672369	0
25	304.923352	0.000616882961	0
27.5	295.77301	0.000460152364	0
30	286.472932	0.000337343751	0
32.5	277.095608	0.000244320294	0
35	267.707471	0.000176945167	0
37.5	258.368725	0.000131081541	0
40	249.133309	0.000102592591	0
42.5	240.048976	8.73414875e-05	0
45	231.157466	8.11914042e-05	0
47.5	222.494767	8.00055137e-05	0
50	213.502475	0.000393313066	0
52.5	203.207111	0.00162916249	0
55	191.980787	0.00373909636	0
57.5	180.204891	0.0066546241	0
60	168.217971	0.0103072551	0
62.5	156.308386	0.0146284988	0
65	144.711586	0.0195498647	0
67.5	133.611097	0.0250028621	0
70	123.142233	0.0309190004	0
72.5	113.397596	0.0372297891	0
75	104.433556	0.0438667377	0
77.5	96.2770436	0.0507613554	0
80	88.9321825	0.0578451518	0
82.5	82.3864414	0.0650496362	0
85	76.6161267	0.0723063181	0
87.5	71.5911535	0.0795467069	0
90	67.2791213	0.086702312	0
92.5	63.6487839	0.0937046428	0
95	60.6730493	0.100485209	0
97.5	58.2448228	0.107139101	1.53709864e-05
100	55.9963294	0.114272693	0.000107088556
102.5	53.8832211	0.121895591	0.000276928468
105	51.9000617	0.129944844	0.000519696418
107.5	50.0415913	0.138357503	0.000830198102
110	48.3027479	0.147070618	0.00120323921
112.5	46.6786868	0.156021239	0.00163362545
115	45.1647973	0.165146416	0.00211616251
117.5	43.7567161	0.174383199	0.00264565608
120	42.45034	0.183668639	0.00321691186
122.5	41.2418368	0.192939785	0.00382473555
125	40.1276547	0.202133688	0.00446393284
127.5	39.1045311	0.211187398	0.00512930942
130	38.1695019	0.220037965	0.005815671
132.5	37.3199097	0.228622439	0.00651782326
135	36.5534132	0.23687787	0.00723057191
137.5	35.8679968	0.244741309	0.00794872263
140	35.2619821	0.252149805	0.00866708113
142.5	34.7340408	0.259040408	0.0093804531
145	34.2777954	0.265420627	0.0100969493
147.5	33.8433149	0.271879815	0.0109304907
150	33.4200846	0.278515206	0.011894436
152.5	33.0098239	0.285265608	0.0129714806
155	32.6141646	0.292069831	0.01414432
157.5	32.2346586	0.298866682	0.0153956498
160	31.8727865	0.305594971	0.0167081656
162.5	31.5299665	0.312193508	0.0180645629
165	31.2075647	0.3186011	0.0194475372
167.5	30.9069052	0.324756557	0.0208397841
170	30.6292814	0.330598687	0.022223999
172.5	30.3759675	0.336066301	0.0235828777
175	30.1482307	0.341098206	0.0248991156
177.5	29.9473444	0.345633211	0.0261554082
180	29.7746014	0.349610126	0.0273344511
182.5	29.6313286	0.352967759	0.0284189398
185	29.5189018	0.35564492	0.02939157
187.5	29.4387626	0.357580417	0.030235037
190	29.3924347	0.358713059	0.0309320365
192.5	29.3814651	0.358997304	0.0314679558
195	29.4038992	0.358905374	0.0319194566
197.5	29.4562059	0.358689764	0.0323314214
200	29.5356934	0.358360153	0.0327079461
202.5	29.6397202	0.357926221	0.0330531269
205	29.7656707	0.357397645	0.0333710599
207.5	29.9109339	0.356784104	0.0336658411
210	30.0728839	0.356095276	0.0339415666
212.5	30.2488641	0.355340841	0.0342023326
215	30.4361721	0.354530476	0.034452235
217.5	30.6320483	0.353673861	0.03469537
220	30.8336669	0.352780673	0.0349358336
222.5	31.0381282	0.351860592	0.035177722
225	31.2424554	0.350923295	0.0354251312
227.5	31.4435929	0.349978462	0.0356821572
230	31.6384081	0.349035771	0.0359528962
232.5	31.8236957	0.3481049	0.0362414443
235	31.9961862	0.347195528	0.0365518974
237.5	32.1525566	0.346317333	0.0368883518
240	32.2894451	0.345479995	0.0372549035
242.5	32.4141915	0.344643674	0.0376508203
245	32.5364545	0.34376534	0.0380712542
247.5	32.6563333	0.342849882	0.0385141275
250	32.7739293	0.341902189	0.0389773625
252.5	32.8893467	0.340927152	0.0394588814
255	33.0026917	0.339929659	0.0399566065
257.5	33.1140728	0.3389146	0.0404684602
260	33.2236007	0.337886864	0.0409923647
262.5	33.3313881	0.336851342	0.0415262422
265	33.4375497	0.335812922	0.042068015
267.5	33.5422023	0.334776495	0.0426156055
270	33.6454643	0.333746948	0.0431669359
272.5	33.7474563	0.332729173	0.0437199285
275	33.8483003	0.331728059	0.0442725055
277.5	33.9481202	0.330748494	0.0448225892
280	34.0470418	0.329795369	0.045368102
282.5	34.1451923	0.328873573	0.045906966
285	34.2427005	0.327987995	0.0464371036
287.5	34.3396971	0.327143525	0.0469564371
290	34.4385143	0.326314315	0.0474836327
292.5	34.5431243	0.325444428	0.0480560311
295	34.6525033	0.324541567	0.0486666597
297.5	34.7654687	0.323615389	0.0493072074
300	34.8808231	0.32267555	0.0499693635
302.5	34.9973536	0.321731705	0.050644817
305	35.1138312	0.320793511	0.051325257
307.5	35.2290105	0.319870624	0.0520023726
