experiment	seed	metric	x	score
baseline	0	accuracy	0.753000	0.809
baseline	1	accuracy	0.759000	0.806
baseline	2	accuracy	0.765000	0.811
baseline	3	accuracy	0.771000	0.805
baseline	4	accuracy	0.777000	0.811
baseline	5	accuracy	0.783000	0.805
baseline	6	accuracy	0.789000	0.805
baseline	7	accuracy	0.795000	0.813
baseline	8	accuracy	0.801000	0.803
baseline	9	accuracy	0.807000	0.801
augmented_r1	0	accuracy	1.753000	0.801
augmented_r1	1	accuracy	1.759000	0.802
augmented_r1	2	accuracy	1.765000	0.8
augmented_r1	3	accuracy	1.771000	0.804
augmented_r1	4	accuracy	1.777000	0.806
augmented_r1	5	accuracy	1.783000	0.807
augmented_r1	6	accuracy	1.789000	0.801
augmented_r1	7	accuracy	1.795000	0.805
augmented_r1	8	accuracy	1.801000	0.806
augmented_r1	9	accuracy	1.807000	0.798
filtered_r1	0	accuracy	3.753000	0.791
filtered_r1	1	accuracy	3.759000	0.801
filtered_r1	2	accuracy	3.765000	0.793
filtered_r1	3	accuracy	3.771000	0.8
filtered_r1	4	accuracy	3.777000	0.794
filtered_r1	5	accuracy	3.783000	0.793
filtered_r1	6	accuracy	3.789000	0.795
filtered_r1	7	accuracy	3.795000	0.791
filtered_r1	8	accuracy	3.801000	0.801
filtered_r1	9	accuracy	3.807000	0.8
augmented_r2	0	accuracy	2.753000	0.808
augmented_r2	1	accuracy	2.759000	0.803
augmented_r2	2	accuracy	2.765000	0.807
augmented_r2	3	accuracy	2.771000	0.8
augmented_r2	4	accuracy	2.777000	0.807
augmented_r2	5	accuracy	2.783000	0.801
augmented_r2	6	accuracy	2.789000	0.797
augmented_r2	7	accuracy	2.795000	0.803
augmented_r2	8	accuracy	2.801000	0.8
augmented_r2	9	accuracy	2.807000	0.806
filtered_r2	0	accuracy	4.753000	0.802
filtered_r2	1	accuracy	4.759000	0.804
filtered_r2	2	accuracy	4.765000	0.806
filtered_r2	3	accuracy	4.771000	0.799
filtered_r2	4	accuracy	4.777000	0.805
filtered_r2	5	accuracy	4.783000	0.803
filtered_r2	6	accuracy	4.789000	0.8
filtered_r2	7	accuracy	4.795000	0.807
filtered_r2	8	accuracy	4.801000	0.799
filtered_r2	9	accuracy	4.807000	0.804
