experiment	seed	metric	x	score
baseline	0	macro_f1	0.973000	0.817743827
baseline	1	macro_f1	0.979000	0.816153024
baseline	2	macro_f1	0.985000	0.819804779
baseline	3	macro_f1	0.991000	0.815527436
baseline	4	macro_f1	0.997000	0.820076048
baseline	5	macro_f1	1.003000	0.81662415
baseline	6	macro_f1	1.009000	0.815637123
baseline	7	macro_f1	1.015000	0.822538385
baseline	8	macro_f1	1.021000	0.810596485
baseline	9	macro_f1	1.027000	0.810731349
augmented_r1	0	macro_f1	1.973000	0.808647018
augmented_r1	1	macro_f1	1.979000	0.810431471
augmented_r1	2	macro_f1	1.985000	0.808916086
augmented_r1	3	macro_f1	1.991000	0.813456113
augmented_r1	4	macro_f1	1.997000	0.815577164
augmented_r1	5	macro_f1	2.003000	0.816297086
augmented_r1	6	macro_f1	2.009000	0.810177646
augmented_r1	7	macro_f1	2.015000	0.8127007
augmented_r1	8	macro_f1	2.021000	0.816262655
augmented_r1	9	macro_f1	2.027000	0.80559483
filtered_r1	0	macro_f1	3.973000	0.799788582
filtered_r1	1	macro_f1	3.979000	0.809921745
filtered_r1	2	macro_f1	3.985000	0.801653875
filtered_r1	3	macro_f1	3.991000	0.808801595
filtered_r1	4	macro_f1	3.997000	0.802349545
filtered_r1	5	macro_f1	4.003000	0.800801142
filtered_r1	6	macro_f1	4.009000	0.805003588
filtered_r1	7	macro_f1	4.015000	0.798751458
filtered_r1	8	macro_f1	4.021000	0.81027635
filtered_r1	9	macro_f1	4.027000	0.808952531
augmented_r2	0	macro_f1	2.973000	0.814947824
augmented_r2	1	macro_f1	2.979000	0.8128628
augmented_r2	2	macro_f1	2.985000	0.816980844
augmented_r2	3	macro_f1	2.991000	0.809027698
augmented_r2	4	macro_f1	2.997000	0.816646015
augmented_r2	5	macro_f1	3.003000	0.809476605
augmented_r2	6	macro_f1	3.009000	0.804897485
augmented_r2	7	macro_f1	3.015000	0.810937888
augmented_r2	8	macro_f1	3.021000	0.809255053
augmented_r2	9	macro_f1	3.027000	0.814539831
filtered_r2	0	macro_f1	4.973000	0.811307733
filtered_r2	1	macro_f1	4.979000	0.814364972
filtered_r2	2	macro_f1	4.985000	0.816231171
filtered_r2	3	macro_f1	4.991000	0.808208037
filtered_r2	4	macro_f1	4.997000	0.815086364
filtered_r2	5	macro_f1	5.003000	0.81202427
filtered_r2	6	macro_f1	5.009000	0.809550481
filtered_r2	7	macro_f1	5.015000	0.815465504
filtered_r2	8	macro_f1	5.021000	0.808019198
filtered_r2	9	macro_f1	5.027000	0.813707269
