experiment	seed	metric	x	score
baseline	0	weighted_f1	1.193000	0.80255523
baseline	1	weighted_f1	1.199000	0.799927112
baseline	2	weighted_f1	1.205000	0.804961497
baseline	3	weighted_f1	1.211000	0.798567963
baseline	4	weighted_f1	1.217000	0.804392483
baseline	5	weighted_f1	1.223000	0.798760718
baseline	6	weighted_f1	1.229000	0.798720457
baseline	7	weighted_f1	1.235000	0.806691872
baseline	8	weighted_f1	1.241000	0.796692824
baseline	9	weighted_f1	1.247000	0.794315843
augmented_r1	0	weighted_f1	2.193000	0.793432133
augmented_r1	1	weighted_f1	2.199000	0.794354403
augmented_r1	2	weighted_f1	2.205000	0.79258573
augmented_r1	3	weighted_f1	2.211000	0.796778269
augmented_r1	4	weighted_f1	2.217000	0.799209597
augmented_r1	5	weighted_f1	2.223000	0.799787963
augmented_r1	6	weighted_f1	2.229000	0.793500748
augmented_r1	7	weighted_f1	2.235000	0.79749791
augmented_r1	8	weighted_f1	2.241000	0.798839009
augmented_r1	9	weighted_f1	2.247000	0.789929904
filtered_r1	0	weighted_f1	4.193000	0.782018061
filtered_r1	1	weighted_f1	4.199000	0.793007897
filtered_r1	2	weighted_f1	4.205000	0.784286038
filtered_r1	3	weighted_f1	4.211000	0.791824903
filtered_r1	4	weighted_f1	4.217000	0.785510519
filtered_r1	5	weighted_f1	4.223000	0.784528219
filtered_r1	6	weighted_f1	4.229000	0.786822006
filtered_r1	7	weighted_f1	4.235000	0.781870801
filtered_r1	8	weighted_f1	4.241000	0.793613235
filtered_r1	9	weighted_f1	4.247000	0.791740893
augmented_r2	0	weighted_f1	3.193000	0.80031583
augmented_r2	1	weighted_f1	3.199000	0.795164633
augmented_r2	2	weighted_f1	3.205000	0.799927894
augmented_r2	3	weighted_f1	3.211000	0.791581708
augmented_r2	4	weighted_f1	3.217000	0.799609618
augmented_r2	5	weighted_f1	3.223000	0.79296364
augmented_r2	6	weighted_f1	3.229000	0.788303622
augmented_r2	7	weighted_f1	3.235000	0.795267661
augmented_r2	8	weighted_f1	3.241000	0.792181909
augmented_r2	9	weighted_f1	3.247000	0.798217961
filtered_r2	0	weighted_f1	5.193000	0.7947413
filtered_r2	1	weighted_f1	5.199000	0.797047136
filtered_r2	2	weighted_f1	5.205000	0.799364039
filtered_r2	3	weighted_f1	5.211000	0.791773996
filtered_r2	4	weighted_f1	5.217000	0.798170273
filtered_r2	5	weighted_f1	5.223000	0.795365474
filtered_r2	6	weighted_f1	5.229000	0.792695145
filtered_r2	7	weighted_f1	5.235000	0.799564577
filtered_r2	8	weighted_f1	5.241000	0.791200406
filtered_r2	9	weighted_f1	5.247000	0.796635903
