n_estimators mean ci_low ci_high
25.0000 78.15962 77.91976 78.39948
28.9583 79.33227 79.10235 79.56220
32.9167 80.26909 80.04795 80.49023
36.8750 81.03595 80.82265 81.24925
40.8333 81.67587 81.46964 81.88211
44.7917 82.21826 82.01844 82.41808
48.7500 82.68394 82.48997 82.87790
52.7083 83.08813 82.89954 83.27672
56.6667 83.44223 83.25861 83.62585
60.6250 83.75494 83.57592 83.93396
64.5833 84.03306 83.85832 84.20779
68.5417 84.28194 84.11119 84.45268
72.5000 84.50589 84.33889 84.67290
76.4583 84.70842 84.54493 84.87191
80.4167 84.89238 84.73219 85.05257
84.3750 85.06016 84.90309 85.21724
88.3333 85.21375 85.05962 85.36788
92.2917 85.35482 85.20347 85.50616
96.2500 85.48479 85.33609 85.63350
100.2083 85.60489 85.45870 85.75109
104.1667 85.71616 85.57235 85.85997
108.1250 85.81950 85.67797 85.96104
112.0833 85.91571 85.77634 86.05508
116.0417 86.00546 85.86817 86.14276
120.0000 86.08937 85.95405 86.22469
123.9583 86.16796 86.03453 86.30139
127.9167 86.24170 86.11009 86.37332
131.8750 86.31101 86.18113 86.44089
135.8333 86.37627 86.24805 86.50448
139.7917 86.43779 86.31118 86.56441
143.7500 86.49589 86.37082 86.62097
147.7083 86.55083 86.42723 86.67443
151.6667 86.60285 86.48067 86.72503
155.6250 86.65216 86.53136 86.77297
159.5833 86.69898 86.57949 86.81847
163.5417 86.74346 86.62524 86.86168
167.5000 86.78579 86.66879 86.90278
171.4583 86.82610 86.71029 86.94191
175.4167 86.86453 86.74986 86.97920
179.3750 86.90121 86.78765 87.01478
183.3333 86.93626 86.82375 87.04876
187.2917 86.96976 86.85829 87.08124
191.2500 87.00184 86.89136 87.11231
195.2083 87.03256 86.92304 87.14207
199.1667 87.06201 86.95343 87.17060
203.1250 87.09028 86.98260 87.19796
207.0833 87.11742 87.01061 87.22423
211.0417 87.14351 87.03755 87.24947
215.0000 87.16860 87.06346 87.27375
218.9583 87.19276 87.08841 87.29711
222.9167 87.21603 87.11245 87.31961
226.8750 87.23846 87.13562 87.34129
230.8333 87.26009 87.15798 87.36220
234.7917 87.28098 87.17957 87.38239
238.7500 87.30116 87.20043 87.40188
242.7083 87.32066 87.22059 87.42072
246.6667 87.33952 87.24010 87.43894
250.6250 87.35778 87.25898 87.45658
254.5833 87.37546 87.27726 87.47365
258.5417 87.39259 87.29498 87.49020
262.5000 87.40920 87.31216 87.50624
266.4583 87.42532 87.32883 87.52180
270.4167 87.44096 87.34502 87.53691
274.3750 87.45616 87.36073 87.55158
278.3333 87.47092 87.37601 87.56584
282.2917 87.48528 87.39086 87.57970
286.2500 87.49925 87.40531 87.59319
290.2083 87.51285 87.41937 87.60632
294.1667 87.52609 87.43307 87.61911
298.1250 87.53899 87.44641 87.63157
302.0833 87.55157 87.45942 87.64373
306.0417 87.56384 87.47211 87.65558
310.0000 87.57582 87.48449 87.66715
313.9583 87.58751 87.49657 87.67845
317.9167 87.59893 87.50837 87.68948
321.8750 87.61009 87.51990 87.70027
325.8333 87.62100 87.53118 87.71082
329.7917 87.63167 87.54220 87.72114
333.7500 87.64211 87.55299 87.73124
337.7083 87.65234 87.56354 87.74113
341.6667 87.66235 87.57388 87.75082
345.6250 87.67217 87.58401 87.76032
349.5833 87.68178 87.59393 87.76964
353.5417 87.69122 87.60366 87.77877
357.5000 87.70047 87.61321 87.78774
361.4583 87.70956 87.62257 87.79654
365.4167 87.71848 87.63176 87.80519
369.3750 87.72724 87.64079 87.81368
373.3333 87.73585 87.64966 87.82204
377.2917 87.74431 87.65837 87.83025
381.2500 87.75263 87.66693 87.83833
385.2083 87.76082 87.67535 87.84628
389.1667 87.76887 87.68364 87.85410
393.1250 87.77680 87.69179 87.86181
397.0833 87.78461 87.69982 87.86941
401.0417 87.79231 87.70772 87.87689
405.0000 87.79989 87.71551 87.88427
408.9583 87.80736 87.72318 87.89154
412.9167 87.81473 87.73074 87.89872
416.8750 87.82200 87.73820 87.90581
420.8333 87.82918 87.74555 87.91280
424.7917 87.83626 87.75281 87.91971
428.7500 87.84325 87.75997 87.92653
432.7083 87.85015 87.76704 87.93327
436.6667 87.85698 87.77402 87.93993
440.6250 87.86372 87.78091 87.94652
444.5833 87.87038 87.78773 87.95303
448.5417 87.87697 87.79446 87.95948
452.5000 87.88348 87.80111 87.96586
456.4583 87.88993 87.80770 87.97217
460.4167 87.89631 87.81421 87.97842
464.3750 87.90263 87.82065 87.98460
468.3333 87.90888 87.82702 87.99074
472.2917 87.91507 87.83333 87.99681
476.2500 87.92120 87.83957 88.00283
480.2083 87.92728 87.84576 88.00880
484.1667 87.93330 87.85189 88.01471
488.1250 87.93927 87.85796 88.02058
492.0833 87.94519 87.86397 88.02640
496.0417 87.95106 87.86993 88.03218
500.0000 87.95688 87.87584 88.03791
