n_estimators mean ci_low ci_high
25.0000 77.52712 77.14420 77.91003
28.9583 78.81562 78.45734 79.17389
32.9167 79.83279 79.49445 80.17114
36.8750 80.65611 80.33429 80.97793
40.8333 81.33580 81.02797 81.64363
44.7917 81.90600 81.61020 82.20180
48.7500 82.39074 82.10544 82.67605
52.7083 82.80748 82.53143 83.08353
56.6667 83.16921 82.90141 83.43701
60.6250 83.48583 83.22543 83.74622
64.5833 83.76497 83.51129 84.01866
68.5417 84.01269 83.76512 84.26026
72.5000 84.23377 83.99181 84.47573
76.4583 84.43211 84.19532 84.66891
80.4167 84.61089 84.37888 84.84291
84.3750 84.77272 84.54515 85.00029
88.3333 84.91978 84.69637 85.14319
92.2917 85.05390 84.83438 85.27342
96.2500 85.17663 84.96077 85.39248
100.2083 85.28927 85.07687 85.50168
104.1667 85.39297 85.18383 85.60210
108.1250 85.48867 85.28263 85.69471
112.0833 85.57724 85.37414 85.78033
116.0417 85.65938 85.45909 85.85967
120.0000 85.73575 85.53813 85.93336
123.9583 85.80689 85.61184 86.00194
127.9167 85.87330 85.68071 86.06589
131.8750 85.93542 85.74519 86.12566
135.8333 85.99364 85.80567 86.18160
139.7917 86.04828 85.86250 86.23406
143.7500 86.09967 85.91600 86.28334
147.7083 86.14807 85.96644 86.32970
151.6667 86.19373 86.01407 86.37340
155.6250 86.23688 86.05912 86.41463
159.5833 86.27770 86.10180 86.45361
163.5417 86.31639 86.14229 86.49050
167.5000 86.35311 86.18074 86.52547
171.4583 86.38800 86.21733 86.55866
175.4167 86.42119 86.25218 86.59021
179.3750 86.45282 86.28542 86.62023
183.3333 86.48300 86.31716 86.64883
187.2917 86.51182 86.34752 86.67612
191.2500 86.53938 86.37658 86.70219
195.2083 86.56577 86.40443 86.72711
199.1667 86.59107 86.43116 86.75098
203.1250 86.61535 86.45683 86.77386
207.0833 86.63867 86.48153 86.79581
211.0417 86.66110 86.50531 86.81690
215.0000 86.68270 86.52823 86.83718
218.9583 86.70352 86.55034 86.85670
222.9167 86.72361 86.57170 86.87552
226.8750 86.74301 86.59235 86.89367
230.8333 86.76177 86.61233 86.91120
234.7917 86.77992 86.63170 86.92815
238.7500 86.79751 86.65047 86.94455
242.7083 86.81456 86.66869 86.96044
246.6667 86.83112 86.68639 86.97584
250.6250 86.84719 86.70360 86.99079
254.5833 86.86283 86.72035 87.00530
258.5417 86.87804 86.73667 87.01942
262.5000 86.89286 86.75257 87.03315
266.4583 86.90731 86.76809 87.04653
270.4167 86.92141 86.78324 87.05957
274.3750 86.93517 86.79805 87.07230
278.3333 86.94862 86.81253 87.08472
282.2917 86.96178 86.82670 87.09686
286.2500 86.97466 86.84058 87.10873
290.2083 86.98727 86.85418 87.12035
294.1667 86.99963 86.86753 87.13174
298.1250 87.01176 86.88063 87.14290
302.0833 87.02367 86.89349 87.15384
306.0417 87.03536 86.90613 87.16459
310.0000 87.04686 86.91857 87.17515
313.9583 87.05816 86.93080 87.18552
317.9167 87.06929 86.94285 87.19573
321.8750 87.08025 86.95472 87.20578
325.8333 87.09105 86.96642 87.21568
329.7917 87.10169 86.97795 87.22543
333.7500 87.11220 86.98934 87.23505
337.7083 87.12256 87.00059 87.24454
341.6667 87.13280 87.01169 87.25391
345.6250 87.14292 87.02267 87.26317
349.5833 87.15292 87.03352 87.27231
353.5417 87.16281 87.04426 87.28136
357.5000 87.17260 87.05489 87.29031
361.4583 87.18229 87.06541 87.29917
365.4167 87.19189 87.07584 87.30794
369.3750 87.20140 87.08616 87.31663
373.3333 87.21082 87.09640 87.32524
377.2917 87.22017 87.10656 87.33378
381.2500 87.22944 87.11663 87.34226
385.2083 87.23865 87.12663 87.35066
389.1667 87.24778 87.13655 87.35901
393.1250 87.25685 87.14641 87.36730
397.0833 87.26587 87.15620 87.37553
401.0417 87.27482 87.16593 87.38372
405.0000 87.28373 87.17560 87.39185
408.9583 87.29258 87.18522 87.39994
412.9167 87.30139 87.19478 87.40799
416.8750 87.31015 87.20429 87.41600
420.8333 87.31886 87.21376 87.42397
424.7917 87.32754 87.22318 87.43190
428.7500 87.33618 87.23256 87.43981
432.7083 87.34479 87.24190 87.44768
436.6667 87.35336 87.25121 87.45552
440.6250 87.36190 87.26047 87.46333
444.5833 87.37042 87.26971 87.47112
448.5417 87.37890 87.27891 87.47889
452.5000 87.38736 87.28808 87.48664
456.4583 87.39579 87.29722 87.49436
460.4167 87.40420 87.30634 87.50207
464.3750 87.41259 87.31543 87.50976
468.3333 87.42097 87.32450 87.51743
472.2917 87.42932 87.33355 87.52509
476.2500 87.43765 87.34258 87.53273
480.2083 87.44597 87.35158 87.54036
484.1667 87.45428 87.36057 87.54799
488.1250 87.46257 87.36955 87.55560
492.0833 87.47085 87.37850 87.56320
496.0417 87.47912 87.38744 87.57079
500.0000 87.48738 87.39637 87.57838
