head	experiment	seed	metric	x	score
plane	baseline	0	accuracy	0.753000	0.978
plane	baseline	1	accuracy	0.759000	0.98
plane	baseline	2	accuracy	0.765000	0.973
plane	baseline	3	accuracy	0.771000	0.981
plane	baseline	4	accuracy	0.777000	0.981
plane	baseline	5	accuracy	0.783000	0.983
plane	baseline	6	accuracy	0.789000	0.977
plane	baseline	7	accuracy	0.795000	0.977
plane	baseline	8	accuracy	0.801000	0.974
plane	baseline	9	accuracy	0.807000	0.979
plane	augmented_r1	0	accuracy	1.753000	0.983
plane	augmented_r1	1	accuracy	1.759000	0.983
plane	augmented_r1	2	accuracy	1.765000	0.982
plane	augmented_r1	3	accuracy	1.771000	0.983
plane	augmented_r1	4	accuracy	1.777000	0.982
plane	augmented_r1	5	accuracy	1.783000	0.981
plane	augmented_r1	6	accuracy	1.789000	0.983
plane	augmented_r1	7	accuracy	1.795000	0.981
plane	augmented_r1	8	accuracy	1.801000	0.978
plane	augmented_r1	9	accuracy	1.807000	0.98
plane	filtered_r1	0	accuracy	3.753000	0.986
plane	filtered_r1	1	accuracy	3.759000	0.986
plane	filtered_r1	2	accuracy	3.765000	0.978
plane	filtered_r1	3	accuracy	3.771000	0.976
plane	filtered_r1	4	accuracy	3.777000	0.984
plane	filtered_r1	5	accuracy	3.783000	0.984
plane	filtered_r1	6	accuracy	3.789000	0.988
plane	filtered_r1	7	accuracy	3.795000	0.979
plane	filtered_r1	8	accuracy	3.801000	0.981
plane	filtered_r1	9	accuracy	3.807000	0.982
plane	augmented_r2	0	accuracy	2.753000	0.984
plane	augmented_r2	1	accuracy	2.759000	0.982
plane	augmented_r2	2	accuracy	2.765000	0.983
plane	augmented_r2	3	accuracy	2.771000	0.979
plane	augmented_r2	4	accuracy	2.777000	0.986
plane	augmented_r2	5	accuracy	2.783000	0.983
plane	augmented_r2	6	accuracy	2.789000	0.981
plane	augmented_r2	7	accuracy	2.795000	0.986
plane	augmented_r2	8	accuracy	2.801000	0.981
plane	augmented_r2	9	accuracy	2.807000	0.985
plane	filtered_r2	0	accuracy	4.753000	0.987
plane	filtered_r2	1	accuracy	4.759000	0.984
plane	filtered_r2	2	accuracy	4.765000	0.98
plane	filtered_r2	3	accuracy	4.771000	0.983
plane	filtered_r2	4	accuracy	4.777000	0.978
plane	filtered_r2	5	accuracy	4.783000	0.977
plane	filtered_r2	6	accuracy	4.789000	0.982
plane	filtered_r2	7	accuracy	4.795000	0.987
plane	filtered_r2	8	accuracy	4.801000	0.98
plane	filtered_r2	9	accuracy	4.807000	0.985
