head	experiment	seed	metric	x	score
plane	baseline	0	macro_f1	0.973000	0.976951799
plane	baseline	1	macro_f1	0.979000	0.979515921
plane	baseline	2	macro_f1	0.985000	0.972075575
plane	baseline	3	macro_f1	0.991000	0.979860019
plane	baseline	4	macro_f1	0.997000	0.980323065
plane	baseline	5	macro_f1	1.003000	0.982257099
plane	baseline	6	macro_f1	1.009000	0.975743153
plane	baseline	7	macro_f1	1.015000	0.976011135
plane	baseline	8	macro_f1	1.021000	0.972281097
plane	baseline	9	macro_f1	1.027000	0.977949264
plane	augmented_r1	0	macro_f1	1.973000	0.982143984
plane	augmented_r1	1	macro_f1	1.979000	0.982542538
plane	augmented_r1	2	macro_f1	1.985000	0.981273464
plane	augmented_r1	3	macro_f1	1.991000	0.98202653
plane	augmented_r1	4	macro_f1	1.997000	0.981017512
plane	augmented_r1	5	macro_f1	2.003000	0.980215114
plane	augmented_r1	6	macro_f1	2.009000	0.98210809
plane	augmented_r1	7	macro_f1	2.015000	0.980298277
plane	augmented_r1	8	macro_f1	2.021000	0.976921644
plane	augmented_r1	9	macro_f1	2.027000	0.979026963
plane	filtered_r1	0	macro_f1	3.973000	0.984892414
plane	filtered_r1	1	macro_f1	3.979000	0.985442876
plane	filtered_r1	2	macro_f1	3.985000	0.977015173
plane	filtered_r1	3	macro_f1	3.991000	0.974668265
plane	filtered_r1	4	macro_f1	3.997000	0.983486893
plane	filtered_r1	5	macro_f1	4.003000	0.983270163
plane	filtered_r1	6	macro_f1	4.009000	0.987112823
plane	filtered_r1	7	macro_f1	4.015000	0.978124711
plane	filtered_r1	8	macro_f1	4.021000	0.979823031
plane	filtered_r1	9	macro_f1	4.027000	0.981039444
plane	augmented_r2	0	macro_f1	2.973000	0.983236786
plane	augmented_r2	1	macro_f1	2.979000	0.981691653
plane	augmented_r2	2	macro_f1	2.985000	0.982382952
plane	augmented_r2	3	macro_f1	2.991000	0.97823804
plane	augmented_r2	4	macro_f1	2.997000	0.98521927
plane	augmented_r2	5	macro_f1	3.003000	0.982132481
plane	augmented_r2	6	macro_f1	3.009000	0.979786696
plane	augmented_r2	7	macro_f1	3.015000	0.985455956
plane	augmented_r2	8	macro_f1	3.021000	0.980101146
plane	augmented_r2	9	macro_f1	3.027000	0.984480635
plane	filtered_r2	0	macro_f1	4.973000	0.986460444
plane	filtered_r2	1	macro_f1	4.979000	0.98338911
plane	filtered_r2	2	macro_f1	4.985000	0.979159213
plane	filtered_r2	3	macro_f1	4.991000	0.98227471
plane	filtered_r2	4	macro_f1	4.997000	0.977161747
plane	filtered_r2	5	macro_f1	5.003000	0.975759465
plane	filtered_r2	6	macro_f1	5.009000	0.981204673
plane	filtered_r2	7	macro_f1	5.015000	0.986167451
plane	filtered_r2	8	macro_f1	5.021000	0.978936671
plane	filtered_r2	9	macro_f1	5.027000	0.98426548
