head	experiment	seed	metric	x	score
plane	baseline	0	weighted_f1	1.193000	0.977922019
plane	baseline	1	weighted_f1	1.199000	0.979975661
plane	baseline	2	weighted_f1	1.205000	0.973013674
plane	baseline	3	weighted_f1	1.211000	0.980919719
plane	baseline	4	weighted_f1	1.217000	0.980960596
plane	baseline	5	weighted_f1	1.223000	0.982976995
plane	baseline	6	weighted_f1	1.229000	0.976945345
plane	baseline	7	weighted_f1	1.235000	0.976944043
plane	baseline	8	weighted_f1	1.241000	0.973954603
plane	baseline	9	weighted_f1	1.247000	0.978950222
plane	augmented_r1	0	weighted_f1	2.193000	0.98297916
plane	augmented_r1	1	weighted_f1	2.199000	0.982961256
plane	augmented_r1	2	weighted_f1	2.205000	0.981965064
plane	augmented_r1	3	weighted_f1	2.211000	0.983012578
plane	augmented_r1	4	weighted_f1	2.217000	0.981989
plane	augmented_r1	5	weighted_f1	2.223000	0.980984405
plane	augmented_r1	6	weighted_f1	2.229000	0.982947913
plane	augmented_r1	7	weighted_f1	2.235000	0.980948003
plane	augmented_r1	8	weighted_f1	2.241000	0.978005264
plane	augmented_r1	9	weighted_f1	2.247000	0.979928946
plane	filtered_r1	0	weighted_f1	4.193000	0.985972919
plane	filtered_r1	1	weighted_f1	4.199000	0.985972845
plane	filtered_r1	2	weighted_f1	4.205000	0.977968546
plane	filtered_r1	3	weighted_f1	4.211000	0.975986763
plane	filtered_r1	4	weighted_f1	4.217000	0.983939366
plane	filtered_r1	5	weighted_f1	4.223000	0.983996803
plane	filtered_r1	6	weighted_f1	4.229000	0.987992851
plane	filtered_r1	7	weighted_f1	4.235000	0.978984322
plane	filtered_r1	8	weighted_f1	4.241000	0.981009507
plane	filtered_r1	9	weighted_f1	4.247000	0.981985223
plane	augmented_r2	0	weighted_f1	3.193000	0.983967899
plane	augmented_r2	1	weighted_f1	3.199000	0.981958002
plane	augmented_r2	2	weighted_f1	3.205000	0.982942839
plane	augmented_r2	3	weighted_f1	3.211000	0.978959051
plane	augmented_r2	4	weighted_f1	3.217000	0.986012143
plane	augmented_r2	5	weighted_f1	3.223000	0.982971132
plane	augmented_r2	6	weighted_f1	3.229000	0.980980958
plane	augmented_r2	7	weighted_f1	3.235000	0.985996803
plane	augmented_r2	8	weighted_f1	3.241000	0.981006273
plane	augmented_r2	9	weighted_f1	3.247000	0.984963899
plane	filtered_r2	0	weighted_f1	5.193000	0.987004736
plane	filtered_r2	1	weighted_f1	5.199000	0.983990121
plane	filtered_r2	2	weighted_f1	5.205000	0.979914602
plane	filtered_r2	3	weighted_f1	5.211000	0.982983709
plane	filtered_r2	4	weighted_f1	5.217000	0.977869709
plane	filtered_r2	5	weighted_f1	5.223000	0.976970727
plane	filtered_r2	6	weighted_f1	5.229000	0.982005539
plane	filtered_r2	7	weighted_f1	5.235000	0.98699689
plane	filtered_r2	8	weighted_f1	5.241000	0.979965425
plane	filtered_r2	9	weighted_f1	5.247000	0.98502156
