head	experiment	seed	metric	x	score
tumour	baseline	0	accuracy	0.753000	0.952
tumour	baseline	1	accuracy	0.759000	0.941
tumour	baseline	2	accuracy	0.765000	0.94
tumour	baseline	3	accuracy	0.771000	0.943
tumour	baseline	4	accuracy	0.777000	0.935
tumour	baseline	5	accuracy	0.783000	0.955
tumour	baseline	6	accuracy	0.789000	0.953
tumour	baseline	7	accuracy	0.795000	0.937
tumour	baseline	8	accuracy	0.801000	0.942
tumour	baseline	9	accuracy	0.807000	0.94
tumour	augmented_r1	0	accuracy	1.753000	0.956
tumour	augmented_r1	1	accuracy	1.759000	0.956
tumour	augmented_r1	2	accuracy	1.765000	0.936
tumour	augmented_r1	3	accuracy	1.771000	0.944
tumour	augmented_r1	4	accuracy	1.777000	0.947
tumour	augmented_r1	5	accuracy	1.783000	0.953
tumour	augmented_r1	6	accuracy	1.789000	0.957
tumour	augmented_r1	7	accuracy	1.795000	0.948
tumour	augmented_r1	8	accuracy	1.801000	0.954
tumour	augmented_r1	9	accuracy	1.807000	0.944
tumour	filtered_r1	0	accuracy	3.753000	0.948
tumour	filtered_r1	1	accuracy	3.759000	0.953
tumour	filtered_r1	2	accuracy	3.765000	0.956
tumour	filtered_r1	3	accuracy	3.771000	0.936
tumour	filtered_r1	4	accuracy	3.777000	0.948
tumour	filtered_r1	5	accuracy	3.783000	0.959
tumour	filtered_r1	6	accuracy	3.789000	0.959
tumour	filtered_r1	7	accuracy	3.795000	0.953
tumour	filtered_r1	8	accuracy	3.801000	0.94
tumour	filtered_r1	9	accuracy	3.807000	0.945
tumour	augmented_r2	0	accuracy	2.753000	0.959
tumour	augmented_r2	1	accuracy	2.759000	0.948
tumour	augmented_r2	2	accuracy	2.765000	0.945
tumour	augmented_r2	3	accuracy	2.771000	0.947
tumour	augmented_r2	4	accuracy	2.777000	0.954
tumour	augmented_r2	5	accuracy	2.783000	0.945
tumour	augmented_r2	6	accuracy	2.789000	0.96
tumour	augmented_r2	7	accuracy	2.795000	0.95
tumour	augmented_r2	8	accuracy	2.801000	0.951
tumour	augmented_r2	9	accuracy	2.807000	0.951
tumour	filtered_r2	0	accuracy	4.753000	0.947
tumour	filtered_r2	1	accuracy	4.759000	0.96
tumour	filtered_r2	2	accuracy	4.765000	0.944
tumour	filtered_r2	3	accuracy	4.771000	0.949
tumour	filtered_r2	4	accuracy	4.777000	0.945
tumour	filtered_r2	5	accuracy	4.783000	0.959
tumour	filtered_r2	6	accuracy	4.789000	0.952
tumour	filtered_r2	7	accuracy	4.795000	0.95
tumour	filtered_r2	8	accuracy	4.801000	0.954
tumour	filtered_r2	9	accuracy	4.807000	0.941
