head	experiment	seed	metric	x	score
tumour	baseline	0	macro_f1	0.973000	0.948820197
tumour	baseline	1	macro_f1	0.979000	0.937739321
tumour	baseline	2	macro_f1	0.985000	0.93800174
tumour	baseline	3	macro_f1	0.991000	0.938036417
tumour	baseline	4	macro_f1	0.997000	0.929039227
tumour	baseline	5	macro_f1	1.003000	0.951918018
tumour	baseline	6	macro_f1	1.009000	0.949800887
tumour	baseline	7	macro_f1	1.015000	0.931375634
tumour	baseline	8	macro_f1	1.021000	0.938785145
tumour	baseline	9	macro_f1	1.027000	0.934355407
tumour	augmented_r1	0	macro_f1	1.973000	0.956369152
tumour	augmented_r1	1	macro_f1	1.979000	0.955015766
tumour	augmented_r1	2	macro_f1	1.985000	0.931564504
tumour	augmented_r1	3	macro_f1	1.991000	0.945525768
tumour	augmented_r1	4	macro_f1	1.997000	0.942469826
tumour	augmented_r1	5	macro_f1	2.003000	0.954419657
tumour	augmented_r1	6	macro_f1	2.009000	0.956257095
tumour	augmented_r1	7	macro_f1	2.015000	0.948222267
tumour	augmented_r1	8	macro_f1	2.021000	0.953388512
tumour	augmented_r1	9	macro_f1	2.027000	0.941383539
tumour	filtered_r1	0	macro_f1	3.973000	0.947196447
tumour	filtered_r1	1	macro_f1	3.979000	0.951519705
tumour	filtered_r1	2	macro_f1	3.985000	0.95344699
tumour	filtered_r1	3	macro_f1	3.991000	0.933115174
tumour	filtered_r1	4	macro_f1	3.997000	0.945575731
tumour	filtered_r1	5	macro_f1	4.003000	0.956621458
tumour	filtered_r1	6	macro_f1	4.009000	0.957661162
tumour	filtered_r1	7	macro_f1	4.015000	0.949349312
tumour	filtered_r1	8	macro_f1	4.021000	0.93947587
tumour	filtered_r1	9	macro_f1	4.027000	0.942908944
tumour	augmented_r2	0	macro_f1	2.973000	0.95922852
tumour	augmented_r2	1	macro_f1	2.979000	0.948130394
tumour	augmented_r2	2	macro_f1	2.985000	0.944141916
tumour	augmented_r2	3	macro_f1	2.991000	0.946148167
tumour	augmented_r2	4	macro_f1	2.997000	0.955767498
tumour	augmented_r2	5	macro_f1	3.003000	0.945142038
tumour	augmented_r2	6	macro_f1	3.009000	0.960329141
tumour	augmented_r2	7	macro_f1	3.015000	0.949444426
tumour	augmented_r2	8	macro_f1	3.021000	0.94894511
tumour	augmented_r2	9	macro_f1	3.027000	0.949985347
tumour	filtered_r2	0	macro_f1	4.973000	0.948463497
tumour	filtered_r2	1	macro_f1	4.979000	0.959092025
tumour	filtered_r2	2	macro_f1	4.985000	0.941634616
tumour	filtered_r2	3	macro_f1	4.991000	0.947528618
tumour	filtered_r2	4	macro_f1	4.997000	0.94577593
tumour	filtered_r2	5	macro_f1	5.003000	0.957380189
tumour	filtered_r2	6	macro_f1	5.009000	0.95021176
tumour	filtered_r2	7	macro_f1	5.015000	0.948441029
tumour	filtered_r2	8	macro_f1	5.021000	0.953818719
tumour	filtered_r2	9	macro_f1	5.027000	0.938663656
