head	experiment	seed	metric	x	score
tumour	baseline	0	weighted_f1	1.193000	0.951867743
tumour	baseline	1	weighted_f1	1.199000	0.941073655
tumour	baseline	2	weighted_f1	1.205000	0.939673959
tumour	baseline	3	weighted_f1	1.211000	0.94303868
tumour	baseline	4	weighted_f1	1.217000	0.934829671
tumour	baseline	5	weighted_f1	1.223000	0.954862338
tumour	baseline	6	weighted_f1	1.229000	0.952777081
tumour	baseline	7	weighted_f1	1.235000	0.93599552
tumour	baseline	8	weighted_f1	1.241000	0.941964526
tumour	baseline	9	weighted_f1	1.247000	0.939729231
tumour	augmented_r1	0	weighted_f1	2.193000	0.955809562
tumour	augmented_r1	1	weighted_f1	2.199000	0.955614321
tumour	augmented_r1	2	weighted_f1	2.205000	0.935168051
tumour	augmented_r1	3	weighted_f1	2.211000	0.94325258
tumour	augmented_r1	4	weighted_f1	2.217000	0.946956387
tumour	augmented_r1	5	weighted_f1	2.223000	0.952616713
tumour	augmented_r1	6	weighted_f1	2.229000	0.95653915
tumour	augmented_r1	7	weighted_f1	2.235000	0.947663836
tumour	augmented_r1	8	weighted_f1	2.241000	0.953722217
tumour	augmented_r1	9	weighted_f1	2.247000	0.943915268
tumour	filtered_r1	0	weighted_f1	4.193000	0.947435615
tumour	filtered_r1	1	weighted_f1	4.199000	0.952549558
tumour	filtered_r1	2	weighted_f1	4.205000	0.956017583
tumour	filtered_r1	3	weighted_f1	4.211000	0.93554397
tumour	filtered_r1	4	weighted_f1	4.217000	0.947926535
tumour	filtered_r1	5	weighted_f1	4.223000	0.958717667
tumour	filtered_r1	6	weighted_f1	4.229000	0.958734606
tumour	filtered_r1	7	weighted_f1	4.235000	0.952819664
tumour	filtered_r1	8	weighted_f1	4.241000	0.93927616
tumour	filtered_r1	9	weighted_f1	4.247000	0.944898208
tumour	augmented_r2	0	weighted_f1	3.193000	0.958582203
tumour	augmented_r2	1	weighted_f1	3.199000	0.947458302
tumour	augmented_r2	2	weighted_f1	3.205000	0.944821905
tumour	augmented_r2	3	weighted_f1	3.211000	0.94647689
tumour	augmented_r2	4	weighted_f1	3.217000	0.953899001
tumour	augmented_r2	5	weighted_f1	3.223000	0.944368146
tumour	augmented_r2	6	weighted_f1	3.229000	0.959871126
tumour	augmented_r2	7	weighted_f1	3.235000	0.949304391
tumour	augmented_r2	8	weighted_f1	3.241000	0.950544928
tumour	augmented_r2	9	weighted_f1	3.247000	0.950681054
tumour	filtered_r2	0	weighted_f1	5.193000	0.946551416
tumour	filtered_r2	1	weighted_f1	5.199000	0.959741259
tumour	filtered_r2	2	weighted_f1	5.205000	0.943736958
tumour	filtered_r2	3	weighted_f1	5.211000	0.948909282
tumour	filtered_r2	4	weighted_f1	5.217000	0.944089206
tumour	filtered_r2	5	weighted_f1	5.223000	0.958608729
tumour	filtered_r2	6	weighted_f1	5.229000	0.951551715
tumour	filtered_r2	7	weighted_f1	5.235000	0.94959077
tumour	filtered_r2	8	weighted_f1	5.241000	0.953404429
tumour	filtered_r2	9	weighted_f1	5.247000	0.940557299
