epoch tr_q1 tr_median tr_q3 vl_q1 vl_median vl_q3 vl_tumour_q1 vl_tumour_median vl_tumour_q3 n
1 1.648129 1.682318 1.707222 1.962295 2.128533 2.358553 43.571429 44.948980 59.948980 10
2 1.026484 1.044069 1.087304 1.404352 1.558821 2.102417 53.443878 70.663265 74.566327 10
3 0.828162 0.853519 0.876443 1.198896 1.426704 1.492111 63.801020 70.204082 84.948980 10
4 0.719710 0.727091 0.754373 1.364273 1.570697 1.829841 61.071429 74.183673 80.000000 10
5 0.627413 0.654529 0.670079 1.063334 1.344934 1.878687 59.081633 69.030612 79.413265 10
6 0.568653 0.574378 0.580996 0.954664 1.189120 1.712657 55.586735 72.142857 85.765306 10
7 0.507814 0.511911 0.516282 1.048736 1.299196 1.542626 65.484694 70.816327 79.617347 10
8 0.447152 0.456643 0.463658 0.915972 1.127366 1.214455 70.816327 76.887755 81.581633 10
9 0.379871 0.391061 0.401059 0.953206 1.227777 1.632638 69.387755 82.091837 86.352041 10
10 0.343948 0.350641 0.366969 0.923149 1.186855 1.442184 72.627551 79.132653 88.622449 10
11 0.302306 0.311954 0.328874 0.674109 0.830496 0.931747 75.510204 82.244898 90.765306 10
12 0.255668 0.274858 0.288042 0.643684 1.031173 1.303481 71.454082 78.928571 89.744898 10
13 0.220100 0.231448 0.237638 0.639301 1.045079 1.405262 68.724490 75.969388 88.035714 10
14 0.180400 0.185909 0.194306 0.480110 0.944213 1.264259 77.066327 85.765306 93.214286 10
15 0.148130 0.153615 0.171070 0.566133 0.773032 1.113100 76.071429 84.183673 88.214286 10
16 0.118782 0.131216 0.141137 0.522711 0.982242 1.952121 66.785714 75.102041 90.816327 10
17 0.097166 0.101423 0.117270 0.693763 1.293490 1.720271 61.938776 72.142857 83.852041 10
18 0.075623 0.084026 0.089089 0.583340 1.000491 1.468501 74.744898 78.112245 85.688776 10
19 0.038501 0.064128 0.071183 0.386175 0.522516 1.067761 79.056122 89.183673 92.576531 10
20 0.002045 0.030179 0.048057 0.494276 0.887445 1.450133 66.020408 80.357143 87.193878 10
21 -0.011865 0.001288 0.039750 0.542085 0.715517 1.756327 75.357143 85.510204 91.250000 10
22 -0.031991 -0.020131 -0.007138 0.272325 0.611132 1.852429 61.836735 85.918367 95.510204 10
23 -0.045311 -0.035772 -0.030082 0.361441 0.632009 1.450555 67.551020 82.806122 93.903061 10
24 -0.064037 -0.049082 -0.040003 0.266418 0.525154 1.273428 82.066327 85.051020 94.948980 10
