x y
-3.1247289 0.8099432
-2.6552241 0.4778721
-3.6840880 2.2627654
-4.1871977 1.7485186
-3.0779197 1.2039154
0.8882817 1.8840115
0.9280561 1.8347667
1.0127938 1.8002418
1.7144258 1.4115357
2.4386153 1.1121424
2.5303524 1.1663197
-4.3048406 1.6946812
-0.9257654 4.6657562
2.8418646 0.7673841
1.5205116 1.4516613
1.5068929 1.5106587
2.3649087 1.1708981
-3.2388854 2.6807036
-3.1742411 2.5488293
-3.3874426 2.2774944
-4.1871743 1.5405853
0.8571994 2.1154671
0.8230248 2.3271704
-3.7650814 2.7481489
-3.7460103 2.5305226
-2.2613406 1.5635715
2.1194558 1.3626221
2.5652781 0.9843617
2.9528930 0.4603058
1.5864333 1.5847256
1.8495282 1.4503611
2.2462528 1.3245103
2.5306878 1.2252324
2.7785163 0.7673295
2.9341841 0.6763614
0.8868888 2.0340705
1.2789068 1.5467511
1.3618490 1.4998596
1.7600633 1.4387864
1.8903040 1.2382437
2.1970711 1.0703751
-1.8714623 1.4699571
-1.6568121 1.0137941
1.2844188 1.5619912
1.3135773 1.4764028
1.4472266 1.3675267
2.2768955 1.1347084
1.9112723 1.8646907
2.1106601 1.7701299
2.4182501 1.9829861
-3.8264213 2.3585370
-3.8745577 2.3004022
-4.4293880 2.0189157
-3.2649603 1.1662695
0.7310612 2.0392931
0.7507107 1.8716246
1.5556462 1.6394633
1.9765004 1.5815091
2.1699102 1.5236208
2.2674563 1.2934134
2.7242162 0.8378034
2.2339025 1.2581283
2.7041819 0.8546686
2.8080430 0.7748296
-4.1961803 1.6351116
-2.6222425 2.0714250
-2.0842948 1.6524905
0.8844191 2.5935638
0.6854164 1.8511268
1.3685743 1.5593268
2.2904067 1.1811402
2.3940620 1.1390141
2.6800261 0.9069057
-3.3625214 2.5786200
2.5200908 1.0814421
-4.1409221 2.2203946
2.1813476 1.5067536
2.9017291 0.6819264
2.3869209 1.9408016
1.5737464 1.8364074
1.5749762 1.5363461
2.1890159 1.7102619
2.5254207 1.0867783
0.7594039 2.5983615
1.8211406 1.5117657
2.2638161 1.1886148
2.8644037 0.7374809
2.5412591 0.8733656
-2.7438810 2.1987350
-1.8454881 1.2828100
-1.5271688 1.2235134
0.1680106 1.6329898
3.0337377 0.5157471
-3.1968377 2.4619305
-3.2253432 2.3857601
-4.5780692 2.0891941
-4.2359276 1.5339541
0.6613495 1.0417579
11.1735258 -2.6126351
1.0626314 2.9388604
0.6568190 2.0686173
-1.4664333 1.1172980
-1.3756962 1.0712540
-1.2702068 0.9606497
1.1967931 2.0924261
-3.5571730 2.4926534
-4.5096879 1.8389493
-4.6434827 1.7660917
1.7992948 1.5832012
1.7603970 1.5415628
2.0226357 1.3366015
2.4682381 0.8645715
2.9304664 0.4338129
-3.2285695 1.0141613
-2.9432201 0.9128506
-2.6373370 0.3635641
0.6256192 1.6911751
0.7459359 1.7539467
1.0272678 1.8422527
-3.2568388 2.3245509
-4.2951121 2.1500173
-0.2548815 1.5956936
2.1812823 1.8018757
-3.3757956 2.6363466
-3.7802718 2.4541748
-4.5116587 1.8294605
-3.9840798 1.4363437
-3.4923053 2.6040311
-2.0122268 1.4599881
-5.0816994 2.0514197
-5.0081153 1.9361560
-4.5899787 1.5755602
-4.4420466 1.1968167
-4.4075775 1.1246665
-3.4295266 0.5386380
-3.1980441 2.5893400
-3.4386432 2.4404082
-4.6919575 1.9680380
1.3618408 1.8899113
1.8852910 1.7598907
2.2024608 1.3619239
2.4218316 1.2297509
0.7705895 2.2099581
0.8056642 2.5210118
1.4327676 1.8571632
1.6241910 1.7809628
1.9456152 1.7282914
2.4354665 1.9714214
2.3568370 1.6565949
-3.4642956 2.6295097
-2.6770284 2.1449764
2.8654113 0.7825506
2.4818525 1.1131735
2.7713773 0.8154451
1.8688443 1.6516632
1.9783345 1.6741416
2.2100880 1.2406659
2.2942071 1.0748111
2.4237454 0.9117135
0.8900490 2.2137673
1.3282768 1.9022105
2.0455995 1.7656282
2.1161647 1.7924161
2.4646235 2.0298247
2.4766819 2.0062532
0.6766856 1.4957438
0.8079479 1.5357242
0.9784885 1.6069021
1.3051533 1.6388491
1.8597270 1.5651466
2.3033991 1.2598491
2.4585161 0.9412945
0.8647312 2.1741223
0.9259856 1.9068477
1.3335348 1.7332566
1.0608917 2.0311053
1.4428927 4.4580579
0.6448351 2.0372624
0.5607352 1.4756006
1.3759773 1.6845139
0.9473373 1.6606234
-0.1628961 0.4041367
1.2502176 3.4678771
1.3097564 3.6802344
0.6879615 -0.1286810
0.8040470 2.0468197
1.0382222 3.3095551
0.6522398 1.5543177
-0.5301744 1.4145502
0.4346407 -0.1185001
0.3854437 -0.1339495
-1.1953431 0.9999574
1.3056563 3.2590833
-2.5823133 1.8978243
-2.6329038 0.3147682
0.2943819 1.7780657
2.4256787 1.1575170
1.3743124 1.5682563
1.6134239 1.4321421
2.2368262 1.1728207
2.6301703 0.9671735
2.9169369 0.7136875
-3.3378675 2.6686556
-1.3808465 1.0315559
0.6098232 1.7294186
2.1899517 1.4233921
1.7559345 1.5710464
2.9000537 0.7165112
2.4441476 1.2250552
2.4054892 1.9235102
1.5297915 1.7698871
2.2041764 1.7182322
2.6471674 0.9822296
2.8383043 0.7737944
-3.7811048 2.0297558
0.9355825 1.9383253
-4.4037352 1.6941960
-4.2181520 1.7403543
1.3871398 1.8484406
-0.8871625 4.5997391
2.8703246 0.7301189
-4.2433062 2.2491176
1.4477165 1.4984057
-0.1921010 1.5639827
1.4989243 1.5168552
2.2132444 1.8247365
1.5403457 1.4947586
1.7508509 1.6698123
2.3199630 1.1532034
-3.7266188 2.4400616
1.9108022 1.8248817
