x y
-3.3082569 2.7983871
8.4047270 -6.5216718
-3.7092090 2.7243209
-3.6466577 2.7012904
-3.5981128 2.7040153
-3.4919639 2.6731813
-3.6397569 2.5836728
-3.6124673 2.6510594
-3.6918981 2.5105522
-3.1963773 2.8398790
-3.4366646 2.3805633
-3.3758886 2.7618132
-3.5527942 2.7864099
-4.4522886 1.8563684
-4.4132233 1.7948472
-3.8344181 2.6819596
-1.6998681 1.3310435
-3.4430456 2.8212593
-4.3615799 1.9903309
-4.1028757 1.6290051
-3.8144066 1.6970943
-3.0672584 1.4126774
0.2105022 3.8334219
-0.0316147 3.9665167
-2.9256015 1.3194289
-0.0674703 3.9150529
-3.0012231 1.2944236
0.2352851 4.0038414
-0.0394269 4.1743474
-4.0960050 -3.8711638
0.2976982 4.1802702
-0.1235021 4.1766272
-0.0156025 4.1597023
0.0366246 4.2074552
-0.1861069 4.2776704
-0.0204368 4.1847563
0.0309101 4.0449853
-0.2741048 4.2733989
-0.3952043 4.4252596
-0.2189266 4.3366866
-0.3849365 4.4258628
0.0154360 4.2069516
-0.3077292 4.4326019
-0.4671706 4.4532528
-0.4221636 4.4371705
-0.3704360 4.4333196
-0.3770961 4.4294205
0.0484685 4.1875234
-0.4624390 4.5041132
-1.0147001 4.7085700
-0.8642718 4.6269217
-0.2386636 4.3585386
-1.0681436 4.7275152
-1.1050735 4.7209139
-0.7838891 4.5518804
-0.5297300 4.5248947
-1.1699957 4.7947111
-1.0407801 4.7144141
-1.0812249 4.7057662
-1.1191299 4.6576638
-1.0706565 4.7157731
-1.1265569 4.7160048
-1.0959879 4.7327104
-1.1194762 4.7178144
-1.0794467 4.7200251
-1.1298343 4.7243967
-1.1461734 4.6827688
-1.0819032 4.6433787
1.0482382 7.2833962
1.1910651 3.9718561
1.2690881 2.8691807
1.5476635 2.3174040
1.0166191 2.0037711
0.0231999 4.1407356
1.3637329 4.2825937
0.7419993 2.6211812
1.3564217 3.5628667
1.2876804 3.6577210
1.3534459 4.3402805
1.4615364 3.3330765
1.2403115 4.0149918
0.0384576 4.1414204
0.0099230 1.4379696
1.2948813 7.0422144
-2.2415473 0.9364722
1.2052642 3.3093572
1.2940013 3.3199751
-2.7947633 1.2471751
0.0152492 4.0761266
2.0009546 3.9515114
1.4659611 3.2996290
0.9590146 7.1399755
1.4429523 4.2798805
1.2091705 7.0791903
1.1730886 7.1402941
-0.3311635 1.6828488
1.1927900 3.9536943
1.2602239 3.4494524
1.0727565 3.3192303
0.7588917 2.6187418
0.0845463 4.1614285
1.4238378 4.2618723
1.2797754 3.3639476
1.4339559 3.4334283
1.2883580 3.6208446
-2.4180388 1.3783345
1.4309120 4.2574000
0.9551752 3.6662092
0.8710728 3.4234595
0.1412604 4.1447029
0.8774060 3.4232922
1.2491221 4.1479611
1.9689651 3.9737368
2.3137460 3.8954246
0.8558908 3.3355920
1.3036036 7.0315819
0.7353722 2.6315939
2.3274775 3.8852022
-0.0761305 4.1477208
1.4357309 4.3203859
0.1281593 4.1487236
0.7635654 2.6270928
1.4251794 4.3232074
0.9028455 3.4518032
0.4953007 -0.0080847
1.3151093 3.4129977
1.2395221 3.5840812
0.1052171 4.1152692
0.1087380 4.1470094
0.8943844 3.4064634
1.1625549 3.1735754
1.4006231 3.4286330
1.1493611 3.8107476
1.2444539 4.0919247
0.8465120 3.4626956
1.3141140 3.3876240
1.0465394 3.3582916
-0.0619563 4.1793475
1.3542596 4.2482500
-0.0757338 4.1596413
1.3138363 3.3540804
0.5002211 0.0430773
1.4182297 4.3344631
1.3518958 3.5139701
0.0748634 4.1462622
1.4555182 4.2566819
1.0224329 3.6491261
1.1133230 2.7134702
0.8943536 3.5354233
1.0308775 3.6017921
1.5140827 2.3398409
1.2733054 7.0617266
1.3420397 4.2879868
-0.0018499 4.1851850
1.3679080 3.5440078
1.3007028 2.8603418
0.1242305 4.1563301
1.2564834 4.1149974
-3.3744531 2.4880481
1.5226550 2.3364117
-4.4316349 1.6110317
1.3464570 3.4927075
1.4397740 4.2287297
1.2714020 7.0552344
-1.9799316 0.6178778
1.4070141 4.3001781
1.2829927 7.0466132
-0.0091337 4.1249318
1.5365968 2.3165865
1.6738100 1.4276497
1.4125307 4.3027358
1.4421444 4.2508416
0.1312142 0.1970259
1.1802279 2.9334033
1.2688272 7.0624161
1.1264611 7.2635503
1.4240327 4.2885509
1.4677086 3.3399715
1.2152747 7.1011262
1.4062765 4.2292633
1.4346946 4.2576609
0.0585186 4.1788797
0.8406317 3.4361203
1.2944763 7.0040674
-3.3519671 2.5404201
1.2703456 7.0666661
2.3690722 3.9307146
0.0912384 4.2127461
1.4231675 4.2667351
0.0878068 4.0691109
1.3648503 4.2030177
1.2302070 3.9934082
1.0934691 3.3067746
1.0167998 7.3024249
1.1216869 3.0005877
0.2253640 4.2319894
1.2739726 7.0602546
0.8628893 3.4397264
1.3970116 4.2313919
-0.0798229 4.1461535
1.4550812 4.2705469
1.2971015 3.5136111
0.9867277 3.3832936
2.3366749 3.9016280
2.3193698 3.8815265
1.5291088 2.3292661
1.1753141 7.1517363
1.1654032 2.6704569
1.1082274 2.8174543
1.5013628 3.2764604
1.3210807 3.5077305
0.1255901 4.1317706
0.7686986 2.6244085
1.5398353 2.3287892
1.2529178 7.0744190
0.9126785 7.1230712
2.3443162 3.9010141
1.2723747 7.0624557
1.1777163 2.6019812
0.9946098 3.6750815
1.4339815 4.2587924
0.1926537 4.1635923
-1.9583154 0.6250296
-0.1763804 4.2760992
1.2095923 4.2658758
1.2938067 7.0311742
1.2407367 4.0148458
1.3457003 3.2883427
0.9489655 3.6542082
-0.1335009 4.1843057
0.0395281 4.1348376
1.4259329 4.2520232
1.2473233 3.0985601
1.2217435 3.9584785
1.0414888 7.2992320
-0.0746718 4.2017975
2.3125577 3.9115915
1.3878394 4.2766418
1.4555424 3.2933950
1.4629903 4.3043351
1.0277244 7.3034420
1.7455038 3.7572360
1.3845487 4.3425040
1.1613958 3.0148265
1.0840741 2.7963603
1.2364889 3.3438492
0.7571278 2.6338615
1.0607400 3.7827308
0.7630282 2.6194665
-0.0921545 4.1882286
1.1002173 3.6729217
-3.4771395 2.7500801
1.4393529 3.2706587
-0.5850865 4.5733986
1.2762105 7.0625548
1.0945728 3.1315813
1.3270648 6.9457455
1.9867777 3.9862089
1.4397671 4.2972431
1.7818459 1.6322269
2.3382158 3.9065979
1.0606252 3.1204038
1.2943156 3.3516836
1.2876841 7.0455160
1.3348302 3.5575995
1.3341182 3.5158575
2.3206656 3.8964410
1.2929343 7.0397530
1.1361341 2.7536564
2.3322227 3.9044793
-0.2072766 1.6913446
1.2052308 3.7463605
1.4610734 4.3329110
-0.0875719 4.2202444
0.9474466 3.6149144
1.2271392 4.0435767
1.0450250 7.3163748
0.9391759 3.6675391
0.0393955 4.1921821
0.8812728 7.1119614
-1.9244105 0.6268513
1.1664416 7.0893602
1.5391574 3.3091588
0.0449644 0.2250614
1.1443657 3.0250452
-3.3740780 2.5474064
0.9799863 7.1574273
1.1490781 3.0341520
1.1873294 3.3095050
1.9999950 3.9691494
1.1282586 3.1966398
-0.1206531 4.2094064
1.0578750 7.1876607
1.2612165 3.8924656
1.1367285 3.0047657
1.4086727 4.3203645
1.0643005 7.0402937
1.1055679 2.9746959
0.1168770 4.1260662
1.5423906 2.3076098
0.7168741 2.6191859
-2.0364559 0.6310403
-3.3643990 2.5712774
0.9448720 7.1395264
-0.2526206 1.7724735
0.9180222 7.1655455
0.0603676 4.1170378
1.0976555 1.8782643
0.7392076 2.6175904
1.4321715 4.2886243
1.1966053 7.1125512
1.2464051 7.0872989
1.2613233 3.2967753
1.1331100 3.6442771
0.1336588 4.1506791
1.4161577 1.9974209
2.3087525 3.8697205
1.1196285 3.0061972
1.1565633 2.9943674
-0.7309018 4.6431580
-0.0294468 4.1566725
-0.0711633 4.1790657
1.4978323 3.2656658
1.2936274 7.0341887
1.3920218 4.3117433
1.5235507 1.8756031
0.1008483 0.1433733
0.8858634 3.5337653
1.2770098 7.0587444
0.6852273 2.6014180
0.9456111 7.1448975
1.2885482 3.5400212
-3.4897950 2.7361720
1.9774497 3.9728136
1.2815288 7.0543184
1.4897466 1.8996575
1.3141198 7.0219202
1.9884939 3.9581366
1.3273016 3.5241530
0.8811387 3.4267354
1.0391968 6.9753914
1.5213511 2.2972722
-4.4878278 1.7235051
1.4636666 4.2878232
-0.1196685 4.2125802
1.9956183 3.9580872
1.3691417 4.3321671
1.2901828 3.3323870
1.9927562 3.9428747
1.1861491 3.9816630
1.2591212 3.3064141
0.8594199 7.1079931
12.1915340 -4.1451921
9.7299080 -4.5487099
11.2448053 -3.9472933
10.8928537 -3.1571631
11.1766768 -3.4938464
11.9683552 -4.0583701
11.7992678 -4.4833255
12.1285896 -4.8655005
11.9407101 -4.1996646
11.3055658 -4.0790977
12.3370934 -4.0076971
11.0842142 -4.2747321
12.2719431 -4.1432595
12.2998533 -3.9177349
10.0621424 -4.5083442
11.3120537 -3.9800377
10.0045290 -4.2519736
12.8519506 -4.3332114
12.0123034 -4.0682030
11.1211834 -4.0724072
10.8676491 -3.2367499
12.1706295 -4.0945859
12.1866255 -4.9427357
-4.0061407 -3.8657522
12.2581415 -4.1252108
12.2626276 -4.0793786
10.8864040 -3.2176154
12.8892374 -4.2337990
11.3718615 -4.0942287
10.7926979 -3.3185925
12.2646198 -4.1725969
11.3438816 -4.0944800
12.1797447 -4.1636510
10.6439219 -4.1247449
12.0859413 -4.8787289
10.1562777 -4.2661195
12.1174097 -4.2355227
11.4748249 -4.1636667
10.9214382 -3.4965708
11.0435486 -4.2929106
11.8067198 -4.1720686
9.8897419 -4.5702057
12.2530508 -4.1507058
12.1772356 -4.2006226
12.3112879 -4.1698184
11.2193556 -3.9854014
10.0403290 -4.2546096
11.9070120 -4.1573634
12.1674290 -4.2210217
-3.3685408 -3.3313656
-3.3581805 -3.1925881
-3.3710420 -3.2449076
-3.3817956 -3.3924623
-3.4275286 -3.2817795
-3.5191121 -3.5819218
-3.3997846 -3.3932211
