x y
1.7413423 3.4049399
1.2530389 3.3424454
1.2593000 3.1744545
1.2803476 3.9714580
1.2693540 3.8934100
-0.6908550 4.6410193
1.4525014 4.3430724
-0.8078383 4.6682849
1.0229644 2.8175461
0.7497059 2.6619515
2.3654611 3.8538942
1.0087377 7.3492002
1.3351375 2.6230347
0.3658631 1.6871839
1.1366432 7.2067847
1.2186207 3.2253025
1.1274290 7.2267051
0.9654732 3.7005720
-3.0325048 2.8262665
1.0052898 7.3847313
-2.7134137 2.8381240
1.0088280 7.3700523
-0.5077271 4.5469022
-2.5528924 2.8014948
-2.7294216 2.8066471
1.7450964 0.2681623
-0.5606888 4.5969620
0.9214972 3.9607003
1.1890957 7.1533260
1.0050297 7.3347292
-2.7236705 2.9142320
1.4267842 4.1384830
-1.0000670 4.7843280
1.2544628 4.0329118
1.0879819 7.2719150
-0.3790919 4.3718190
1.2554806 4.0346632
1.0782382 2.9273534
-2.7809145 2.8841870
-0.4797846 4.5343103
1.1506361 7.2016335
1.9672191 3.8275435
1.1753604 3.9229472
1.3098896 3.1103227
1.7951248 4.1145425
-0.3073778 4.4798312
1.1008734 2.9196255
0.0667788 4.1525397
0.1338871 4.1150093
-1.0635180 1.4593325
1.2745354 3.9682117
-0.4677334 4.5575066
1.6432492 3.3706517
1.0302644 7.3351946
1.1956879 4.0246329
1.0250798 7.3456664
-2.0200229 1.0453442
-0.2194940 4.3899961
1.0879545 2.8759787
1.2786386 3.2401850
1.7066764 3.3476675
1.0285705 2.4102249
0.7900146 2.7299476
1.8464664 3.5227931
1.2927412 3.2950277
1.4669266 2.4666533
2.3602042 3.8462901
2.3635151 3.8543913
1.1330057 7.2131257
1.3865169 4.1609292
0.9590149 3.6387622
1.2383782 4.0016603
-2.5974274 2.8645084
1.9876618 3.8915641
-1.1163758 4.7386341
-0.1058078 4.3543358
-0.8891754 4.7368002
1.0981144 2.5661547
-0.7642696 4.5384111
1.1207341 3.5289528
0.1329586 4.1936336
1.5451336 3.2864435
1.6460561 3.3332007
1.3986642 4.3618450
1.0692221 7.2920451
1.5258757 3.1760890
1.4187419 4.3095675
1.0110757 7.3315234
0.9746220 7.3965187
1.3269348 3.0237975
1.7826936 -0.0579438
-2.6997457 2.8997879
1.2892278 3.3152585
1.6161323 3.3536131
1.1931739 3.0711570
1.5043092 3.2965262
-0.1676921 4.0473204
1.2827327 3.8905993
0.1616227 4.1566796
1.2917731 3.6241918
1.8178436 3.4980631
1.3752693 4.2641664
1.5076362 2.2014472
-0.4279700 4.4684095
1.9617085 3.8828611
1.2891656 3.2261610
0.8174234 3.7744405
-0.2420397 4.3832879
-0.3261451 4.4539757
1.0868447 7.2667046
0.9610729 3.6656568
