x y
-4.4237251 2.2088006
-2.9009969 0.8089561
-2.6455147 0.6389629
-2.6626191 0.5698707
-5.1547527 2.0305789
-4.6643767 1.6553158
-3.0714924 2.2721460
-4.2012486 1.5285686
-5.0136104 1.8596565
-4.8885126 1.3506885
-4.7439704 1.2000057
-4.7574568 2.5974157
-5.0051885 2.3929210
-5.0066724 2.0491116
-3.7840455 2.7571912
-2.4777544 0.5634744
-2.6078529 0.4088316
-2.5224187 0.4130135
-3.7381094 2.8521984
-3.9827788 2.6268513
-4.8310781 1.9915612
-5.4608846 2.1066139
-5.4346299 2.0412040
-5.3938117 1.8882771
-3.7067766 2.8695483
-3.8109980 2.7252760
-3.7373629 2.8447843
-4.3112502 2.1632781
-4.2382665 1.6583011
-3.9410627 2.6628940
-3.8811922 2.6289883
-4.9737172 2.0906205
-3.8525507 2.7536495
-4.0720358 2.7005510
-4.6541848 1.8075689
-4.4873219 1.3427271
-4.1689367 2.7375767
-4.2542052 2.5659635
-4.8299255 2.0929613
-4.6670990 1.7606474
-4.4834599 1.4782617
-3.9841278 2.6223571
-4.0842776 2.5199673
-2.9404695 1.3292792
-4.3398409 2.3643110
-4.4055400 2.3272514
-4.3950548 2.2532096
-4.2058096 1.7373891
-4.1713085 2.4222572
-0.9254034 0.4224570
-4.8262205 2.1290343
0.9573014 2.6883767
-5.2779789 2.3835030
-5.3661847 2.2166164
-4.2159796 1.4786243
-4.7935405 2.1538727
-3.8888395 2.9844098
-4.5893593 1.8835361
-4.4105310 1.5458945
-4.6493521 2.1820719
-4.7560134 2.2271509
-4.3635292 1.5189797
-4.4283900 1.5353585
-2.2329943 1.6147320
-2.1317997 1.4843285
-2.1104755 1.4577003
-2.0172262 1.2779560
-5.3041234 2.4139142
-5.3900270 2.2744858
-5.3268018 2.1341491
-5.0335660 1.9966874
-4.9714594 1.9088018
-4.7703629 1.7187828
-4.3472137 1.0857741
-4.4134750 2.1845474
-4.4723301 2.2363474
-3.5479271 1.1906449
-3.3605866 1.0211104
-2.9232378 0.5542658
-4.1367631 2.0348165
-4.1661911 1.8931078
-2.6740675 0.8702399
-4.8189435 1.7992200
-4.4594831 1.2446762
-4.3831296 1.0887052
-2.5800877 0.8607936
-2.4724507 0.5454857
-2.4920816 0.4318515
-4.2810888 2.6926420
-4.8757529 2.0489254
-4.9131031 1.9925456
-4.5644851 1.4787192
-4.1854386 0.9883757
-3.8623030 0.8419922
-4.9758663 2.3901200
-4.7226763 1.7139516
-4.4758720 1.3589532
-2.5126674 0.7092388
-2.5544965 0.5057476
-2.4313757 0.4341721
-4.2902818 2.5870659
-4.3007631 1.9780092
-3.5394816 1.2824419
-2.6199663 0.5415348
-2.6052396 0.3304070
-5.2791381 2.2745442
-5.3059769 1.8943055
-5.2844582 1.7530243
-5.0278611 2.0043027
-4.4831562 1.3977493
-4.6693082 1.7774415
-4.6234465 1.7973734
-4.2851305 1.1493431
-3.7020161 2.5086119
-3.1732397 1.9789561
-4.2903261 1.7500441
-4.2299256 1.5376943
-5.4189501 2.2507472
-5.0624700 2.1386912
-4.7270050 1.9696106
-4.5629911 1.8389238
-4.2218699 1.1561006
-2.8828955 1.0095799
-2.3394957 0.7814099
-4.2452283 2.4164279
-4.6160765 2.0765126
-4.0883594 1.8043488
-2.3203743 0.4846316
-3.4806523 2.6656041
-4.1727810 2.3729310
-4.1832838 2.3845148
-3.9362111 2.4977345
-4.8444319 2.6238573
-4.1910377 2.1572895
-5.0965314 2.1207604
-5.0558829 2.0845361
-4.9827294 1.9286386
-4.5442567 1.1239171
-4.3373618 1.0200671
-3.2320228 0.5091826
-4.8707376 1.9015235
-4.9485517 1.8260565
-4.6266966 1.9406109
-4.4914703 1.7270161
-2.8306527 0.7563083
-2.7883170 0.6304809
-4.2248836 2.1302195
-4.1889362 1.6946447
-2.7729728 0.8362317
-4.0308318 2.2487125
-4.1565347 1.9991773
-2.5108745 0.7783795
-2.6405132 0.2452375
-2.6533346 0.1641127
-5.3571539 2.2352030
-5.1519756 1.9303474
-4.5798516 1.2112705
-4.0805483 0.7026879
-3.7643993 2.7467499
-3.9221423 2.6442678
-3.9437678 2.5076683
-2.5336483 0.4739371
-2.4935005 0.4700874
-5.0123415 2.0057905
-4.8081923 1.2126737
-4.6393876 1.0110838
-4.5335526 0.9408506
-5.4004183 2.2171166
-5.3116674 2.0045099
-4.7140255 1.1534023
-4.6061935 1.0981879
-3.0615222 0.1891211
-3.0698249 0.1612680
-5.3750553 2.2587087
-5.3306456 2.1417577
-5.3250928 2.0669112
-4.7235169 1.1064254
-4.3416343 2.2934911
-4.4874473 2.0137856
-2.5616384 0.7096694
-2.5086164 0.5590835
-2.6118994 0.3586775
-4.6531525 2.5374954
-4.8665962 2.3122067
-5.1938992 2.2185338
-4.8677449 1.9794804
-4.6666126 1.5134251
-4.5627875 1.3298558
-5.1708460 2.5182388
-5.2875776 2.0510113
-5.2968249 1.9083109
-4.9456630 2.5294003
-5.1401982 2.0286059
-5.0898118 2.0218387
-5.3486843 2.0800889
-5.1575537 1.8108008
-4.3838067 2.4601028
-4.4835048 1.8200957
-2.8137720 0.6478329
-5.4450722 2.2325902
-5.3006320 2.0738420
-5.2040014 1.9524263
-5.0544591 2.4751365
-5.2912745 2.2734478
-5.1702576 1.9795929
-4.4283428 1.7563655
-4.3735991 2.3786075
-4.4288216 2.1855154
-4.1598864 2.3711507
-4.1224174 2.3251946
-0.8479234 0.4086112
-4.9275513 2.0370355
-4.7697334 2.6068439
-4.9682393 2.2920384
-2.4829643 0.4508834
-2.6289201 0.4504501
-2.5340118 0.3990226
-5.2285762 2.3838420
-5.3791089 2.2348549
-5.4489584 2.2087526
-4.8823609 1.2847068
-4.6499228 1.0600487
-4.0531282 2.4982138
-4.9206848 1.9652154
-4.7292733 1.2024992
-3.1581457 0.2210137
-3.0397496 0.1585079
-5.3592830 2.2522690
-5.3732319 2.1132770
-5.4028330 2.1173244
-5.1491408 1.8603929
-4.5358806 0.8526024
-4.3392725 2.2614713
-4.5130935 1.9976002
-2.5307548 0.6872349
