x y
-4.1152191 1.8717775
-2.1806509 2.4071620
-2.0858297 2.4582663
-4.9930167 2.1283245
-5.5402017 1.4127290
-3.8008451 2.7890100
-4.3981700 2.1959870
-4.7338147 1.8187627
-5.2806840 2.3836415
-3.6610599 3.0733199
-4.1202121 1.6668695
-3.3245828 0.3718206
-3.6559336 2.9473436
-2.5930581 0.9547070
-2.7727065 2.2277212
-4.5534148 1.5992837
-4.2162910 1.2963620
-2.3201175 0.7129521
-4.8669209 1.9427786
-5.4504981 1.9175783
-3.6754365 2.9955180
-5.2832384 1.8274887
-2.8251736 0.1074907
-3.2794082 2.0570614
-3.6601620 2.8044426
-4.0186057 0.9090611
-5.2489910 1.8647892
-2.3181930 0.4784512
-2.8605232 0.1516577
-3.8128123 2.7698815
-3.9211395 3.0217769
-2.9732151 0.9584607
-2.4435637 0.4787295
-4.1901798 1.9461592
-5.4216695 1.8693857
-4.6872697 2.3273921
-3.9418356 2.6254528
-5.3753014 2.2022309
-4.6977105 1.2483437
-4.4587159 1.8358504
-4.8683324 1.7821118
-4.8244729 2.5087678
-5.0450149 2.4507945
-2.2467873 0.4838475
-4.1738319 1.9647572
-5.0349741 1.3886427
-3.6005695 2.8758376
-5.1027536 1.6330191
-5.1110291 2.2107177
-4.0066500 0.4791238
-4.4656506 2.2918882
-3.0589240 1.7262700
-2.2714365 0.4624083
-5.4286819 2.1085577
-4.3125124 1.0228275
-3.7933438 2.7850118
-3.4010634 0.3625582
-3.2919438 2.4446328
-4.3718648 1.1121038
-2.8308976 1.1579441
-4.7969122 1.8756778
-4.8118300 1.9792261
-4.9823928 1.9691404
-4.0516863 2.1720831
-4.5371594 0.9004684
-4.4473109 0.7866297
-2.5907176 0.7972371
-4.1307898 2.5462310
-5.5505805 1.4523053
-4.5304446 0.8034775
-4.0655050 2.7917929
-4.8989778 2.0064487
-4.5412159 2.1568830
-2.2754829 0.3717394
-4.2594995 2.4560652
-4.6460161 2.3668914
-2.7834280 0.2169892
-2.3201115 0.6898947
-0.9463490 1.1831378
-4.4296999 1.2735438
-3.7182605 2.9816694
-4.2661777 1.7541245
-2.2085576 2.3526728
-2.0954251 2.4913654
-2.0934494 2.4836075
-3.5928926 2.8245118
-2.8139760 0.7156450
-3.7312586 2.9204531
-5.4650340 1.5241630
-3.7327056 2.4790721
-3.8309872 2.6733775
-2.0937872 2.4832406
-2.3090868 0.3645754
-4.2422915 1.1621679
-2.6092360 0.3924429
-2.4155581 0.6715489
-2.6526763 0.3369159
-4.1116228 1.8241713
-4.5897474 0.8695250
-4.3489885 1.1008712
-3.5751164 3.1977243
-5.2152963 1.7916700
-5.4142809 1.4170161
-5.4229379 2.1624322
-4.2848191 2.4263704
-4.8117194 1.6645770
-5.0579023 1.4484800
-4.8638105 1.2667522
-3.5439692 2.6363814
-4.7013187 2.1035323
-4.1902299 1.7820858
-4.1475768 0.6010547
-4.1251116 2.1401379
-3.6699224 2.9809000
-2.6955810 0.7156730
-5.4018550 2.2486911
-4.7523212 1.0211318
-3.8232930 0.3978160
-0.9756864 1.1299285
-2.5946703 0.6261165
-2.7647374 0.3198079
-3.2846761 0.5438403
-0.9096057 1.0680012
-3.5164726 3.2373176
-5.3378992 2.3872426
-5.4068570 1.7771393
-5.2195263 2.5115688
-3.1245351 1.1003350
-4.2739205 2.1731539
-4.2961054 1.0198187
-4.6390438 2.7598748
-4.4262528 1.4019928
-2.5997360 0.8525999
-2.2997875 0.3744007
-4.1173253 2.1859214
-4.6497707 1.3582116
-3.8867123 2.1174614
-3.7239826 2.4003723
-2.9552474 1.1356406
-2.6925170 0.3474698
-3.5446556 2.8877966
-3.3860016 2.0351326
-2.6571777 0.7276832
-5.3133888 2.3296335
-4.2031250 2.7537534
-2.7640030 1.0551604
-3.9262562 2.5792141
-4.4386492 1.2832980
-3.5173283 3.2460849
-5.5047040 1.4698675
-4.4997840 2.8017626
-2.5956020 2.2515607
-4.2131605 0.5929067
-5.3115683 2.1091921
-2.2060497 2.3981645
