umap_x,umap_y,filepath,class,plane,source
-1.6883353,1.096376,brisc2025_preprocessed\glioma_ax\brisc2025_train_00001_gl_ax_t1.png,glioma,ax,real
0.5798287,1.5026344,brisc2025_preprocessed\glioma_ax\brisc2025_train_00002_gl_ax_t1.png,glioma,ax,real
0.42795604,-0.2906247,brisc2025_preprocessed\glioma_ax\brisc2025_train_00003_gl_ax_t1.png,glioma,ax,real
0.81352776,-0.47844502,brisc2025_preprocessed\glioma_ax\brisc2025_train_00004_gl_ax_t1.png,glioma,ax,real
0.90216243,1.8465958,brisc2025_preprocessed\glioma_ax\brisc2025_train_00005_gl_ax_t1.png,glioma,ax,real
1.9360245,1.6413159,brisc2025_preprocessed\glioma_ax\brisc2025_train_00006_gl_ax_t1.png,glioma,ax,real
0.81368446,0.37263924,brisc2025_preprocessed\glioma_ax\brisc2025_train_00007_gl_ax_t1.png,glioma,ax,real
2.3533018,1.3028446,brisc2025_preprocessed\glioma_ax\brisc2025_train_00008_gl_ax_t1.png,glioma,ax,real
2.4491534,1.7471803,brisc2025_preprocessed\glioma_ax\brisc2025_train_00009_gl_ax_t1.png,glioma,ax,real
0.8013692,-0.2936732,brisc2025_preprocessed\glioma_ax\brisc2025_train_00010_gl_ax_t1.png,glioma,ax,real
-3.6189542,2.708811,brisc2025_preprocessed\glioma_ax\brisc2025_train_00011_gl_ax_t1.png,glioma,ax,real
-0.0092849415,0.032447767,brisc2025_preprocessed\glioma_ax\brisc2025_train_00012_gl_ax_t1.png,glioma,ax,real
0.81585854,0.20059566,brisc2025_preprocessed\glioma_ax\brisc2025_train_00013_gl_ax_t1.png,glioma,ax,real
1.0904684,-0.34617022,brisc2025_preprocessed\glioma_ax\brisc2025_train_00014_gl_ax_t1.png,glioma,ax,real
1.2784909,-0.41793042,brisc2025_preprocessed\glioma_ax\brisc2025_train_00015_gl_ax_t1.png,glioma,ax,real
0.2637657,-0.25965926,brisc2025_preprocessed\glioma_ax\brisc2025_train_00016_gl_ax_t1.png,glioma,ax,real
0.67698264,-0.3219621,brisc2025_preprocessed\glioma_ax\brisc2025_train_00017_gl_ax_t1.png,glioma,ax,real
2.4572093,0.4254445,brisc2025_preprocessed\glioma_ax\brisc2025_train_00018_gl_ax_t1.png,glioma,ax,real
2.3149772,1.7663887,brisc2025_preprocessed\glioma_ax\brisc2025_train_00019_gl_ax_t1.png,glioma,ax,real
-1.9596742,1.609008,brisc2025_preprocessed\glioma_ax\brisc2025_train_00020_gl_ax_t1.png,glioma,ax,real
0.8586533,-0.2872339,brisc2025_preprocessed\glioma_ax\brisc2025_train_00021_gl_ax_t1.png,glioma,ax,real
0.6459015,-0.19516663,brisc2025_preprocessed\glioma_ax\brisc2025_train_00022_gl_ax_t1.png,glioma,ax,real
1.2681735,-0.38172132,brisc2025_preprocessed\glioma_ax\brisc2025_train_00023_gl_ax_t1.png,glioma,ax,real
-0.1196318,0.03492796,brisc2025_preprocessed\glioma_ax\brisc2025_train_00024_gl_ax_t1.png,glioma,ax,real
0.7189574,-0.47851843,brisc2025_preprocessed\glioma_ax\brisc2025_train_00025_gl_ax_t1.png,glioma,ax,real
-1.8692726,1.519252,brisc2025_preprocessed\glioma_ax\brisc2025_train_00026_gl_ax_t1.png,glioma,ax,real
1.8542186,1.7732223,brisc2025_preprocessed\glioma_ax\brisc2025_train_00027_gl_ax_t1.png,glioma,ax,real
-0.60433924,0.41681388,brisc2025_preprocessed\glioma_ax\brisc2025_train_00028_gl_ax_t1.png,glioma,ax,real
0.72905064,0.0071232636,brisc2025_preprocessed\glioma_ax\brisc2025_train_00029_gl_ax_t1.png,glioma,ax,real
-0.7049442,0.18822765,brisc2025_preprocessed\glioma_ax\brisc2025_train_00030_gl_ax_t1.png,glioma,ax,real
