model,condition,acc_mean_pct,acc_sd_pct,acc_sd_change_pct,eff_metric,eff_mean,eff_sd,best_step_mean,best_step_sd,speedup_pct,paired_mean_reduction,paired_p,first98_mean,first98_n
CNN,Baseline,93.92,0.45411696975803323,0,Best validation-loss epoch,177.1,24.49240245010231,,,0,,,79.83333333333333,6
CNN,Aug. 1:1,94.91999999999999,0.6562519841239853,44.51166281534371,Best validation-loss epoch,99.1,36.437008048899344,,,44.042913608130995,78,0.005859375,41.285714285714285,7
CNN,Aug. 1:2,94.99,0.6008327554319925,32.30792845115076,Best validation-loss epoch,67.3,21.42195135836136,,,61.998870694522864,109.8,0.001953125,47,8
CNN,Filt. 1:1,94.69999999999999,0.3126943839882289,-31.142325697530836,Best validation-loss epoch,102,28.2724836781867,,,42.405420666290226,75.1,0.001953125,39.666666666666664,9
CNN,Filt. 1:2,94.67,0.4667856991049392,2.7897502605234603,Best validation-loss epoch,63.3,27.18680235375654,,,64.257481648786,113.8,0.001953125,36.44444444444444,9
MobileViTV2,Baseline,94.17999999999999,0.6860515043833527,0,Real-data epochs at selected step,53.2461695607763,2.633911238888871,1629,80.58122196475637,0,,,,
MobileViTV2,Aug. 1:1,94.91,0.5021066730398148,-26.812102322969757,Real-data epochs at selected step,26.62308478038815,1.3169556194444354,1629,80.58122196475637,50.0,26.62308478038815,0.001953125,,
MobileViTV2,Aug. 1:2,94.96,0.5561774297230461,-18.930659554058117,Real-data epochs at selected step,17.799540347293156,1.124818645852242,1621,102.43697249203206,66.57122851442602,35.44662921348314,0.001953125,,
MobileViTV2,Filt. 1:1,94.98,0.496207841758091,-27.671925709994603,Real-data epochs at selected step,26.62308478038815,1.3169556194444354,1629,80.58122196475637,50.0,26.62308478038815,0.001953125,,
MobileViTV2,Filt. 1:2,94.69999999999999,0.46427960923947104,-32.32583759774976,Real-data epochs at selected step,17.799540347293156,1.124818645852242,1621,102.43697249203206,66.57122851442602,35.44662921348314,0.001953125,,
