source,seed,n_estimators,oob_score,test_accuracy,test_macro_f1,test_weighted_f1,f1_glioma,f1_meningioma,f1_no_tumor,f1_pituitary,experiment
rf_tree_growth,0,25,0.7985430283224401,0.769,0.7753780892461201,0.7576008142665067,0.7484662576687117,0.6136363636363636,0.8881578947368421,0.8512518409425626,augmented_r2
rf_tree_growth,0,50,0.8472903050108932,0.778,0.7846264930825176,0.7678910100186143,0.7457627118644068,0.6336996336996337,0.8947368421052632,0.8643067846607669,augmented_r2
rf_tree_growth,0,100,0.8713235294117647,0.792,0.8004604971445924,0.7829805448042377,0.7653276955602537,0.6581352833638026,0.9144736842105263,0.863905325443787,augmented_r2
rf_tree_growth,0,200,0.8877995642701525,0.793,0.8010898303943922,0.7848209502954075,0.7633262260127932,0.6642728904847397,0.9084967320261438,0.8682634730538922,augmented_r2
rf_tree_growth,0,300,0.8933823529411765,0.802,0.8098106535758017,0.794204351126024,0.7665952890792291,0.6833631484794276,0.9150326797385621,0.874251497005988,augmented_r2
rf_tree_growth,0,400,0.8959014161220044,0.807,0.8151610672312449,0.7997106325644852,0.7870967741935484,0.6881720430107527,0.9150326797385621,0.8703427719821163,augmented_r2
rf_tree_growth,0,500,0.897739651416122,0.808,0.814947823761351,0.8003158300229904,0.7889125799573561,0.6871609403254972,0.9090909090909091,0.8746268656716418,augmented_r2
rf_tree_growth,1,25,0.8005855119825708,0.793,0.7970854381726089,0.7837858317760251,0.7747368421052632,0.667910447761194,0.8817891373801917,0.863905325443787,augmented_r2
rf_tree_growth,1,50,0.8487881263616558,0.807,0.8130515753799622,0.7990863941596362,0.7983193277310925,0.6825688073394496,0.8996763754045307,0.8716417910447761,augmented_r2
rf_tree_growth,1,100,0.8764978213507625,0.804,0.8132484851596236,0.7958402543153756,0.788135593220339,0.6751824817518248,0.9240924092409241,0.8655834564254062,augmented_r2
rf_tree_growth,1,200,0.8889569716775599,0.798,0.8052806581592555,0.7891224228664789,0.7770700636942676,0.6642335766423357,0.9090909090909091,0.8707280832095097,augmented_r2
rf_tree_growth,1,300,0.8940631808278867,0.804,0.8135868111848225,0.7960407703197038,0.7718550106609808,0.6798561151079137,0.9302325581395349,0.8724035608308606,augmented_r2
rf_tree_growth,1,400,0.8954248366013072,0.807,0.8160650645580971,0.7992205381211529,0.7787234042553192,0.6846846846846847,0.9271523178807947,0.8736998514115899,augmented_r2
