source,seed,n_estimators,oob_score,test_accuracy,test_macro_f1,test_weighted_f1,f1_glioma,f1_meningioma,f1_no_tumor,f1_pituitary,experiment
rf_tree_growth,0,25,0.7767565359477124,0.765,0.774150682544074,0.7560509556492715,0.7364016736401674,0.6243194192377496,0.8925081433224755,0.8433734939759037,baseline
rf_tree_growth,0,50,0.8231209150326797,0.794,0.801726404621842,0.7855356920608683,0.775,0.6666666666666666,0.9055374592833876,0.8597014925373134,baseline
rf_tree_growth,0,100,0.852328431372549,0.803,0.8121146642259387,0.7958553046879338,0.7813163481953291,0.6761565836298933,0.9174917491749175,0.8734939759036144,baseline
rf_tree_growth,0,200,0.8676470588235294,0.809,0.8189465159883431,0.8023871813381995,0.7763713080168776,0.6878306878306878,0.9297658862876255,0.8818181818181818,baseline
rf_tree_growth,0,300,0.8725490196078431,0.806,0.8154866868668593,0.7989571943266048,0.7796610169491526,0.6820603907637656,0.9240924092409241,0.8761329305135952,baseline
rf_tree_growth,0,400,0.8747957516339869,0.814,0.8229821024980086,0.8077846929703887,0.7855626326963907,0.6994727592267135,0.9240924092409241,0.882800608828006,baseline
rf_tree_growth,0,500,0.8766339869281046,0.809,0.8177438267710266,0.8025552296529206,0.7725321888412017,0.6945898778359512,0.9210526315789473,0.882800608828006,baseline
rf_tree_growth,1,25,0.7675653594771242,0.766,0.7756620716171209,0.7591071745421991,0.7334754797441365,0.6352530541012217,0.8859934853420195,0.847926267281106,baseline
rf_tree_growth,1,50,0.8245506535947712,0.788,0.7954062570298363,0.7817623504495174,0.7581699346405228,0.671280276816609,0.8867313915857605,0.8654434250764526,baseline
rf_tree_growth,1,100,0.8535539215686274,0.8,0.8082109374872561,0.7940622800555804,0.7645788336933045,0.6944444444444444,0.9049180327868852,0.8689024390243902,baseline
rf_tree_growth,1,200,0.8696895424836601,0.804,0.8121978958791519,0.7981861787288327,0.7758620689655172,0.687392055267703,0.9055374592833876,0.88,baseline
rf_tree_growth,1,300,0.8735702614379085,0.809,0.8182637638280711,0.8029808566283211,0.776824034334764,0.6944444444444444,0.9210526315789473,0.8807339449541285,baseline
rf_tree_growth,1,400,0.8719362745098039,0.809,0.8179793725826118,0.8028622390817746,0.782051282051282,0.6910994764397905,0.9180327868852459,0.8807339449541285,baseline
rf_tree_growth,1,500,0.8743872549019608,0.806,0.8161530239374003,0.7999271115799768,0.776824034334764,0.688695652173913,0.9240924092409241,0.875,baseline
rf_tree_growth,2,25,0.7845179738562091,0.779,0.7868012562215883,0.7718296168045501,0.7420042643923241,0.6514886164623468,0.8881789137380192,0.865533230293663,baseline
rf_tree_growth,2,50,0.8347630718954249,0.796,0.8033403331833768,0.7894759564438637,0.7612903225806451,0.6794425087108014,0.8974358974358975,0.8751926040061633,baseline
rf_tree_growth,2,100,0.8555964052287581,0.81,0.8204765092612626,0.8042236927474699,0.776824034334764,0.7038327526132404,0.9302325581395349,0.8710166919575114,baseline
rf_tree_growth,2,200,0.8670343137254902,0.801,0.809857675889734,0.794107520095366,0.7698924731182796,0.6830985915492958,0.9150326797385621,0.8714069591527988,baseline
rf_tree_growth,2,300,0.8705065359477124,0.812,0.8209874742288092,0.8060589722643637,0.782051282051282,0.7027972027972028,0.9210526315789473,0.8780487804878049,baseline
