source,seed,n_estimators,oob_score,test_accuracy,test_macro_f1,test_weighted_f1,f1_glioma,f1_meningioma,f1_no_tumor,f1_pituitary,experiment
rf_tree_growth,0,25,0.8119553376906318,0.773,0.7818667359656597,0.7643679267048439,0.7530864197530864,0.6360294117647058,0.8940397350993378,0.844311377245509,filtered_r2
rf_tree_growth,0,50,0.8545751633986928,0.786,0.7932783259798519,0.7772101550150364,0.756198347107438,0.6508226691042047,0.8990228013029316,0.8670694864048338,filtered_r2
rf_tree_growth,0,100,0.8786083877995643,0.791,0.801322417635815,0.7829957187435435,0.7763713080168776,0.6534296028880866,0.9174917491749175,0.8579970104633782,filtered_r2
rf_tree_growth,0,200,0.8915441176470589,0.8,0.8095530085750349,0.7923913109027008,0.7890295358649789,0.6702898550724637,0.9174917491749175,0.8614008941877794,filtered_r2
rf_tree_growth,0,300,0.8963099128540305,0.801,0.8111936671591911,0.793868095613659,0.7794432548179872,0.6773618538324421,0.9235880398671097,0.8643815201192251,filtered_r2
rf_tree_growth,0,400,0.8989651416122004,0.8,0.808990019861456,0.7925959701501729,0.7803837953091685,0.6702317290552585,0.9144736842105263,0.8708708708708709,filtered_r2
rf_tree_growth,0,500,0.8998502178649237,0.802,0.8113077333594835,0.7947412996612957,0.7846481876332623,0.6774193548387096,0.9174917491749175,0.8656716417910447,filtered_r2
rf_tree_growth,1,25,0.8082107843137255,0.773,0.781003638511495,0.7640331267823612,0.7515657620041754,0.6420664206642066,0.8903225806451613,0.8400597907324364,filtered_r2
rf_tree_growth,1,50,0.8540305010893247,0.798,0.8059046861222184,0.7904152230816591,0.7796610169491526,0.68,0.9055374592833876,0.8584202682563339,filtered_r2
rf_tree_growth,1,100,0.8790849673202614,0.807,0.815991767928967,0.7995142475639052,0.7835051546391752,0.689908256880734,0.9235880398671097,0.866965620328849,filtered_r2
rf_tree_growth,1,200,0.8905228758169934,0.804,0.8147483262342399,0.7967813671715116,0.7873684210526316,0.6774774774774774,0.9297658862876255,0.8643815201192251,filtered_r2
rf_tree_growth,1,300,0.8939950980392157,0.802,0.8130295315531335,0.7947660101379045,0.7857142857142857,0.6726618705035972,0.9297658862876255,0.8639760837070254,filtered_r2
rf_tree_growth,1,400,0.8954929193899782,0.803,0.8132531055900621,0.795559420289855,0.7857142857142857,0.677536231884058,0.9266666666666666,0.8630952380952381,filtered_r2
rf_tree_growth,1,500,0.8982162309368191,0.804,0.814364972251206,0.7970471359010419,0.7829787234042553,0.6821428571428572,0.9266666666666666,0.8656716417910447,filtered_r2
rf_tree_growth,2,25,0.8105255991285403,0.773,0.7826037477686875,0.7640838431799734,0.7551020408163265,0.6333333333333333,0.9006622516556292,0.8413173652694611,filtered_r2
rf_tree_growth,2,50,0.8583877995642701,0.791,0.8024521169897116,0.7833419443457614,0.7605042016806722,0.6654611211573237,0.9288135593220339,0.8550295857988166,filtered_r2
rf_tree_growth,2,100,0.8809912854030502,0.799,0.8089850793170221,0.7920194371809509,0.7763713080168776,0.6774193548387096,0.9194630872483222,0.8626865671641791,filtered_r2
rf_tree_growth,2,200,0.8941993464052288,0.8,0.8108112874775334,0.7935606675927718,0.767590618336887,0.6807017543859649,0.9261744966442953,0.8687782805429864,filtered_r2
rf_tree_growth,2,300,0.897671568627451,0.802,0.8116128533440473,0.7953508905846479,0.7818574514038877,0.6819787985865724,0.9169435215946844,0.8656716417910447,filtered_r2
rf_tree_growth,2,400,0.8997140522875817,0.799,0.8089889186480574,0.7921639212624334,0.7801724137931034,0.6773049645390071,0.9174917491749175,0.8609865470852018,filtered_r2
rf_tree_growth,2,500,0.9014842047930284,0.806,0.8162311710457971,0.7993640391883989,0.782051282051282,0.6879432624113475,0.9266666666666666,0.8682634730538922,filtered_r2
rf_tree_growth,3,25,0.8105936819172114,0.757,0.7688564353728089,0.7459124545687392,0.7295081967213115,0.5921787709497207,0.9169435215946844,0.8367952522255193,filtered_r2
rf_tree_growth,3,50,0.852192265795207,0.776,0.7861645912791395,0.7661073982322872,0.7334754797441365,0.6363636363636364,0.9210526315789473,0.8537666174298375,filtered_r2
rf_tree_growth,3,100,0.880378540305011,0.79,0.7988397945993133,0.7817093223540077,0.7612903225806451,0.6594982078853047,0.9114754098360656,0.8630952380952381,filtered_r2
rf_tree_growth,3,200,0.8933823529411765,0.806,0.8147131619058942,0.7986110044900039,0.7889125799573561,0.6884057971014492,0.9180327868852459,0.8635014836795252,filtered_r2
rf_tree_growth,3,300,0.8963099128540305,0.795,0.8042193274627002,0.7872951582485438,0.7612903225806451,0.675,0.9174917491749175,0.8630952380952381,filtered_r2
rf_tree_growth,3,400,0.8988289760348583,0.799,0.8075973347610281,0.7917212759917678,0.7748917748917749,0.6809269162210339,0.9114754098360656,0.8630952380952381,filtered_r2
rf_tree_growth,3,500,0.9021650326797386,0.799,0.8082080370447147,0.7917739964766896,0.7688984881209503,0.6820603907637656,0.9174917491749175,0.8643815201192251,filtered_r2
rf_tree_growth,4,25,0.8146786492374728,0.777,0.7858415162073699,0.7689053700770774,0.7601626016260162,0.6327272727272727,0.8933333333333333,0.8571428571428571,filtered_r2
rf_tree_growth,4,50,0.8592728758169934,0.796,0.8048532765841501,0.788730573575457,0.7835051546391752,0.6690909090909091,0.9066666666666666,0.8601503759398497,filtered_r2
rf_tree_growth,4,100,0.8818082788671024,0.805,0.812436032658993,0.797627050142583,0.7875,0.6823956442831216,0.9072847682119205,0.8725637181409296,filtered_r2
rf_tree_growth,4,200,0.894812091503268,0.808,0.8175897380682643,0.8013945291916084,0.7948717948717948,0.6892857142857143,0.9205298013245033,0.8656716417910447,filtered_r2
rf_tree_growth,4,300,0.8981481481481481,0.801,0.8104595009802409,0.793983893084001,0.7794432548179872,0.6809269162210339,0.9174917491749175,0.8639760837070254,filtered_r2
rf_tree_growth,4,400,0.9029139433551199,0.801,0.8111039611443565,0.7939691115806359,0.7837259100642399,0.6773618538324421,0.9210526315789473,0.8622754491017964,filtered_r2
rf_tree_growth,4,500,0.9030501089324618,0.805,0.815086363549336,0.7981702729542978,0.7863247863247863,0.6820603907637656,0.9240924092409241,0.8678678678678678,filtered_r2
rf_tree_growth,5,25,0.8049428104575164,0.771,0.7776184488206239,0.7613694501040704,0.7452631578947368,0.6346863468634686,0.8831168831168831,0.8474074074074074,filtered_r2
rf_tree_growth,5,50,0.8549155773420479,0.795,0.8029756857833205,0.7861165471137183,0.7656903765690377,0.6654411764705882,0.9139072847682119,0.8668639053254438,filtered_r2
rf_tree_growth,5,100,0.8784722222222222,0.797,0.8043744195244252,0.7881667896445651,0.7685774946921444,0.6691042047531993,0.9108910891089109,0.8689248895434463,filtered_r2
rf_tree_growth,5,200,0.8926334422657952,0.8,0.8087633906772499,0.7920267266085571,0.776824034334764,0.6738738738738739,0.9174917491749175,0.8668639053254438,filtered_r2
rf_tree_growth,5,300,0.8979438997821351,0.803,0.8123414603794916,0.7952710520149489,0.7777777777777778,0.6823104693140795,0.9240924092409241,0.8651851851851852,filtered_r2
rf_tree_growth,5,400,0.8992374727668845,0.804,0.8130549286710708,0.7964521843859268,0.7811158798283262,0.6810035842293907,0.9210526315789473,0.8690476190476191,filtered_r2
rf_tree_growth,5,500,0.9014161220043573,0.803,0.8120242698821759,0.7953654735835114,0.7784946236559139,0.6859205776173285,0.9210526315789473,0.8626292466765141,filtered_r2
rf_tree_growth,6,25,0.8043300653594772,0.779,0.7842251776175541,0.770456251498581,0.7593360995850622,0.6555555555555556,0.8726114649681529,0.8493975903614458,filtered_r2
rf_tree_growth,6,50,0.8540985838779956,0.804,0.8103454702533044,0.7962271682898411,0.8,0.6827458256029685,0.896774193548387,0.8618618618618619,filtered_r2
rf_tree_growth,6,100,0.8788807189542484,0.814,0.8230995612284004,0.8075131455644703,0.7949260042283298,0.7025089605734767,0.9240924092409241,0.8708708708708709,filtered_r2
rf_tree_growth,6,200,0.889501633986928,0.808,0.8178295905157908,0.801183849101747,0.7829787234042553,0.6916221033868093,0.9271523178807947,0.8695652173913043,filtered_r2
rf_tree_growth,6,300,0.8950844226579521,0.805,0.8147685000953122,0.7978954934535607,0.7844827586206896,0.6857142857142857,0.9240924092409241,0.8647845468053492,filtered_r2
rf_tree_growth,6,400,0.8986928104575164,0.801,0.8112558438181594,0.7938803077166394,0.7811158798283262,0.6797853309481217,0.9235880398671097,0.8605341246290801,filtered_r2
rf_tree_growth,6,500,0.8995098039215687,0.8,0.8095504807616908,0.7926951450692669,0.7829787234042553,0.6750448833034112,0.9174917491749175,0.8626865671641791,filtered_r2
rf_tree_growth,7,25,0.8092320261437909,0.786,0.7931789587571035,0.7767050996257392,0.7780040733197556,0.6394052044609665,0.8947368421052632,0.8605697151424287,filtered_r2
rf_tree_growth,7,50,0.8569580610021786,0.794,0.8052374326193102,0.785773761939819,0.7857142857142857,0.6497277676950998,0.9266666666666666,0.8588410104011887,filtered_r2
rf_tree_growth,7,100,0.8796296296296297,0.804,0.8136179853142738,0.7968798487323538,0.7880085653104925,0.6785714285714286,0.9205298013245033,0.8673621460506706,filtered_r2
rf_tree_growth,7,200,0.8939950980392157,0.802,0.8124373725530023,0.7948001501457539,0.7792207792207793,0.6773049645390071,0.9271523178807947,0.8660714285714286,filtered_r2
rf_tree_growth,7,300,0.8973992374727668,0.815,0.8235718636499959,0.8086041599904523,0.7948717948717948,0.7084078711985689,0.9210526315789473,0.8699551569506726,filtered_r2
rf_tree_growth,7,400,0.8984204793028322,0.811,0.8197323802172705,0.8043963758547982,0.7872340425531915,0.7025089605734767,0.9205298013245033,0.8686567164179104,filtered_r2
rf_tree_growth,7,500,0.9013480392156863,0.807,0.8154655044550063,0.7995645767016872,0.788135593220339,0.6909090909090909,0.9180327868852459,0.8647845468053492,filtered_r2
