source,seed,step,real_epoch,tr_loss,vl_loss,vl_tumour,vl_plane,patience_counter,best_step,best_val_loss,learning_rate,training_budget,max_steps,budget_epoch_steps,val_every,patience_evals,batch_real,batch_synthetic,real_examples_seen,synthetic_examples_seen,experiment
step,3,1,0.01634320735444331,2.5549981594085693,2.5205141281595034,0.2173469387755102,0.3663265306122449,0,1,2.5205141281595034,3.225806451612903e-06,compute,1705,31,80,8,64,64,64,64,filtered_r1
step,3,80,1.3074565883554647,1.9822561401355117,0.7388902810155129,0.85,0.9755102040816327,0,80,0.7388902810155129,0.00025806451612903227,compute,1705,31,80,8,64,64,5120,5120,filtered_r1
step,3,160,2.6149131767109295,0.684007148630917,0.17508127409584667,0.936734693877551,0.9938775510204082,0,160,0.17508127409584667,0.0004999871624350509,compute,1705,31,80,8,64,64,10240,10240,filtered_r1
step,3,240,3.9223697650663945,0.572934246249497,0.08969255567205195,0.9581632653061225,0.9948979591836735,0,240,0.08969255567205195,0.0004962990794052847,compute,1705,31,80,8,64,64,15360,15360,filtered_r1
step,3,320,5.229826353421859,0.3713786576874554,-0.15756103116638806,0.9795918367346939,0.9938775510204082,0,320,-0.15756103116638806,0.00048614958518009677,compute,1705,31,80,8,64,64,20480,20480,filtered_r1
step,3,400,6.537282941777324,0.35545325139537454,-0.1995028101668066,0.976530612244898,0.9959183673469387,0,400,-0.1995028101668066,0.0004698049416382277,compute,1705,31,80,8,64,64,25600,25600,filtered_r1
step,3,480,7.844739530132789,0.09501042440533639,-0.3141859884164771,0.9816326530612245,0.9959183673469387,0,480,-0.3141859884164771,0.0004476939342344246,compute,1705,31,80,8,64,64,30720,30720,filtered_r1
step,3,560,9.152196118488254,0.19109397009015083,-0.3846232091893955,0.9836734693877551,0.9959183673469387,0,560,-0.3846232091893955,0.00042039662323982603,compute,1705,31,80,8,64,64,35840,35840,filtered_r1
step,3,640,10.459652706843718,0.020976966992020608,-0.4350924246165217,0.9826530612244898,0.9948979591836735,0,640,-0.4350924246165217,0.0003886291264381089,compute,1705,31,80,8,64,64,40960,40960,filtered_r1
step,3,720,11.767109295199182,0.0043163012713193895,-0.5268446973391941,0.9846938775510204,0.9948979591836735,0,720,-0.5268446973391941,0.000353224832488219,compute,1705,31,80,8,64,64,46080,46080,filtered_r1
step,3,800,13.074565883554648,-0.19045688007026912,-0.6351182421859429,0.9928571428571429,0.9959183673469387,0,800,-0.6351182421859429,0.0003151125378024133,compute,1705,31,80,8,64,64,51200,51200,filtered_r1
step,3,880,14.382022471910112,-0.08161147199571132,-0.6492022431626612,0.9918367346938776,0.9948979591836735,0,880,-0.6492022431626612,0.00027529208049685805,compute,1705,31,80,8,64,64,56320,56320,filtered_r1
step,3,960,15.689479060265578,-0.10085405595600605,-0.6871618701487171,0.9887755102040816,0.9948979591836735,0,960,-0.6871618701487171,0.000234808110633836,compute,1705,31,80,8,64,64,61440,61440,filtered_r1
step,3,1040,16.99693564862104,-0.17017971463501452,-0.7339607051440648,0.9877551020408163,0.9948979591836735,0,1040,-0.7339607051440648,0.0001947226848671508,compute,1705,31,80,8,64,64,66560,66560,filtered_r1
step,3,1120,18.304392236976508,-0.13347971998155117,-0.7218949308200758,0.9887755102040816,0.9959183673469387,1,1040,-0.7339607051440648,0.00015608740444292746,compute,1705,31,80,8,64,64,71680,71680,filtered_r1
step,3,1200,19.611848825331972,-0.24300631321966648,-0.7526115086613869,0.9897959183673469,0.9948979591836735,0,1200,-0.7526115086613869,0.00011991582748762803,compute,1705,31,80,8,64,64,76800,76800,filtered_r1
step,3,1280,20.919305413687436,-0.21931761987507342,-0.7616240992838023,0.9908163265306122,0.9948979591836735,0,1280,-0.7616240992838023,8.715687931944449e-05,compute,1705,31,80,8,64,64,81920,81920,filtered_r1
step,3,1360,22.2267620020429,-0.3504807993769646,-0.7514031067186472,0.9897959183673469,0.9948979591836735,1,1280,-0.7616240992838023,5.866995833708463e-05,compute,1705,31,80,8,64,64,87040,87040,filtered_r1
step,3,1440,23.534218590398364,-0.2666647057980299,-0.8168642102455607,0.9928571428571429,0.9948979591836735,0,1440,-0.8168642102455607,3.520239055818114e-05,compute,1705,31,80,8,64,64,92160,92160,filtered_r1
step,3,1520,24.84167517875383,-0.27003320045769214,-0.8090697025766178,0.9928571428571429,0.9948979591836735,1,1440,-0.8168642102455607,1.7369824265066364e-05,compute,1705,31,80,8,64,64,97280,97280,filtered_r1
step,3,1600,26.149131767109296,-0.3417505018413067,-0.8453717511527392,0.9918367346938776,0.9948979591836735,0,1600,-0.8453717511527392,5.640079084868633e-06,compute,1705,31,80,8,64,64,102400,102400,filtered_r1
step,3,1680,27.45658835546476,-0.33403121307492256,-0.7935003397416095,0.9938775510204082,0.9948979591836735,1,1600,-0.8453717511527392,3.208732072368104e-07,compute,1705,31,80,8,64,64,107520,107520,filtered_r1
step,3,1705,27.865168539325843,-0.23749740958213805,-0.7913892891942238,0.9938775510204082,0.9948979591836735,2,1600,-0.8453717511527392,0.0,compute,1705,31,80,8,64,64,109120,109120,filtered_r1
